wage,IQ,KWW,exper,married,urban,brthord,meduc
1154,111,37,13,1,0,3,3
1000,95,44,16,1,1,2,2
850,72,36,19,1,1,2,2
471,101,34,13,1,1,1,1
1615,113,49,10,1,1,3,3
2137,145,50,17,1,1,3,3
1053,114,35,12,1,1,2,2
1188,93,40,16,1,1,3,3
1424,98,41,15,1,1,3,3
1779,132,42,8,1,1,3,3
1572,108,39,7,1,1,3,3
1274,106,35,11,1,1,3,3
1081,123,46,11,1,0,3,3
692,108,48,21,1,1,1,1
1027,100,40,12,1,1,2,2
1748,125,50,12,1,1,3,3
981,122,41,9,0,1,2,2
770,105,34,7,1,1,2,2
1154,94,37,11,1,1,3,3
1154,134,46,10,1,1,3,3
1000,104,36,11,1,1,2,2
769,120,49,8,0,1,2,2
1452,115,45,1,1,1,3,3
800,96,33,17,1,1,2,2
978,89,47,17,1,1,2,2
963,109,43,15,0,0,2,2
619,93,20,10,0,1,1,1
442,82,32,12,1,1,1,1
1366,122,38,15,1,1,3,3
2310,114,55,12,1,1,3,3
1682,126,40,10,1,1,3,3
1072,104,37,6,1,1,3,3
1040,115,49,8,1,1,2,2
996,114,41,5,1,1,2,2
732,73,28,17,1,1,1,1
1694,113,30,9,0,1,3,3
686,106,38,15,1,1,1,1
754,104,37,9,1,1,2,1
832,104,30,4,1,1,2,2
579,122,36,8,1,0,1,1
1076,105,24,5,0,1,3,3
750,94,18,16,1,1,1,1
1186,91,41,8,1,1,3,3
833,96,37,9,1,1,2,2
650,69,37,14,1,1,1,1
1250,110,37,5,1,0,3,3
865,110,35,1,1,1,2,2
808,97,37,10,1,1,2,2
1299,125,44,6,0,1,3,3
903,91,39,6,1,1,2,2
900,86,28,17,1,1,2,2
625,110,32,18,1,1,1,1
962,85,41,15,1,1,2,2
1539,120,36,7,1,1,3,3
1282,112,41,6,0,1,3,3
770,91,39,13,1,1,2,2
1000,90,42,16,1,1,2,2
750,113,27,11,1,0,1,1
654,111,51,5,1,1,1,1
433,98,28,11,0,1,1,1
1188,105,28,11,1,1,3,3
1225,118,44,9,1,1,3,3
1151,90,38,19,1,1,3,3
865,95,34,15,0,1,2,2
1031,112,24,9,1,1,2,2
1000,123,41,12,1,1,2,2
1105,103,32,10,1,1,3,3
1346,90,44,9,1,1,3,3
1346,128,46,10,0,0,3,3
500,96,35,6,1,1,1,1
900,78,21,16,1,1,2,2
800,112,39,15,1,1,2,2
980,101,41,4,1,1,2,2
480,59,28,11,0,1,1,1
1193,82,38,19,1,1,3,3
1394,118,41,11,1,0,3,3
1495,113,50,13,1,1,3,3
1126,119,30,5,1,1,3,3
450,67,19,11,0,1,1,1
1250,115,36,9,1,1,3,3
1162,102,40,8,1,1,3,3
1025,85,29,9,1,1,2,2
1100,117,51,11,1,0,3,3
1411,121,40,14,1,1,3,3
2162,115,51,4,1,1,3,3
1273,120,44,11,1,0,3,3
1140,109,43,16,1,1,3,3
1058,85,50,17,1,0,1,3
750,106,32,9,1,1,1,1
1000,101,30,11,1,1,2,2
1250,91,28,13,1,1,3,3
400,75,33,11,1,1,1,1
590,109,27,10,1,0,1,1
923,122,38,10,1,0,2,2
1250,102,26,6,0,1,3,3
1100,122,38,11,1,1,3,3
1130,105,38,18,1,1,3,3
618,104,34,6,1,1,1,1
962,124,43,7,1,1,2,2
840,105,39,19,1,0,2,2
1160,92,32,8,1,0,3,3
723,98,34,15,1,1,1,1
1010,97,42,7,1,1,2,2
1058,98,45,14,1,0,3,3
500,115,43,14,1,1,1,1
865,114,26,6,1,0,2,2
1081,92,34,8,1,1,3,3
515,114,30,8,1,0,1,1
990,108,42,13,1,0,2,2
600,107,32,16,1,0,1,1
1160,84,35,17,1,0,3,3
500,86,22,11,1,0,1,1
795,88,27,17,1,0,2,2
1014,110,42,13,0,1,2,2
1250,104,32,13,1,1,3,3
1346,99,33,9,1,1,3,3
445,80,31,19,1,0,1,1
1607,108,41,7,1,1,3,3
821,85,39,8,1,1,2,2
1730,117,41,12,1,1,3,3
1924,112,47,9,1,1,3,3
2162,116,38,9,1,1,3,3
1115,118,40,12,1,1,3,3
449,91,20,7,0,1,1,1
826,114,40,20,1,1,2,2
978,104,36,19,1,1,2,2
1272,107,39,10,1,1,3,3
1063,90,38,14,1,1,3,3
935,97,27,10,1,1,2,2
808,99,40,18,1,1,2,2
375,99,29,12,1,0,1,1
537,97,32,14,0,1,1,1
930,126,44,10,0,1,2,2
1155,109,49,13,1,0,3,3
548,86,22,7,1,1,1,1
587,117,40,8,1,0,1,1
1058,89,28,7,1,1,3,3
1154,98,35,18,1,1,3,3
1070,124,41,4,1,1,3,3
1000,102,46,13,1,1,2,2
1000,112,47,15,1,1,2,2
1375,96,24,3,1,1,3,3
1586,127,48,16,1,1,3,3
1602,97,47,14,1,1,3,3
906,120,40,16,1,1,2,2
952,99,34,10,1,1,2,2
289,94,35,9,1,1,1,1
962,108,45,19,1,1,2,2
1075,103,31,17,1,1,3,3
620,99,22,10,1,1,1,1
800,88,29,21,1,1,2,2
1050,119,37,7,0,1,2,2
654,121,49,12,1,1,1,1
1038,103,36,8,1,0,2,2
1924,99,48,16,1,1,3,3
1202,101,40,15,1,1,3,3
666,117,34,8,1,1,1,1
812,98,42,10,0,1,2,2
756,78,29,9,1,1,2,2
1011,104,43,20,1,1,2,2
1155,85,39,14,1,1,3,3
1025,104,25,12,1,1,2,2
1001,109,48,20,1,1,2,2
796,119,31,16,1,1,2,2
2067,106,41,12,1,1,3,3
600,114,39,8,1,1,1,1
951,86,33,13,1,1,2,2
1151,87,41,18,1,1,3,3
1000,89,31,9,1,1,2,2
841,106,40,15,1,1,2,2
400,100,43,12,1,1,1,1
1202,100,40,18,1,1,3,3
1442,114,38,16,1,1,3,3
538,98,45,5,1,1,1,1
750,74,23,13,1,1,1,1
700,130,29,14,1,1,1,1
800,98,31,16,1,0,2,2
762,104,37,6,1,0,2,2
721,134,38,9,0,1,1,1
800,92,28,18,1,1,2,2
658,129,34,11,1,1,1,1
1313,107,37,11,1,0,3,3
668,109,29,11,1,0,1,1
1100,91,41,18,1,0,3,3
1000,118,38,9,1,1,2,2
523,119,37,9,1,0,1,1
1111,103,33,13,1,0,3,3
962,120,25,6,1,0,2,2
690,119,35,9,1,1,1,1
1442,123,42,14,1,0,3,3
876,116,35,10,1,1,2,2
841,109,45,13,1,0,2,2
910,95,27,16,1,1,2,2
750,104,36,15,1,0,1,1
745,94,40,17,0,0,1,1
1170,123,45,9,1,1,3,3
550,110,35,15,1,0,1,1
615,100,31,9,1,0,1,1
909,95,39,6,1,1,2,2
769,100,34,18,1,0,2,2
833,101,47,15,1,1,2,2
1027,115,41,16,1,1,2,2
1000,114,41,10,1,0,2,2
1100,92,37,21,1,1,3,3
1035,107,42,21,1,1,2,2
1212,129,33,9,0,1,3,3
938,108,41,19,1,1,2,2
1250,114,37,8,1,1,3,3
586,111,37,6,1,0,1,1
375,75,24,12,0,0,1,1
673,91,29,7,1,0,1,1
1111,98,32,10,1,1,3,3
1282,121,39,7,1,1,3,3
1424,96,47,15,1,1,3,3
888,105,36,9,0,1,2,2
583,113,29,9,1,1,1,1
947,104,41,8,1,0,2,2
489,104,47,20,1,1,1,1
1126,116,33,5,1,1,3,3
1200,84,13,13,1,1,3,3
565,82,30,15,1,0,1,1
1920,109,32,13,1,0,3,3
774,94,33,20,1,0,2,2
975,101,33,12,1,0,2,2
1366,90,35,13,1,1,3,3
1161,99,43,16,1,1,3,3
729,80,31,16,1,1,1,1
750,93,45,17,1,1,1,1
1026,85,46,4,1,1,2,2
1111,118,43,11,1,1,3,3
625,115,31,12,1,1,1,1
1541,94,39,8,1,1,3,3
1000,96,34,9,0,1,2,2
350,109,48,14,1,0,1,1
765,94,38,17,1,0,2,2
790,115,34,15,1,0,2,2
818,92,41,16,1,0,2,2
477,71,32,12,1,0,1,1
350,74,24,14,1,1,1,1
940,104,25,13,1,1,2,2
450,94,29,9,1,0,1,1
1058,120,44,16,1,0,3,3
1000,96,40,15,1,1,2,2
958,98,42,11,1,1,2,2
606,100,39,6,0,0,1,1
1346,106,38,15,1,1,3,3
1522,102,37,15,1,0,3,3
1200,99,37,11,1,1,3,3
874,132,37,8,1,0,2,2
625,108,26,11,1,1,1,1
1250,98,40,17,1,1,3,3
693,79,36,18,1,0,1,1
913,101,33,5,1,1,2,2
698,97,33,10,1,1,1,1
800,106,34,17,1,0,2,2
1000,93,32,16,1,1,2,2
549,79,23,11,0,0,1,1
923,107,30,9,1,1,2,2
1539,112,42,15,1,0,3,3
815,114,25,15,1,0,2,2
1100,104,41,18,1,1,3,3
1058,85,48,18,1,1,1,3
962,93,46,15,1,1,2,2
940,71,20,9,1,0,2,2
1417,88,36,9,0,1,3,3
800,110,35,8,1,1,2,2
766,109,31,17,1,0,2,2
750,94,38,12,1,0,1,1
575,96,31,17,1,1,1,1
850,97,35,16,1,1,2,2
1199,70,28,13,1,1,3,3
350,116,36,5,1,1,1,1
1463,104,47,14,1,1,3,3
802,99,26,13,1,1,2,2
1400,92,34,15,1,1,3,3
866,114,48,15,1,1,2,2
325,93,44,10,1,1,1,1
346,110,37,16,1,1,1,1
950,96,26,8,1,1,2,2
1322,128,43,7,1,1,3,3
417,80,30,8,0,1,1,1
1442,110,40,13,1,1,3,3
865,130,39,5,1,1,2,2
1000,101,36,16,1,1,2,2
852,89,36,13,1,1,2,2
1329,115,56,10,1,1,3,3
577,108,47,4,1,1,1,1
685,93,27,17,0,1,1,1
1250,92,42,10,0,1,3,3
600,115,40,7,0,1,1,1
480,76,29,17,0,1,1,1
478,90,35,19,1,1,1,1
485,120,43,11,1,1,1,1
705,89,32,19,1,1,1,1
1550,104,47,16,1,0,3,3
961,76,17,13,0,1,2,2
1346,60,34,8,1,1,3,3
1122,132,45,13,1,1,3,3
543,90,31,5,1,1,1,1
450,63,26,12,1,1,1,1
507,110,36,10,1,1,1,1
1634,94,39,18,1,1,3,3
1282,97,48,4,1,1,3,3
1200,109,42,7,1,1,3,3
855,89,21,6,1,0,2,2
1053,90,33,18,1,0,2,2
508,125,44,9,1,1,1,1
1682,107,41,15,1,1,3,3
409,93,26,17,0,0,1,1
2137,102,35,8,1,0,3,3
769,98,37,8,0,1,2,2
495,88,30,6,1,1,1,1
987,109,41,9,1,1,2,2
577,92,33,8,1,1,1,1
1500,123,43,9,1,1,3,3
460,92,22,16,1,1,1,1
1333,112,50,14,1,1,3,3
1500,119,41,8,0,1,3,3
700,74,29,16,1,1,1,1
2162,124,48,10,1,1,3,3
797,89,38,10,1,0,2,2
660,101,34,12,1,1,1,1
1122,102,54,7,1,1,3,3
453,94,34,9,1,0,1,1
1386,97,38,17,1,1,3,3
1539,115,38,7,1,1,3,3
1154,117,38,11,1,1,3,3
962,105,45,15,1,1,2,2
722,113,36,8,0,1,1,1
577,106,43,11,0,1,1,1
1105,119,32,9,0,1,3,3
910,82,26,5,1,1,2,2
1160,74,18,14,1,1,3,3
929,97,28,12,1,1,2,2
1065,97,40,21,1,1,3,3
812,81,20,17,1,1,2,2
621,84,24,14,1,0,1,1
625,92,25,6,1,0,1,1
726,93,32,16,1,0,1,1
500,69,18,21,1,1,1,1
1000,113,41,8,1,1,2,2
600,127,44,8,0,0,1,1
962,109,44,21,1,0,2,2
962,97,42,15,1,0,2,2
1154,109,46,10,1,1,3,3
732,104,36,10,1,1,1,1
865,85,44,4,1,1,2,2
1300,78,40,12,1,1,3,3
500,87,25,5,1,1,1,1
1155,117,25,9,1,1,3,3
533,65,21,5,0,1,1,1
3078,107,23,11,1,1,3,3
1539,111,41,10,1,1,3,3
962,110,34,16,1,1,2,2
905,102,31,17,1,0,2,2
926,64,22,18,1,1,2,2
1559,103,32,17,1,1,3,3
923,118,36,8,1,1,2,2
879,118,41,1,1,1,2,2
800,75,37,14,1,1,2,2
1190,119,38,4,1,1,3,3
1200,103,27,5,1,1,3,3
1371,128,50,8,1,0,3,3
1270,84,40,11,1,1,3,3
1832,97,38,16,1,1,3,3
1746,131,41,9,1,1,3,3
520,126,23,8,1,1,1,1
808,107,32,6,1,0,2,2
2137,108,45,11,1,1,3,3
931,108,40,4,1,1,2,2
866,111,44,16,1,1,2,2
500,101,31,12,1,0,1,1
1384,114,48,12,1,1,3,3
881,90,41,4,1,0,2,2
1620,111,42,8,1,0,3,3
1843,109,38,11,1,1,3,3
1699,100,40,11,1,1,3,3
625,73,24,1,1,1,1,1
720,101,39,1,1,1,1,1
1924,98,49,6,1,1,3,3
962,112,46,8,1,1,2,2
1874,64,37,22,1,1,3,3
1573,90,28,5,1,1,3,3
900,119,39,8,1,0,2,2
882,96,34,15,1,0,2,2
1710,118,40,12,1,1,3,3
1260,79,39,19,1,0,3,3
751,96,42,9,1,0,1,1
1154,116,42,11,0,0,3,3
1000,69,31,15,1,1,2,2
1250,78,36,16,1,1,3,3
857,99,41,18,1,1,2,2
1211,92,33,13,1,1,3,3
904,98,29,7,1,1,2,2
872,115,30,7,1,1,2,2
1200,96,26,18,1,1,3,3
950,96,38,14,1,1,2,2
1084,95,38,17,1,1,3,3
800,115,38,20,1,0,2,2
864,87,38,15,1,0,2,2
673,85,21,17,1,0,1,1
1049,122,39,7,1,0,2,2
1202,131,32,10,1,0,3,3
666,104,32,10,1,0,1,1
923,110,39,15,1,0,2,2
788,99,20,10,1,1,2,2
950,86,31,23,1,1,2,2
1500,101,38,13,1,1,3,3
801,100,30,6,1,1,2,2
889,116,37,12,1,1,2,2
750,103,36,1,1,0,1,1
855,118,41,6,1,0,2,2
525,100,22,5,1,0,1,1
553,67,22,11,1,0,1,1
800,96,27,10,1,0,2,2
1384,104,42,8,1,0,3,3
425,106,34,8,0,0,1,1
370,73,31,13,1,0,1,1
596,62,26,16,1,0,1,1
402,76,28,9,1,1,1,1
418,76,26,12,1,0,1,1
1133,106,44,13,1,0,3,3
681,94,24,18,0,1,1,1
950,81,29,16,1,0,2,2
600,87,15,20,1,0,1,1
661,96,25,8,0,0,1,1
925,75,27,12,1,0,2,2
425,86,17,7,1,0,1,1
340,104,41,4,1,1,1,1
692,95,21,16,1,1,1,1
575,116,37,11,1,0,1,1
571,66,20,15,1,0,1,1
817,101,38,11,1,1,2,2
987,96,23,11,1,0,2,2
616,104,41,16,1,1,1,1
1026,105,34,12,1,1,2,2
808,101,34,8,1,1,2,2
850,105,34,6,1,1,2,2
900,106,40,10,1,1,2,2
1418,102,44,19,1,1,3,3
260,75,35,21,1,0,1,1
662,99,27,7,1,0,1,1
651,76,30,11,1,1,1,1
750,50,28,14,1,0,1,1
700,73,23,17,1,0,1,1
937,104,37,14,1,0,2,2
624,92,40,18,1,0,1,1
900,98,36,1,1,0,2,2
513,104,40,8,1,0,1,1
894,104,35,7,1,0,2,2
485,89,24,10,0,0,1,1
325,113,39,11,1,0,1,1
618,84,39,6,0,1,1,1
751,104,32,15,1,1,1,1
753,70,34,21,1,1,1,1
1070,91,42,13,1,1,3,3
650,97,27,14,1,0,1,1
494,74,30,16,1,0,1,1
520,86,28,15,1,0,1,1
570,101,43,11,1,1,1,1
481,98,26,14,0,1,1,1
500,107,40,21,1,0,1,1
803,120,35,4,1,1,2,2
629,93,32,6,1,0,1,1
492,67,38,15,1,0,1,1
1562,97,28,7,1,1,3,3
566,104,46,5,1,0,1,1
788,100,23,15,1,0,2,2
644,101,38,11,1,0,1,1
477,100,33,9,1,0,1,1
664,82,30,10,1,1,1,1
538,77,22,12,1,0,1,1
873,109,25,12,1,0,2,2
1000,107,32,17,1,0,2,2