wage,hours,IQ,exper,urban,sibs,meduc,famses
808,50,119,11,1,1,2,2
650,40,96,13,1,3,1,1
1400,40,116,14,1,1,3,3
600,40,91,13,1,1,1,1
1000,40,95,16,1,1,2,2
930,43,132,8,0,1,2,2
958,50,105,17,1,1,2,2
1360,45,109,6,1,3,3,3
471,44,101,13,1,3,1,1
1275,40,123,9,1,0,3,3
1615,50,113,10,1,2,3,3
873,65,95,14,1,3,2,2
1188,40,93,16,1,2,3,3
635,40,128,8,1,2,1,1
1424,50,98,15,1,1,3,3
2668,75,108,12,1,1,3,3
1779,40,132,8,1,1,3,3
1572,35,108,7,1,1,3,3
1274,40,106,11,1,0,3,3
692,40,108,21,1,3,1,1
1318,38,122,10,1,1,3,3
808,60,109,14,1,2,2,2
1100,40,105,22,1,1,3,3
1000,50,104,11,1,1,2,2
462,40,112,11,1,3,1,1
875,50,124,9,0,2,2,2
1375,40,103,12,1,3,3,3
800,40,96,17,1,1,2,2
1748,55,123,10,1,1,3,3
619,42,93,10,1,3,1,1
442,60,82,12,1,2,1,1
2310,40,114,12,1,2,3,3
1682,45,126,10,1,1,3,3
1235,40,82,10,1,1,3,3
855,45,119,11,1,3,2,2
1072,42,104,6,1,2,3,3
1040,40,115,8,1,3,2,2
1100,37,100,14,1,1,3,3
996,50,114,5,1,2,2,2
732,40,73,17,1,3,1,1
1200,40,96,15,1,3,3,3
686,55,106,15,1,3,1,1
832,50,104,4,1,1,2,2
672,61,96,13,1,2,1,1
1076,45,105,5,1,1,3,3
865,40,110,1,1,3,2,2
808,40,97,10,1,3,2,2
903,40,91,6,1,3,2,2
625,40,110,18,1,3,1,1
1586,40,92,16,1,3,3,3
962,40,85,15,1,1,2,2
1539,45,120,7,1,1,3,3
1282,45,112,6,1,2,3,3
1205,40,86,13,1,3,3,3
654,50,111,5,1,3,1,1
433,40,98,11,1,1,1,1
635,40,105,15,0,2,1,1
1225,40,118,9,1,0,3,3
1151,45,90,19,1,1,3,3
1031,40,112,9,1,3,2,2
1924,50,121,11,1,3,3,3
1346,40,90,9,1,1,3,3
809,65,125,11,1,0,2,2
800,40,112,15,1,3,2,2
1034,40,97,15,1,3,2,2
980,40,101,4,1,1,2,2
480,40,59,11,1,0,1,1
923,40,105,7,1,1,2,2
1193,50,82,19,1,0,3,3
779,40,84,9,1,0,2,2
950,60,98,13,1,2,2,2
1394,40,118,11,0,2,3,3
650,40,100,4,1,3,1,1
670,40,93,9,1,2,1,1
2404,50,106,8,1,2,3,3
1899,40,127,9,1,0,3,3
757,40,113,10,1,2,2,2
1250,40,115,9,1,2,3,3
1162,48,102,8,1,3,3,3
714,35,125,7,1,3,1,1
1318,35,118,16,0,1,3,3
1411,45,121,14,1,3,3,3
578,40,109,7,1,1,1,1
942,40,85,7,1,3,2,2
1058,40,85,17,0,3,3,3
1000,60,101,11,1,3,2,2
951,60,116,9,1,3,2,2
635,47,91,13,1,2,1,1
1250,50,102,6,1,3,3,3
1100,40,122,11,1,2,3,3
618,42,104,6,1,3,1,1
962,50,124,7,1,2,2,2
529,40,110,14,0,1,1,1
817,40,95,16,0,2,2,2
840,40,105,19,0,3,2,2
866,40,121,7,0,1,2,2
1160,40,92,8,0,3,3,3
723,40,98,15,1,1,1,1
1903,48,118,13,0,0,3,3
670,45,117,10,0,3,1,1
500,45,90,19,0,0,1,1
1058,45,98,14,0,2,3,3
550,46,95,18,1,1,1,1
865,40,114,6,0,2,2,2
1081,40,92,8,1,3,3,3
1304,45,119,9,0,1,3,3
575,40,85,6,0,1,1,1
1273,55,84,14,1,1,3,3
990,40,108,13,0,3,2,2
600,40,107,16,0,3,1,1
1160,40,84,17,0,3,3,3
795,45,88,17,0,2,2,2
500,50,97,20,0,2,1,1
740,50,84,23,0,3,1,1
1014,55,110,13,1,1,2,2
1250,32,104,13,1,3,3,3
1346,40,99,9,1,2,3,3
445,40,80,19,0,3,1,1
265,40,101,18,1,1,1,1
1250,40,117,7,1,1,3,3
1607,56,108,7,1,2,3,3
1452,35,69,12,1,3,3,3
500,30,90,10,0,3,1,1
1730,50,117,12,1,1,3,3
1924,50,112,9,1,3,3,3
1155,60,106,10,1,3,3,3
2162,40,116,9,1,2,3,3
923,50,123,8,1,1,2,2
1115,40,118,12,1,1,3,3
937,40,102,16,1,3,2,2
1031,40,112,14,1,3,2,2
1272,40,107,10,1,3,3,3
1136,50,117,16,1,2,3,3
800,45,110,19,1,3,2,2
1339,38,96,8,1,0,3,3
1063,40,90,14,1,2,3,3
808,40,99,18,1,0,2,2
375,40,99,12,0,3,1,1
537,40,97,14,1,2,1,1
1155,40,109,13,0,3,3,3
548,40,86,7,1,3,1,1
841,40,102,10,1,3,2,2
769,55,105,7,1,2,2,2
587,38,117,8,0,3,1,1
1924,45,112,17,1,1,3,3
1154,40,98,18,1,1,3,3
1070,40,124,4,1,0,3,3
850,43,113,7,1,1,2,2
1000,40,102,13,1,3,2,2
490,49,82,7,1,2,1,1
1375,40,96,3,1,3,3,3
1602,65,97,14,1,1,3,3
3078,65,120,12,1,1,3,3
906,40,120,16,1,3,2,2
952,40,99,10,1,1,2,2
1444,40,120,12,1,1,3,3
909,55,97,17,1,3,2,2
1050,40,119,7,1,2,2,2
1079,50,87,18,1,3,3,3
781,50,112,8,1,2,2,2
1038,48,103,8,0,2,2,2
890,70,73,6,1,3,2,2
812,40,98,10,1,3,2,2
1025,40,104,12,1,3,2,2
796,48,119,16,1,3,2,2
714,40,90,17,0,3,1,1
912,40,96,11,1,2,2,2
600,40,114,8,1,3,1,1
711,45,110,8,1,3,1,1
1151,48,87,18,1,2,3,3
1000,40,89,9,1,2,2,2
841,44,106,15,1,3,2,2
1175,45,111,17,1,0,3,3
1442,40,114,16,1,2,3,3
781,40,89,13,1,3,2,2
841,48,110,13,1,1,2,2
700,50,130,14,1,1,1,1
1346,50,108,9,1,1,3,3
762,58,104,6,0,2,2,2
721,40,134,9,1,3,1,1
1442,40,118,6,1,2,3,3
1038,50,119,20,0,3,2,2
1100,40,91,18,0,2,3,3
523,43,119,9,0,3,1,1
1111,40,103,13,0,3,3,3
962,40,120,6,0,3,2,2
690,40,119,9,1,1,1,1
600,40,96,7,1,3,1,1
596,40,83,16,0,3,1,1
670,40,88,9,1,3,1,1
1223,40,107,7,0,1,3,3
910,30,95,16,1,2,2,2
745,40,94,17,0,2,1,1
550,40,110,15,0,2,1,1
615,40,100,9,0,3,1,1
769,40,100,18,0,1,2,2
833,60,101,15,1,3,2,2
879,70,90,17,1,1,2,2
1000,55,114,10,0,0,2,2
465,43,84,10,1,3,1,1
1100,40,92,21,1,3,3,3
1035,48,107,21,1,1,2,2
586,60,111,6,0,3,1,1
693,53,101,7,0,1,1,1
562,40,99,18,0,1,1,1
654,50,113,1,0,1,1,1
1111,40,98,10,1,3,3,3
1346,40,134,15,1,2,3,3
1424,50,96,15,1,2,3,3
583,58,113,9,1,2,1,1
1260,45,106,5,1,2,3,3
758,38,126,10,1,2,2,2
489,55,104,20,1,2,1,1
500,70,83,13,1,3,1,1
565,45,82,15,0,3,1,1
684,45,111,7,1,3,1,1
774,40,94,20,0,1,2,2
975,40,101,12,0,3,2,2
2137,40,120,16,1,3,3,3
1200,40,108,16,1,3,3,3
1154,40,109,12,1,0,3,3
310,40,104,10,0,2,1,1
610,50,89,14,0,1,1,1
1749,43,101,16,0,2,3,3
350,40,109,14,0,1,1,1
765,45,94,17,0,3,2,2
818,47,92,16,0,3,2,2
938,50,130,15,0,3,2,2
2099,55,119,10,1,0,3,3
940,48,104,13,1,3,2,2
1000,40,96,15,1,3,2,2
556,40,69,13,1,3,1,1
958,60,98,11,1,0,2,2
995,40,92,22,1,3,2,2
1600,50,109,16,0,2,3,3
511,45,101,13,1,3,1,1
1411,45,111,11,1,1,3,3
1346,40,106,15,1,1,3,3
1522,46,102,15,0,3,3,3
1075,40,115,9,0,2,3,3
1200,50,99,11,1,3,3,3
874,55,132,8,0,2,2,2
625,40,108,11,1,3,1,1
1082,40,111,20,1,3,3,3
727,55,97,11,0,3,1,1
615,50,99,16,0,2,1,1
800,55,106,17,0,3,2,2
1000,40,93,16,1,1,2,2
1300,35,100,13,1,3,3,3
923,50,107,9,1,3,2,2
721,40,105,11,0,3,1,1
1100,40,104,18,1,2,3,3
1058,40,85,18,1,2,3,3
500,40,98,14,0,3,1,1
800,50,110,8,1,3,2,2
766,40,109,17,0,3,2,2
550,40,77,15,0,3,1,1
1039,40,113,12,1,1,2,2
200,55,103,11,1,3,1,1
508,50,87,16,1,2,1,1
1162,45,89,11,1,3,3,3
1199,43,70,13,1,3,3,3
963,40,85,9,1,3,2,2
1463,45,104,14,1,3,3,3
802,40,99,13,1,3,2,2
642,45,93,12,1,1,1,1
1400,40,92,15,1,2,3,3
866,40,114,15,1,3,2,2
675,40,77,20,1,3,1,1
325,40,93,10,1,1,1,1
1442,40,132,8,1,3,3,3
560,49,112,13,0,3,1,1
550,56,99,17,1,1,1,1
950,44,96,8,1,1,2,2
417,40,80,8,1,3,1,1
666,50,89,16,1,3,1,1
1679,55,127,10,1,1,3,3
1039,40,114,1,1,3,2,2
760,40,88,12,1,2,2,2
1602,60,110,14,1,3,3,3
1442,40,110,13,1,1,3,3
865,40,130,5,1,3,2,2
705,50,100,15,1,1,1,1
1000,40,101,16,1,1,2,2
1682,40,115,10,1,1,3,3
577,40,111,8,1,1,1,1
1040,40,101,19,1,3,2,2
1250,40,92,10,1,1,3,3
600,40,115,7,1,3,1,1
480,40,76,17,1,3,1,1
988,48,91,15,1,1,2,2
478,45,90,19,1,2,1,1
485,40,120,11,1,3,1,1
705,40,89,19,1,0,1,1
1550,40,104,16,0,3,3,3
960,40,107,11,1,3,2,2
479,40,97,15,0,3,1,1
1122,35,132,13,1,2,3,3
507,55,110,10,1,2,1,1
547,60,88,17,1,3,1,1
705,40,76,13,1,3,1,1
1634,40,94,18,1,2,3,3
556,40,127,6,1,2,1,1
1200,40,109,7,1,2,3,3
1000,48,105,11,0,0,2,2
900,55,100,18,1,2,2,2
508,50,125,9,1,3,1,1
750,40,110,13,1,2,1,1
409,40,93,17,0,0,1,1
987,38,109,9,1,3,2,2
577,40,92,8,1,1,1,1
583,80,86,9,1,2,1,1
945,40,87,12,1,2,2,2
1333,45,112,14,1,1,3,3
1333,45,103,7,1,3,3,3
700,40,74,16,1,3,1,1
973,36,81,11,1,0,2,2
797,41,89,10,0,1,2,2
445,40,91,11,0,0,1,1
377,40,83,9,1,1,1,1
453,50,94,9,0,3,1,1
1539,40,115,7,1,2,3,3
962,50,105,15,1,3,2,2
808,50,101,8,0,3,2,2
1091,50,88,13,1,3,3,3
500,40,83,18,1,0,1,1
1026,45,113,9,1,2,2,2
1333,60,106,5,1,2,3,3
915,55,114,17,1,1,2,2
1105,40,119,9,1,3,3,3
1000,40,89,17,1,3,2,2
1001,34,77,12,1,3,2,2
713,40,75,5,1,3,1,1
929,40,97,12,1,2,2,2
400,50,68,4,1,3,1,1
1065,40,97,21,1,1,3,3
940,45,102,15,1,2,2,2
812,40,81,17,1,2,2,2
700,20,85,13,1,3,1,1
450,40,79,20,1,3,1,1
621,43,84,14,0,3,1,1
441,38,74,12,0,3,1,1
500,40,69,21,1,3,1,1
1000,44,113,8,1,3,2,2
393,48,92,15,1,1,1,1
600,40,127,8,0,2,1,1
865,40,66,10,1,3,2,2
1386,42,109,10,0,1,3,3
700,40,81,13,0,3,1,1
975,40,87,20,0,3,2,2
900,40,54,12,1,2,2,2
1000,40,98,17,1,3,2,2
1710,45,114,7,1,1,3,3
2004,48,105,10,1,2,3,3
1539,40,111,10,1,3,3,3
1143,35,97,21,1,3,3,3
962,40,110,16,1,2,2,2
1250,44,96,19,1,2,3,3
905,40,102,17,0,3,2,2
879,40,118,1,1,1,2,2
1049,50,112,6,0,3,2,2
583,48,94,10,0,2,1,1
1200,40,103,5,1,1,3,3
797,55,90,11,1,3,2,2
909,40,102,14,1,3,2,2
931,80,108,4,1,3,2,2
866,40,111,16,1,1,2,2
1442,40,115,14,1,3,3,3
1212,40,98,11,1,3,3,3
737,48,103,7,1,3,1,1
1699,40,96,10,1,2,3,3
1699,40,100,11,1,1,3,3
625,40,73,1,1,3,1,1
900,40,110,6,1,1,2,2
1924,50,98,6,1,1,3,3
940,45,102,11,1,1,2,2
900,40,119,8,0,1,2,2
882,44,96,15,0,3,2,2
1097,50,80,12,0,3,3,3
1001,48,137,11,0,3,2,2
1000,43,69,15,1,3,2,2
857,65,99,18,1,2,2,2
904,50,98,7,1,3,2,2
872,45,115,7,1,3,2,2
1200,40,96,18,1,3,3,3
950,40,96,14,1,1,2,2
800,40,115,20,0,3,2,2
855,40,109,17,0,3,2,2
884,40,108,9,1,3,2,2
1200,40,79,9,1,0,3,3
850,43,111,8,1,3,2,2
1000,40,110,6,1,3,2,2
875,40,92,8,1,3,2,2
1202,40,131,10,0,3,3,3
666,40,104,10,0,2,1,1
1442,40,105,9,1,3,3,3
875,36,95,16,0,3,2,2
1196,45,96,10,0,2,3,3
721,40,100,8,1,3,1,1
1050,50,97,4,1,2,2,2
1198,32,117,7,1,1,3,3
390,55,93,4,1,1,1,1
889,36,116,12,1,1,2,2
1076,38,106,19,1,1,3,3
1127,40,98,17,1,1,3,3
750,50,103,1,0,1,1,1
855,40,118,6,0,3,2,2
1104,54,96,11,0,1,3,3
510,54,62,13,1,3,1,1
370,32,73,13,0,3,1,1
681,40,94,18,1,3,1,1
661,40,96,8,0,3,1,1
340,50,104,4,1,3,1,1
692,50,95,16,1,2,1,1
571,40,66,15,0,3,1,1
1026,60,105,12,1,3,2,2
808,50,101,8,1,1,2,2
788,40,96,13,1,3,2,2
850,40,105,6,1,1,2,2
900,38,106,10,1,3,2,2
1418,45,102,19,1,2,3,3
1009,40,118,11,0,0,2,2
750,40,50,14,0,3,1,1
754,40,55,13,0,2,1,1
937,40,104,14,0,1,2,2
750,40,83,4,0,3,1,1
642,35,87,9,0,3,1,1
894,40,104,7,0,3,2,2
1282,60,96,7,1,3,3,3
485,40,89,10,0,3,1,1
325,55,113,11,0,1,1,1
769,45,105,16,0,3,2,2
1040,48,108,16,1,3,2,2
300,24,83,16,1,3,1,1
1065,65,104,10,1,2,3,3
1070,40,91,13,1,1,3,3
1573,55,112,7,1,1,3,3
890,48,100,4,0,0,2,2
891,40,90,16,0,3,2,2
500,44,107,21,0,2,1,1
1473,40,110,15,0,1,3,3
803,40,120,4,1,3,2,2
629,60,93,6,0,3,1,1
357,70,97,6,0,1,1,1
960,40,83,14,1,3,2,2
481,40,82,9,0,2,1,1
1442,40,113,8,1,2,3,3
788,40,100,15,0,3,2,2
644,42,101,11,0,3,1,1
664,60,82,10,1,3,1,1
520,40,79,6,0,0,1,1
1000,40,107,17,0,3,2,2