ID,Country,Region,Gender,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_saving_energy,Importance_owning_computer,Index_Fingerlength_mm,Ring_Fingerlength_mm,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Charity_Donation
241,USA,NC,Female,Right-Handed,165,2,Car,7,.485,39,1000,1000,1000,540,66,68,1,Fall,No,No,Pizza/Pasta,Water,Science,6,11,4,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Telepathy,Happy,Environment
242,USA,NC,Female,Right-Handed,172,2,Walk,0,.487,38,759,497,834,1000,55,55,6,Fall,Yes,No,Salads,Water,Mathematics and statistics,7,9,2,Text messaging,100,100,20,0,40,0,2,0,10,20,30,0,0,0,A lot,Graduate degree,Telepathy,Happy,International aid
243,USA,NC,Female,Right-Handed,161.3,2,Car,12,.362,37,10000,10000,10000,10000,71.12,68.58,5,Fall,Yes,No,Seafood,Water,Art,6,8,4,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Fly,Happy,Health
244,USA,NC,Female,Right-Handed,157,3,Bus,20,.392,48,353,396,952,278,55,55,10,Spring,No,No,Desserts,Other,Other,4,5,4,Text messaging,1000,1000,2,5,4,1,5,5,5,6,7,7,6,6,Very little,High school,Telepathy,Healthy,Health
245,USA,NC,Female,Right-Handed,165,3,Walk,15,.392,27,1000,1000,1000,925,55,55,2,Winter,No,No,Fruit,Tea,Science,6,10,4,Text messaging,50,100,1,0,40,8,1,4,6,5,50,2,3,1,A lot,Graduate degree,Fly,Rich,Environment
246,USA,NC,Male,Right-Handed,161,2,Bus,15,.5863,50,900,800,900,900,69,73,1,Winter,No,No,Poultry,Water,Science,7,10,7,Text messaging,30,56,18,1,10,7,12,12,0,2,20,8,0,10,A lot,Graduate degree,Freeze time,Rich,"Wildlife, animals"
248,USA,NC,Male,Right-Handed,177,2,Walk,5,.432,40,1000,1000,1000,1000,55,55,2,Fall,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,7,9,4,Text messaging,13,17,17,2,26,3,12,5,20,4,120,3,1,3,A lot,Graduate degree,Freeze time,Healthy,Environment
249,USA,NC,Female,Right-Handed,175,1,Car,15,.25,67,1000,1000,995,1000,25,30,12,Winter,Yes,No,Seafood,Energy drink,Mathematics and statistics,4,8,3,In person,15,50,20,2,10,1,32,2,30,45,15,0,25,1,Some,High school,Telepathy,Happy,Education/Youth development
250,USA,NC,Female,Left-Handed,168,2,Car,5,.596,48,1000,1000,999,503,80,70,1,Fall,No,No,Desserts,Water,Mathematics and statistics,7,9,4,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,A lot,Graduate degree,Telepathy,Happy,International aid
252,USA,NC,Female,Right-Handed,167,2,Car,7,.356,37,800,800,500,200,70,75,9,Winter,No,No,Rice/Noodle dishes,Water,Science,4,10,3,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Freeze time,Happy,Health
253,USA,NC,Female,Right-Handed,155,1,Walk,12,.468,31,700,550,650,400,79,81,6,Spring,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,6,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Fly,Happy,Religious
254,USA,NC,Female,Right-Handed,163,1,Car,4,.921,56,600,600,700,900,32,27,6,Fall,No,No,Fruit,Water,Mathematics and statistics,7,10,4,In person,100,140,20,1,10,5,8,0,6,2,6,5,15,3,Some,Graduate degree,Telepathy,Healthy,International aid
255,USA,NC,Female,Right-Handed,5.5,1,Bus,20,9.263,90,0,10000,500,4,55,55,1,Summer,Yes,No,Poultry,Energy drink,Music,6,12,9,Text messaging,4,4,4,2,4,1,5,0,1,1,0,2,0,1,A lot,Some college,Invisibility,Happy,"Arts, culture, sports"
256,USA,NC,Female,Right-Handed,165,2,Bus,60,.416,47,1000,1000,980,360,55,55,7,Summer,Yes,No,Rice/Noodle dishes,Water,Other,7,11,7,Text messaging,100,112,12,2,1,6,0,0,4,24,2,6,48,8,Some,Some college,Fly,Happy,"Wildlife, animals"
257,USA,NC,Male,Right-Handed,173,2,Car,10,.387,37,840,400,845,700,76,73,6,Summer,No,No,No favorite,Water,Computers and technology,7,9,3,Internet chat or instant messaging,10,6,6,1,10,5,0,10,7,3,16,5,7,4,Some,Undergraduate degree,Freeze time,Happy,International aid
259,USA,NC,Female,Right-Handed,157,2,Bus,60,.402,38,1000,900,1000,1000,55,55,5,Fall,No,No,Fruit,Coffee,Music,5,9,3,Cell phone,50,75,0,0,10,21,0,0,25,7,14,0,0,7,A lot,Other,Telepathy,Famous,"Arts, culture, sports"
260,USA,NC,Male,Right-Handed,166,2,Bus,30,2,26,800,700,600,800,100,110,7,Summer,No,No,Desserts,Water,Physical education,9,8,5,In person,7,8,35,2,6,35,6,14,7,7,0,21,0,7,Very little,Some college,Freeze time,Rich,Other
261,USA,NC,Female,Right-Handed,160,1,Car,7,.781,59,400,400,500,700,79,83,5,Summer,No,No,Desserts,Water,History,6.5,8,5,Text messaging,500,500,16,3,28,21,3,3,28,49,49,7,20,10,A lot,Graduate degree,Invisibility,Rich,Health
262,USA,NC,Male,Right-Handed,185,1,Car,12,.73,44,900,800,750,500,80,80,10,Fall,No,No,Meat,Energy drink,Physical education,5,6,6,Text messaging,20,20,7,5,1,3,8,10,0,17,19,1,24,5,Some,Graduate degree,Super strength,Happy,Health
264,USA,NC,Male,Right-Handed,170.2,7,Car,10,.412,41,784,1000,626,1000,80,85,2,Summer,Yes,No,Meat,Water,Physical education,6,9,4,"Myspace, Facebook, other social networking sites, or blog",75,125,6,3,5,9,16,2,2,2,7,5,0,3,Some,Graduate degree,Fly,Rich,Health
301,USA,NC,Female,Right-Handed,175,1,Bus,4,.364,41,561,658,187,439,70,70,1,Summer,No,No,Breads/Sandwiches,Water,Other,7,11,5,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Fly,Happy,Religious
307,USA,NC,Male,Right-Handed,181,2,Car,10,.235,34,650,500,600,900,35,37,4,Fall,Yes,No,Pizza/Pasta,Water,Science,8,10,4,Internet chat or instant messaging,1,4,6,0,7,1,6,14,0,4,24,6,6,4,Some,Undergraduate degree,Freeze time,Happy,Environment
308,USA,NC,Male,Right-Handed,177,1,Walk,0,.365,43,0,0,0,5,77.5,80,8,Spring,No,No,Meat,Water,Computers and technology,6,11,4,"Myspace, Facebook, other social networking sites, or blog",100,145,112,1,20,5,18,20,40,100,100,10,0,5,A lot,High school,Telepathy,Rich,International aid
309,USA,NC,Male,Right-Handed,180,1,Bus,10,.37,70,1000,1000,599,294,64,51,3,Spring,Yes,Yes,Pizza/Pasta,Water,History,8,6,4,Text messaging,25,31,0,2,2,3,1,0,1,2,0,4,8,1,Some,Undergraduate degree,Telepathy,Famous,Education/Youth development
314,USA,NC,Male,Right-Handed,172,2,Car,20,.444,48,750,250,750,1000,120,100,10,Winter,Yes,No,Fruit,Water,Social studies,7,9,2,"Myspace, Facebook, other social networking sites, or blog",50,50,1,1,8,1,0,20,35,14,60,8,10,1,Some,Graduate degree,Telepathy,Happy,"Arts, culture, sports"
316,USA,NC,Male,Right-Handed,182.8,1,Bus,30,.364,41,400,500,500,1000,76.2,66.04,7,Spring,No,No,Meat,Water,Other,6,9,5,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Some,High school,Freeze time,Happy,Other
319,USA,NC,Female,Right-Handed,149.7,2,Bus,15,.79,45,1000,1000,1000,0,55,15.2,9,Fall,No,No,Breads/Sandwiches,Soft drink (caffeinated),History,7,9,8,Text messaging,20,40,7,6,5,168,4,3,168,54,168,24,40,2,A lot,Graduate degree,Telepathy,Rich,International aid
320,USA,NC,Female,Right-Handed,162.4,4,Car,15,.443,36,0,500,500,1000,92,92,5,Spring,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,6,9,6,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Freeze time,Happy,Health
323,USA,NC,Male,Right-Handed,177,1,Car,25,.334,45,1000,898,829,348,71.12,76.2,10,Fall,Yes,No,Meat,Sports drink,Science,6,9,2,Text messaging,15,50,10,2,15,10,8,0,1,2,10,3,0,0,Some,Graduate degree,Fly,Happy,"Wildlife, animals"
325,USA,NC,Male,Right-Handed,188,2,Bus,15,.471,56,600,500,800,300,95,105,5,Summer,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,7,7,4,Text messaging,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Some,Graduate degree,Freeze time,Healthy,Education/Youth development
328,USA,NC,Male,Right-Handed,183,1,Car,10,.304,46,1000,765,706,380,97,105,4,Fall,No,No,No favorite,Water,Science,7,7,6,"Myspace, Facebook, other social networking sites, or blog",18,20,1,3,12,10,29,10,10,5,5,2,0,2,Very little,Undergraduate degree,Freeze time,Healthy,Environment
332,USA,NC,Female,Right-Handed,154.9,2,Bus,15,.447,48,679,626,663,241,70,70,3,Fall,No,No,Pizza/Pasta,Water,Science,7.5,7,6,In person,20,25,3,0,10,10,0,1,5,2,12,3,0,2,Some,Graduate degree,Telepathy,Happy,Environment
336,USA,NC,Male,Right-Handed,191,2,Car,8,.302,61,400,400,300,1000,83,89,4,Summer,No,No,Meat,Water,Physical education,5,10,4,Text messaging,100,700,25,6,7,3,5,5,35,14,42,0,0,7,Some,Undergraduate degree,Invisibility,Rich,Health
337,USA,NC,Female,Right-Handed,155,3,Car,20,.373,41,20,20,20,20,80,80,4,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,8,10,6,In person,0,0,5,1,2,6,2,0,1,1,1,2,1,1,Some,Some college,Super strength,Happy,Religious
352,USA,NC,Female,Right-Handed,167,2,Car,7,.356,37,800,800,500,200,70,75,9,Winter,No,No,Rice/Noodle dishes,Water,Science,4,10,3,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Freeze time,Happy,Health
353,USA,NC,Female,Right-Handed,155,1,Walk,12,.468,31,700,550,650,400,79,81,6,Spring,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,6,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Fly,Happy,Religious
358,USA,NC,Male,Right-Handed,173,2,Car,18,.317,31,305,310,385,80,60,70,2,Winter,Yes,No,Seafood,Water,Mathematics and statistics,7,12,4,E-mail,2,1,1,1,8,8,1,8,0,0,4,2,5,2,A lot,Less than high school,Fly,Rich,International aid
361,USA,NC,Female,Right-Handed,160,1,Car,7,.781,59,400,400,500,700,79,83,5,Summer,No,No,Desserts,Water,History,6.5,8,5,Text messaging,500,500,16,3,28,21,3,3,28,49,49,7,20,10,A lot,Graduate degree,Invisibility,Rich,Health
401,USA,NC,Female,Right-Handed,175,1,Bus,4,.364,41,561,658,187,439,70,70,1,Summer,No,No,Breads/Sandwiches,Water,Other,7,11,5,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Fly,Happy,Religious
404,USA,NC,Male,Left-Handed,166,1,Car,30,.429,38,604,396,508,107,80,80,7,Summer,Yes,No,Meat,Water,Physical education,8,5,2,E-mail,3,6,0,0,21,11,9,10,0,0,13,8,0,19,Some,Undergraduate degree,Telepathy,Healthy,Health
405,USA,NC,Female,Right-Handed,150,1,Car,15,4.3,28,1000,800,700,600,60,64,3,Summer,Yes,No,Pizza/Pasta,Juice,English,6,6,4,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,A lot,Other,Freeze time,Healthy,Health
409,USA,NC,Male,Right-Handed,180,1,Bus,10,.37,70,1000,1000,599,294,64,51,3,Spring,Yes,Yes,Pizza/Pasta,Water,History,8,6,4,Text messaging,25,31,0,2,2,3,1,0,1,2,0,4,8,1,Some,Undergraduate degree,Telepathy,Famous,Education/Youth development
410,USA,NC,Male,Right-Handed,182,2,Car,30,.288,51,1000,1000,700,0,53,55,8,Spring,No,No,Poultry,Water,Art,9,8,4,Cell phone,2,6,1,0,1,2,2,2,1,1,1,0,7,2,Very little,High school,Freeze time,Healthy,International aid
411,USA,NC,Female,Right-Handed,161,1,Car,15,.274,37,316,358,353,1000,74,75,7,Summer,Yes,No,Pizza/Pasta,Sports drink,Physical education,7,5,4,Text messaging,223,220,26,1,2,27,18,0,9,35,9,9,0,2,Very little,Graduate degree,Invisibility,Happy,Religious
412,USA,NC,Male,Right-Handed,180,1,Car,15,.416,42,900,950,850,300,90,80,1,Winter,Yes,No,Rice/Noodle dishes,Water,Science,6,8,4,Internet chat or instant messaging,10,30,1,0,17,7,12,0,1,4,3,3,5,3,A lot,Undergraduate degree,Telepathy,Happy,Environment
418,USA,NC,Male,Left-Handed,170,2,Car,15,.306,67,0,0,0,10000,40,55,7,Summer,Yes,No,Meat,Water,Music,7,15,5,Text messaging,10,12,7,1,5,0,8,1,20,4,24,1,0,10,Very little,High school,Invisibility,Happy,Religious
420,USA,NC,Female,Right-Handed,162.4,4,Car,15,.443,36,0,500,500,1000,92,92,5,Spring,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,6,9,6,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Freeze time,Happy,Health
421,USA,NC,Female,Right-Handed,161,1,Bus,30,.384,57,497,1000,1000,684,55,55,11,Spring,No,No,Pizza/Pasta,Juice,English,4,10,5,Text messaging,70,80,2,5,40,4,0,0,50,50,4,7,18,4,Some,High school,Telepathy,Happy,Health
423,USA,NC,Male,Right-Handed,177,1,Car,25,.334,45,1000,898,829,348,71.12,76.2,10,Fall,Yes,No,Meat,Sports drink,Science,6,9,2,Text messaging,15,50,10,2,15,10,8,0,1,2,10,3,0,0,Some,Graduate degree,Fly,Happy,"Wildlife, animals"
424,USA,NC,Female,Right-Handed,170.6,3,Bus,30,.33,35,1000,1000,1000,358,85,70,9,Summer,No,No,Pizza/Pasta,Water,Science,6,9,4,"Myspace, Facebook, other social networking sites, or blog",25,40,40,5,8,20,8,5,10,5,12,10,16,10,Some,Graduate degree,Super strength,Happy,International aid
427,USA,NC,Male,Right-Handed,180,2,Bus,6,.503,32,600,400,500,800,91,88,3,Winter,No,No,Poultry,Water,Science,7,8,4,In person,110,210,2,2,4,4,3,3,1,3,14,0,0,4,Very little,Graduate degree,Invisibility,Happy,Education/Youth development
429,USA,NC,Female,Right-Handed,150,1,Walk,10,.746,44,900,950,800,950,47,49,7,Fall,Yes,No,Fruit,Powdered drink,Science,7,9,5,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Fly,Happy,International aid
431,USA,NC,Female,Right-Handed,162,2,Bus,10,.592,58,1000,900,1000,500,55,55,8,Summer,No,No,Breads/Sandwiches,Water,Art,6,9,5,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Very little,Undergraduate degree,Fly,Rich,International aid
434,USA,NC,Male,Right-Handed,186,2,Car,9,.813,54,750,750,400,500,75,87,2,Summer,Yes,No,Meat,Sports drink,Physical education,8,8,5,In person,30,100,8,3,4,1,14,4,3,3,1,1,0,2,Very little,Graduate degree,Fly,Rich,International aid
441,USA,NC,Female,Right-Handed,165,2,Car,7,.485,39,1000,1000,1000,540,66,68,1,Fall,No,No,Pizza/Pasta,Water,Science,6,11,4,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Telepathy,Happy,Environment
450,USA,NC,Female,Left-Handed,168,2,Car,5,.596,48,1000,1000,999,503,80,70,1,Fall,No,No,Desserts,Water,Mathematics and statistics,7,9,4,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,A lot,Graduate degree,Telepathy,Happy,International aid
456,USA,NC,Female,Right-Handed,165,2,Bus,60,.416,47,1000,1000,980,360,55,55,7,Summer,Yes,No,Rice/Noodle dishes,Water,Other,7,11,7,Text messaging,100,112,12,2,1,6,0,0,4,24,2,6,48,8,Some,Some college,Fly,Happy,"Wildlife, animals"
460,USA,NC,Male,Right-Handed,166,2,Bus,30,2,26,800,700,600,800,100,110,7,Summer,No,No,Desserts,Water,Physical education,9,8,5,In person,7,8,35,2,6,35,6,14,7,7,0,21,0,7,Very little,Some college,Freeze time,Rich,Other
465,USA,NC,Female,Right-Handed,170,2,Car,23,.305,32,750,700,800,500,80,85,7,Summer,No,Yes,Fruit,Water,English,7,8,4,In person,3,8,3,1,20,40,7,12,5,1,50,10,0,10,Some,Graduate degree,Freeze time,Happy,"Wildlife, animals"
