ID,Country,Region,DataYear,ClassGrade,Gender,Ageyears,Height_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Home_Occupants,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status
101,USA,NC,2022,11,Female,16,175,167,1,Bus,4,.364,41,193,187,439,545,28,Same length,70,70,Same length,1,Summer,No,No,Breads/Sandwiches,Water,Other,11,5,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Pop,Fly,Happy
115,USA,NC,2014,10,Female,18,171,168,1,Car,10,.482,39,305,305,203,203,23,Right foot,90,90,Same length,3,Spring,No,No,Poultry,Water,Science,9,4,30,40,7,1,5,25,2,0,2,10,5,4,0,3,Some,Undergraduate degree,Country,Telepathy,Happy
120,USA,NC,2016,11,Female,16,162.4,61,4,Car,15,.443,36,500,500,1000,1000,24,Right foot,92,92,Same length,5,Spring,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,9,6,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Freeze time,Happy
125,USA,NC,2021,11,Male,17,188,200,2,Bus,15,.471,56,600,800,300,600,29,Right foot,95,105,Ring finger,5,Summer,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,7,4,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy
126,USA,NC,2020,12,Female,15,290,153,3,Bus,10,.578,92,3000,3000,2000,5000,23,Same length,70,62,Index finger,4,Spring,No,No,No favorite,Water,Mathematics and statistics,8,5,5,7,1,0,3,2,0,0,0,1,2,0,0,1,Some,Graduate degree,Pop,Freeze time,Rich
129,USA,NC,2017,12,Female,17,150,148,1,Walk,10,.746,44,700,800,950,950,14,Left foot,47,49,Ring finger,7,Fall,Yes,No,Fruit,Powdered drink,Science,9,5,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Rock and roll,Fly,Happy
131,USA,NC,2022,12,Female,17,162,162,2,Bus,10,.592,58,1000,1000,500,750,20.23,Same length,55,55,Same length,8,Summer,No,No,Breads/Sandwiches,Water,Art,9,5,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Very little,Undergraduate degree,Pop,Fly,Rich
141,USA,NC,2020,11,Female,17,165,149,2,Car,7,.485,39,1000,1000,540,706,22,Same length,66,68,Ring finger,1,Fall,No,No,Pizza/Pasta,Water,Science,11,4,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Telepathy,Happy
143,USA,NC,2018,11,Female,16,161.3,152,2,Car,12,.362,37,10000,10000,10000,10000,15.5,Left foot,71.12,68.58,Index finger,5,Fall,Yes,No,Seafood,Water,Art,8,4,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Fly,Happy
144,USA,NC,2021,12,Female,18,157,145,3,Bus,20,.392,48,417,952,278,775,25,Same length,55,55,Same length,10,Spring,No,No,Desserts,Other,Other,5,4,1000,1000,2,5,4,1,5,5,5,6,7,7,6,6,Very little,High school,Other,Telepathy,Healthy
145,USA,NC,2021,11,Female,17,165,163,3,Walk,15,.392,27,1000,1000,925,968,24,Same length,55,55,Same length,2,Winter,No,No,Fruit,Tea,Science,10,4,50,100,1,0,40,8,1,4,6,5,50,2,3,1,A lot,Graduate degree,Pop,Fly,Rich
148,USA,NC,2021,12,Male,17,177,185,2,Walk,5,.432,40,1000,1000,1000,1000,28,Left foot,55,55,Index finger,2,Fall,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,9,4,13,17,17,2,26,3,12,5,20,4,120,3,1,3,A lot,Graduate degree,Rock and roll,Freeze time,Healthy
149,USA,NC,2015,11,Female,17,175,140,1,Car,15,.25,67,1000,995,1000,1000,20,Right foot,25,30,Same length,12,Winter,Yes,No,Seafood,Energy drink,Mathematics and statistics,8,3,15,50,20,2,10,1,32,2,30,45,15,0,25,1,Some,High school,Rap/Hip hop,Telepathy,Happy
150,USA,NC,2020,12,Female,17,168,160,2,Car,5,.596,48,1000,999,503,652,24,Same length,80,70,Index finger,1,Fall,No,No,Desserts,Water,Mathematics and statistics,9,4,60,50,10,8,12,2,1,0,5,10,18,10,20,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy
151,USA,NC,2020,12,Male,17,180,174,1,Car,10,.462,51,500,800,200,200,24,Right foot,70,55,Ring finger,11,Fall,No,No,Meat,Energy drink,Physical education,10,3,100,90,20,30,30,15,15,25,30,40,30,10,30,20,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Happy
152,USA,NC,2018,12,Female,17,167,158,2,Car,7,.356,37,600,500,200,400,24,Same length,70,75,Ring finger,9,Winter,No,No,Rice/Noodle dishes,Water,Science,10,3,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Freeze time,Happy
158,USA,NC,2017,10,Male,15,173,169,2,Car,18,.317,31,385,385,80,5,25,Same length,60,70,Ring finger,2,Winter,Yes,No,Seafood,Water,Mathematics and statistics,12,4,2,1,1,1,8,8,1,8,0,0,4,2,5,2,A lot,Less than high school,Techno/Electronic,Fly,Rich
159,USA,NC,2015,12,Female,15,157,156,2,Bus,60,.402,38,1000,1000,1000,1000,22,Right foot,55,55,Same length,5,Fall,No,No,Fruit,Coffee,Music,9,3,50,75,0,0,10,21,0,0,25,7,14,0,0,7,A lot,Other,Punk rock,Telepathy,Famous
201,USA,NC,2022,11,Female,16,175,167,1,Bus,4,.364,41,193,187,439,545,28,Same length,70,70,Same length,1,Summer,No,No,Breads/Sandwiches,Water,Other,11,5,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Pop,Fly,Happy
202,USA,NC,2018,12,Male,21,178,184,2,Walk,10,.317,43,674,743,567,845,27.5,Left foot,40,55,Ring finger,8,Winter,Yes,No,Meat,Soft drink (non-caffeinated),Science,7,1,150,150,18,1,20,0,15,20,3,3,2,7,0,2,A lot,Graduate degree,Other,Telepathy,Healthy
203,USA,NC,2015,12,Female,16,163,156,1,Car,10,.313,38,65,90,70,75,21,Right foot,73,75,Ring finger,4,Spring,No,No,Poultry,Water,Mathematics and statistics,12,4,20,20,10,1,2,35,5,2,1,6,20,5,0,5,Very little,Graduate degree,Pop,Freeze time,Happy
204,USA,NC,2016,9,Male,14,166,180,1,Car,30,.429,38,198,508,107,481,27,Same length,80,80,Same length,7,Summer,Yes,No,Meat,Water,Physical education,5,2,3,6,0,0,21,11,9,10,0,0,13,8,0,19,Some,Undergraduate degree,Rock and roll,Telepathy,Healthy
205,USA,NC,2015,12,Female,49,150,70,1,Car,15,4.3,28,900,700,600,599,32,Same length,60,64,Ring finger,3,Summer,Yes,No,Pizza/Pasta,Juice,English,6,4,4,6,1,1,5,4,1,0,3,1,4,4,40,8,A lot,Other,Country,Freeze time,Healthy
206,USA,NC,2020,12,Male,17,168,168,1,Car,10,.324,40,749,642,1000,1000,26,Same length,92,102,Ring finger,10,Summer,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,4,51,46,8,0,7,8,7,0,2,4,20,10,20,3,A lot,Undergraduate degree,Rock and roll,Fly,Healthy
207,USA,NC,2021,11,Male,17,181,185,2,Car,10,.235,34,400,600,900,1000,26.5,Left foot,35,37,Ring finger,4,Fall,Yes,No,Pizza/Pasta,Water,Science,10,4,1,4,6,0,7,1,6,14,0,4,24,6,6,4,Some,Undergraduate degree,Other,Freeze time,Happy
208,USA,NC,2017,12,Male,17,177,179,1,Walk,0,.365,43,0,0,5,5,25,Right foot,77.5,80,Ring finger,8,Spring,No,No,Meat,Water,Computers and technology,11,4,100,145,112,1,20,5,18,20,40,100,100,10,0,5,A lot,High school,Rap/Hip hop,Telepathy,Rich
210,USA,NC,2022,12,Male,17,182,176,2,Car,30,.288,51,800,700,0,400,30,Same length,53,55,Ring finger,8,Spring,No,No,Poultry,Water,Art,8,4,2,6,1,0,1,2,2,2,1,1,1,0,7,2,Very little,High school,Rap/Hip hop,Freeze time,Healthy
212,USA,NC,2017,12,Male,17,180,178,1,Car,15,.416,42,850,850,300,600,27,Same length,90,80,Index finger,1,Winter,Yes,No,Rice/Noodle dishes,Water,Science,8,4,10,30,1,0,17,7,12,0,1,4,3,3,5,3,A lot,Undergraduate degree,Other,Telepathy,Happy
214,USA,NC,2014,12,Male,17,172,170,2,Car,20,.444,48,100,750,1000,1000,23,Right foot,120,100,Index finger,10,Winter,Yes,No,Fruit,Water,Social studies,9,2,50,50,1,1,8,1,0,20,35,14,60,8,10,1,Some,Graduate degree,Classical,Telepathy,Happy
215,USA,NC,2014,10,Female,18,171,168,1,Car,10,.482,39,305,305,203,203,23,Right foot,90,90,Same length,3,Spring,No,No,Poultry,Water,Science,9,4,30,40,7,1,5,25,2,0,2,10,5,4,0,3,Some,Undergraduate degree,Country,Telepathy,Happy
216,USA,NC,2020,12,Male,18,182.8,34,1,Bus,30,.364,41,500,500,1000,1000,28,Same length,76.2,66.04,Index finger,7,Spring,No,No,Meat,Water,Other,9,5,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Some,High school,Other,Freeze time,Happy
217,USA,NC,2021,12,Female,17,163,142,1,Car,15,.307,35,818,818,246,545,20,Same length,76,76,Ring finger,12,Fall,Yes,No,Pizza/Pasta,Water,English,8,3,15,35,4,1,28,15,6,0,30,4,55,4,0,4,A lot,Graduate degree,Pop,Telepathy,Happy
218,USA,NC,2022,12,Male,17,170,176,2,Car,15,.306,67,0,0,10000,10000,25,Right foot,40,55,Ring finger,7,Summer,Yes,No,Meat,Water,Music,15,5,10,12,7,1,5,0,8,1,20,4,24,1,0,10,Very little,High school,Heavy metal,Invisibility,Happy
219,USA,NC,2021,12,Female,18,149.7,50.8,2,Bus,15,.79,45,1000,1000,0,1000,38.2,Same length,55,15.2,Same length,9,Fall,No,No,Breads/Sandwiches,Soft drink (caffeinated),History,9,8,20,40,7,6,5,168,4,3,168,54,168,24,40,2,A lot,Graduate degree,Other,Telepathy,Rich
220,USA,NC,2016,11,Female,16,162.4,61,4,Car,15,.443,36,500,500,1000,1000,24,Right foot,92,92,Same length,5,Spring,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,9,6,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Freeze time,Happy
221,USA,NC,2021,12,Female,18,161,59,1,Bus,30,.384,57,497,1000,684,1000,22,Same length,55,55,Same length,11,Spring,No,No,Pizza/Pasta,Juice,English,10,5,70,80,2,5,40,4,0,0,50,50,4,7,18,4,Some,High school,Pop,Telepathy,Happy
222,USA,NC,2022,11,Male,18,179,143,1,Car,25,1.201,53,0,0,0,400,23,Same length,9,55,Index finger,7,Summer,Yes,No,Meat,Soft drink (caffeinated),History,9,6,20,20,0,1,2,2,1,6,3,1,7,2,0,1,Some,Other,Rap/Hip hop,Telepathy,Happy
223,USA,NC,2021,11,Male,17,177,182.8,1,Car,25,.334,45,850,829,348,465,33.02,Same length,71.12,76.2,Ring finger,10,Fall,Yes,No,Meat,Sports drink,Science,9,2,15,50,10,2,15,10,8,0,1,2,10,3,0,0,Some,Graduate degree,Rap/Hip hop,Fly,Happy
224,USA,NC,2018,10,Female,16,170.6,150,3,Bus,30,.33,35,1000,1000,358,241,25.4,Same length,85,70,Index finger,9,Summer,No,No,Pizza/Pasta,Water,Science,9,4,25,40,40,5,8,20,8,5,10,5,12,10,16,10,Some,Graduate degree,Reggae,Super strength,Happy
225,USA,NC,2021,11,Male,17,188,200,2,Bus,15,.471,56,600,800,300,600,29,Right foot,95,105,Ring finger,5,Summer,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,7,4,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy
226,USA,NC,2020,12,Female,15,290,153,3,Bus,10,.578,92,3000,3000,2000,5000,23,Same length,70,62,Index finger,4,Spring,No,No,No favorite,Water,Mathematics and statistics,8,5,5,7,1,0,3,2,0,0,0,1,2,0,0,1,Some,Graduate degree,Pop,Freeze time,Rich
227,USA,NC,2020,11,Male,15,180,173,2,Bus,6,.503,32,700,500,800,900,29,Same length,91,88,Index finger,3,Winter,No,No,Poultry,Water,Science,8,4,110,210,2,2,4,4,3,3,1,3,14,0,0,4,Very little,Graduate degree,Classical,Invisibility,Happy
228,USA,NC,2020,11,Male,18,183,186,1,Car,10,.304,46,797,706,380,604,26,Left foot,97,105,Ring finger,4,Fall,No,No,No favorite,Water,Science,7,6,18,20,1,3,12,10,29,10,10,5,5,2,0,2,Very little,Undergraduate degree,Other,Freeze time,Healthy
229,USA,NC,2017,12,Female,17,150,148,1,Walk,10,.746,44,700,800,950,950,14,Left foot,47,49,Ring finger,7,Fall,Yes,No,Fruit,Powdered drink,Science,9,5,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Rock and roll,Fly,Happy
230,USA,NC,2019,11,Female,17,163,153.7,3,Bus,15,.404,45,780,600,750,830,22.4,Left foot,70,730,Ring finger,8,Fall,No,No,Rice/Noodle dishes,Tea,History,9,4,30,10,4,1,2,5,6,0,2,1,1,6,0,1,A lot,Graduate degree,Pop,Fly,Healthy
232,USA,NC,2021,11,Female,16,154.9,152.4,2,Bus,15,.447,48,765,663,241,289,22,Same length,70,70,Same length,3,Fall,No,No,Pizza/Pasta,Water,Science,7,6,20,25,3,0,10,10,0,1,5,2,12,3,0,2,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy
233,USA,NC,2019,11,Male,16,188,182,1,Car,25,.491,43,717,524,909,904,27,Same length,76,76,Same length,12,Fall,Yes,No,Pizza/Pasta,Water,Computers and technology,9,4,5,7,2,0,3,1,3,1,3,1,2,1,0,1,Some,Graduate degree,Rock and roll,Freeze time,Happy
234,USA,NC,2017,11,Male,16,186,175,2,Car,9,.813,54,200,400,500,700,26,Right foot,75,87,Ring finger,2,Summer,Yes,No,Meat,Sports drink,Physical education,8,5,30,100,8,3,4,1,14,4,3,3,1,1,0,2,Very little,Graduate degree,Rap/Hip hop,Fly,Rich
236,USA,NC,2022,12,Male,16,191,196,2,Car,8,.302,61,300,300,1000,1000,29,Same length,83,89,Ring finger,4,Summer,No,No,Meat,Water,Physical education,10,4,100,700,25,6,7,3,5,5,35,14,42,0,0,7,Some,Undergraduate degree,Rap/Hip hop,Invisibility,Rich
237,USA,NC,2014,12,Female,16,155,153,3,Car,20,.373,41,20,20,20,10,23,Right foot,80,80,Same length,4,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,10,6,0,0,5,1,2,6,2,0,1,1,1,2,1,1,Some,Some college,Other,Super strength,Happy
238,USA,NC,2019,11,Male,17,170,173,1,Car,7,.432,38,500,500,900,1000,23,Same length,75,85,Ring finger,7,Summer,No,No,Meat,Water,Physical education,9,5,10,25,6,0,5,4,8,4,4,2,12,5,3,2,Some,Graduate degree,Pop,Telepathy,Rich
239,USA,NC,2021,12,Male,15,169,169,2,Car,13,.335,50,1000,1000,950,1000,25,Same length,71,74,Ring finger,7,Summer,No,No,Desserts,Milk,Art,10,3,0,0,44,0,30,34,0,23,54,52,44,71,0,0,Some,Other,Techno/Electronic,Freeze time,Happy
240,USA,NC,2017,12,Male,17,179,70,1,Car,6,.723,50,905,910,900,950,28,Same length,95,107,Ring finger,4,Fall,Yes,No,Meat,Water,Physical education,8,4,100,250,12,0,4,15,7,6,8,8,5,10,15,2,Very little,Undergraduate degree,Country,Super strength,Happy
241,USA,NC,2020,11,Female,17,165,149,2,Car,7,.485,39,1000,1000,540,706,22,Same length,66,68,Ring finger,1,Fall,No,No,Pizza/Pasta,Water,Science,11,4,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Telepathy,Happy
243,USA,NC,2018,11,Female,16,161.3,152,2,Car,12,.362,37,10000,10000,10000,10000,15.5,Left foot,71.12,68.58,Index finger,5,Fall,Yes,No,Seafood,Water,Art,8,4,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Fly,Happy
