wage,hours,IQ,KWW,married,urban,sibs,famses
769,40,93,35,1,1,1,2
825,40,108,46,1,1,1,2
1400,40,116,43,1,1,1,3
1081,40,114,50,1,1,2,3
1792,40,118,47,1,1,1,3
850,40,72,36,1,1,2,2
830,44,105,29,1,1,3,2
1275,40,123,37,1,1,0,3
1615,50,113,49,1,1,2,3
873,65,95,36,1,1,3,2
2137,45,145,50,1,1,2,3
1053,38,114,35,1,1,0,2
1602,60,124,32,1,1,3,3
800,40,115,39,1,1,0,1
1417,48,125,41,1,1,3,3
635,40,128,35,0,1,2,1
1000,40,103,40,1,1,1,2
1424,50,98,41,1,1,1,3
1779,40,132,42,1,1,1,3
782,40,92,24,1,1,3,2
1274,40,106,35,1,1,0,3
714,35,105,37,1,1,1,1
692,40,108,48,1,1,3,1
1239,45,109,44,1,1,3,3
1027,27,100,40,1,1,3,2
1748,55,125,50,1,1,1,3
1154,50,94,37,1,1,1,3
1154,40,134,46,1,1,2,3
1749,40,108,32,0,1,3,3
462,40,112,35,1,1,3,1
769,55,120,49,0,1,1,2
875,50,124,40,0,0,2,2
1375,40,103,34,1,1,3,3
800,40,96,33,1,1,1,2
1748,55,123,48,1,1,1,3
978,45,89,47,1,1,0,2
963,40,109,43,0,0,3,2
619,42,93,20,0,1,3,1
1643,48,117,48,1,1,2,3
1455,40,109,44,1,1,1,3
1682,45,126,40,1,1,1,3
1235,40,82,45,1,1,1,3
855,45,119,45,1,1,3,2
1072,42,104,37,1,1,2,3
1000,50,97,45,1,1,1,2
675,40,105,27,1,0,3,1
686,55,106,38,1,1,3,1
857,35,80,39,1,1,2,2
579,44,122,36,1,0,3,1
1186,30,91,41,1,1,1,3
833,48,96,37,1,1,3,2
865,40,110,35,1,1,3,2
1299,60,125,44,0,1,1,3
903,40,91,39,1,1,3,2
900,40,86,28,1,1,3,2
625,40,110,32,1,1,3,1
1539,45,120,36,1,1,1,3
1110,52,106,42,1,0,3,3
770,48,91,39,1,1,1,2
1000,45,90,42,1,1,3,2
750,40,113,27,1,0,1,1
601,48,111,30,1,1,0,1
433,40,98,28,0,1,1,1
1151,45,90,38,1,1,1,3
1031,40,112,24,1,1,3,2
1000,45,123,41,1,1,3,2
1924,50,121,40,1,1,3,3
1346,40,90,44,1,1,1,3
1495,45,109,34,1,1,3,3
1200,40,97,35,1,1,3,3
900,40,78,21,1,1,3,2
1034,40,97,39,1,1,3,2
513,45,119,30,0,1,1,1
1105,40,93,36,0,1,2,3
650,40,100,18,1,1,3,1
1126,40,119,30,1,1,1,3
1028,40,111,28,1,1,3,2
2404,50,106,38,1,1,2,3
1250,40,115,36,1,1,2,3
1162,48,102,40,1,1,3,3
1025,40,85,29,1,1,3,2
1318,35,118,47,1,0,1,3
2162,40,115,51,1,1,1,3
1140,48,109,43,1,1,2,3
578,40,109,28,0,1,1,1
750,40,106,32,1,1,1,1
400,40,75,33,1,1,3,1
577,50,94,17,1,1,2,1
1100,40,122,38,1,1,2,3
1130,50,105,38,1,1,3,3
529,40,110,31,1,0,1,1
2404,50,96,42,1,1,3,3
1126,40,110,26,1,1,3,3
1778,40,109,43,1,1,0,3
1903,48,118,44,1,0,0,3
971,40,95,42,1,1,1,2
525,40,99,40,1,1,2,1
670,45,117,33,1,0,3,1
500,45,90,47,1,0,0,1
1058,45,98,45,1,0,2,3
550,46,95,44,1,1,1,1
500,45,115,43,1,1,1,1
727,55,106,40,0,1,1,1
1081,40,92,34,1,1,3,3
623,45,98,34,1,0,3,1
1273,55,84,42,1,1,1,3
600,40,107,32,1,0,3,1
500,55,86,22,1,0,3,1
500,50,97,34,1,0,2,1
1250,40,117,45,1,1,1,3
1014,55,110,42,0,1,1,2
913,40,110,26,1,1,3,2
1607,56,108,41,1,1,2,3
1391,50,109,38,1,1,1,3
794,40,114,36,1,1,1,2
500,30,90,46,1,0,3,1
1924,50,112,47,1,1,3,3
1115,40,118,40,1,1,1,3
449,36,91,20,0,1,1,1
826,40,114,40,1,1,3,2
1136,50,117,36,1,1,2,3
800,45,110,36,1,1,3,2
935,44,97,27,1,1,2,2
537,40,97,32,0,1,2,1
1082,55,95,40,1,1,2,3
548,40,86,22,1,1,3,1
622,45,119,48,1,1,0,1
769,55,105,45,0,1,2,2
417,48,131,39,0,1,1,1
1202,48,114,28,1,1,3,3
1070,40,124,41,1,1,0,3
711,45,100,38,1,1,1,1
1202,40,84,21,1,1,2,3
850,43,113,26,1,1,1,2
490,49,82,33,0,1,2,1
865,40,111,38,1,1,3,2
1375,40,96,24,1,1,3,3
1602,65,97,47,1,1,1,3
3078,65,120,50,1,1,1,3
571,40,78,33,0,1,3,1
445,45,110,23,0,1,2,1
289,40,94,35,1,1,2,1
1444,40,120,50,1,1,1,3
1075,40,103,31,1,1,3,3
620,40,99,22,1,1,3,1
1016,40,72,18,1,1,3,2
1050,40,119,37,0,1,2,2
1079,50,87,33,1,1,3,3
654,50,121,49,1,1,1,1
1038,48,103,36,1,0,2,2
905,45,109,41,1,1,3,2
812,40,98,42,0,1,3,2
756,40,78,29,1,1,2,2
1025,40,104,25,1,1,3,2
1350,40,107,37,1,0,2,3
1001,40,109,48,1,1,1,2
796,48,119,31,1,1,3,2
1230,50,96,33,1,1,3,3
754,40,93,31,1,1,3,1
714,40,90,32,1,0,3,1
2067,40,106,41,1,1,2,3
951,40,86,33,1,1,3,2
1151,48,87,41,1,1,2,3
841,44,106,40,1,1,3,2
1175,45,111,38,1,1,0,3
1202,40,100,40,1,1,0,3
750,60,74,23,1,1,3,1
841,48,110,37,0,1,1,2
800,45,98,31,1,0,3,2
475,52,98,33,0,1,3,1
962,40,120,33,1,1,3,2
721,40,134,38,0,1,3,1
800,50,92,28,1,1,0,2
658,40,129,34,1,1,2,1
1270,40,118,42,1,1,2,3
824,42,92,37,1,1,1,2
1442,40,118,33,1,1,2,3
1100,40,91,41,1,0,2,3
1000,45,118,38,1,1,3,2
523,43,119,37,1,0,3,1
1111,40,103,33,1,0,3,3
962,40,120,25,1,0,3,2
850,44,115,37,1,1,3,2
670,40,88,27,1,1,3,1
1442,40,123,42,1,0,2,3
975,40,97,39,1,1,3,2
1223,40,107,34,1,0,1,3
533,45,109,31,1,1,2,1
750,40,104,36,1,0,0,1
745,40,94,40,0,0,2,1
900,40,103,38,1,0,3,2
1170,47,123,45,1,1,3,3
615,40,100,31,1,0,3,1
833,60,101,47,1,1,3,2
1027,45,115,41,1,1,3,2
465,43,84,33,1,1,3,1
641,45,125,44,1,1,1,1
1035,48,107,42,1,1,1,2
950,40,98,40,1,1,3,2
562,40,99,25,0,0,1,1
692,50,120,34,1,0,3,1
1111,40,98,32,1,1,3,3
1368,45,107,31,1,1,2,3
1282,45,121,39,1,1,2,3
1250,60,115,40,1,1,1,3
1346,40,134,42,1,1,2,3
854,48,120,38,0,1,2,2
1161,50,121,40,1,1,3,3
489,55,104,47,1,1,2,1
1126,40,116,33,1,1,3,3
1000,40,70,18,0,1,3,2
1200,50,84,13,1,1,3,3
565,45,82,30,1,0,3,1
1920,40,109,32,1,0,0,3
774,40,94,33,1,0,1,2
1366,40,90,35,1,1,3,3
750,45,93,45,1,1,1,1
1111,45,118,43,1,1,3,3
1154,40,109,42,1,1,0,3
610,50,89,21,1,0,1,1
1749,43,101,28,1,0,2,3
350,40,109,48,1,0,1,1
938,50,130,39,1,0,3,2
2099,55,119,38,1,1,0,3
350,40,74,24,1,1,3,1
940,48,104,25,1,1,3,2
450,40,94,29,1,0,1,1
318,40,67,35,1,1,3,1
556,40,69,26,0,1,3,1
995,40,92,23,1,1,3,2
511,45,101,25,1,1,3,1
1411,45,111,40,1,1,1,3
1200,50,99,37,1,1,3,3
1377,37,118,48,1,1,2,3
1082,40,111,44,1,1,3,3
693,40,79,36,1,0,3,1
698,43,97,33,1,1,2,1
812,40,131,44,0,0,1,2
1000,40,93,32,1,1,1,2
549,49,79,23,0,0,3,1
1539,40,112,42,1,0,3,3
1100,40,104,41,1,1,2,3
433,50,100,40,1,0,2,1
940,40,71,20,1,0,2,2
1417,38,88,36,0,1,2,3
500,40,98,26,1,0,3,1
550,40,77,36,1,0,3,1
795,52,89,35,1,1,3,2
200,55,103,38,1,1,3,1
508,50,87,35,1,1,2,1
1199,43,70,28,1,1,3,3
350,45,116,36,1,1,2,1
1463,45,104,47,1,1,3,3
802,40,99,26,1,1,3,2
751,40,114,37,1,1,2,1
488,40,103,40,1,1,1,1
1400,40,92,34,1,1,2,3
866,40,114,48,1,1,3,2
675,40,77,42,1,1,3,1
560,49,112,37,1,0,3,1
684,45,106,45,1,1,1,1
1322,40,128,43,1,1,0,3
472,45,71,24,1,1,3,1
1679,55,127,45,1,1,1,3
760,40,88,34,1,1,2,2
1154,42,88,32,1,1,2,3
577,40,111,37,0,1,1,1
1040,40,101,38,1,1,3,2
1250,40,92,42,0,1,1,3
1000,40,93,26,1,1,3,2
988,48,91,39,1,1,1,2
478,45,90,35,1,1,2,1
1550,40,104,47,1,0,3,3
1000,40,100,42,1,1,2,2
625,40,129,40,1,0,3,1
1346,40,112,39,1,1,0,3
479,40,97,45,1,0,3,1
543,45,90,31,1,1,1,1
507,55,110,36,1,1,2,1
586,56,98,41,1,1,2,1
462,55,61,24,1,0,3,1
705,40,76,32,1,1,3,1
556,40,127,44,1,1,2,1
1000,48,105,39,1,0,0,2
900,55,100,27,0,1,2,2
508,50,125,44,1,1,3,1
1500,60,124,20,1,0,2,3
2137,45,102,35,1,0,0,3
769,40,98,37,0,1,0,2
345,40,84,28,1,1,2,1
495,40,88,30,1,1,2,1
1098,45,105,22,0,1,1,3
1212,40,95,36,1,0,3,3
390,59,74,26,1,1,3,1
583,80,86,24,1,1,2,1
945,40,87,41,1,1,2,2
1442,60,117,39,1,1,1,3
1333,45,112,50,1,1,1,3
1500,37,119,41,0,1,1,3
1333,45,103,30,1,1,3,3
700,40,74,29,1,1,3,1
630,40,103,30,1,0,0,1
660,42,101,34,1,1,0,1
560,44,70,34,1,1,2,1
1539,40,115,38,1,1,2,3
1154,40,117,38,1,1,3,3
962,50,105,45,1,1,3,2
480,40,83,37,1,1,3,1
808,50,101,44,1,0,3,2
1442,40,113,36,1,1,2,3
1091,50,88,31,1,1,3,3
1026,45,113,27,1,1,2,2
1333,60,106,38,1,1,2,3
915,55,114,36,1,1,1,2
1000,40,89,40,1,1,3,2
1160,40,74,18,1,1,3,3
1001,34,77,22,1,1,3,2
929,40,97,28,1,1,2,2
1241,40,83,51,1,1,2,3
1065,40,97,40,1,1,1,3
403,45,98,37,1,1,2,1
940,45,102,30,1,1,2,2
812,40,81,20,1,1,2,2
441,38,74,24,1,0,3,1
625,40,92,25,1,0,3,1
726,45,93,32,1,0,3,1
500,40,69,18,1,1,3,1
1154,50,109,46,1,1,2,3
1386,42,109,43,1,0,1,3
829,40,98,33,1,1,3,2
1155,40,117,25,1,1,3,3
700,40,82,35,1,1,3,1
3078,30,107,23,1,1,2,3
508,40,73,38,1,1,1,1
990,40,67,23,1,1,2,2
905,40,102,31,1,0,3,2
1559,40,103,32,1,1,3,3
1312,40,118,39,1,1,0,3
923,40,118,36,1,1,3,2
879,40,118,41,1,1,1,2
800,25,75,37,1,1,0,2
1190,40,119,38,1,1,0,3
1200,40,103,27,1,1,1,3
1746,40,131,41,1,1,3,3
520,40,126,23,1,1,3,1
2137,45,108,45,1,1,2,3
692,50,92,49,1,1,0,1
866,40,111,44,1,1,1,2
1384,50,114,48,1,1,1,3
528,55,116,40,1,1,3,1
881,40,90,41,1,0,2,2
1026,45,125,33,1,1,3,2
1212,40,98,26,0,1,3,3
1000,40,121,35,1,1,2,2
737,48,103,37,1,1,3,1
1699,40,100,40,1,1,1,3
720,50,101,39,1,1,3,1
855,40,99,44,1,1,1,2
1250,40,95,23,1,1,2,3
962,40,112,46,1,1,2,2
900,40,119,39,1,0,1,2
751,40,96,42,1,0,1,1
1097,50,80,27,1,0,3,3
1250,40,78,36,1,1,3,3
857,65,99,41,1,1,2,2
937,32,113,23,1,1,3,2
1200,40,96,26,1,1,3,3
1261,40,117,41,1,1,3,3
950,40,96,38,1,1,1,2
115,50,108,46,1,1,3,1
1084,45,95,38,1,1,1,3
1924,40,105,42,1,0,0,3
855,40,109,36,1,0,3,2
864,40,87,38,1,0,1,2
1092,44,110,34,1,1,3,3
673,40,85,21,1,0,2,1
884,40,108,40,1,1,3,2
664,40,105,30,1,1,3,1
850,43,111,38,1,1,3,2
875,40,92,32,0,1,3,2
950,40,86,31,1,1,3,2
1442,40,105,42,1,1,3,3
866,40,85,26,1,0,3,2
625,40,72,34,1,0,3,1
680,40,86,35,0,0,3,1
693,40,68,38,1,0,3,1
875,36,95,22,0,0,3,2
2308,40,116,42,1,0,3,3
721,40,100,32,1,1,3,1
1500,40,101,38,1,1,3,3
1050,50,97,31,1,1,2,2
640,23,96,39,0,1,3,1
889,36,116,37,1,1,1,2
1127,40,98,45,1,1,1,3
855,40,118,41,1,0,3,2
525,40,100,22,1,0,1,1
1104,54,96,39,1,0,1,3
800,43,96,27,1,0,1,2
510,54,62,34,0,1,3,1
418,40,76,26,1,0,0,1
1133,40,106,44,1,0,1,3
950,40,81,29,1,0,3,2
600,40,87,15,1,0,0,1
925,40,75,27,1,0,2,2
606,40,86,19,1,0,3,1
340,50,104,41,1,1,3,1
692,50,95,21,1,1,2,1
817,40,101,38,1,1,1,2
987,40,96,23,1,0,1,2
808,50,101,34,1,1,1,2
1418,45,102,44,1,1,2,3
260,40,75,35,1,0,3,1
357,70,115,37,1,1,3,1
1009,40,118,37,1,0,0,2
651,40,76,30,1,1,3,1
754,40,55,23,1,0,2,1
503,40,84,14,0,1,3,1
624,40,92,40,1,0,2,1
900,40,98,36,1,0,3,2
642,35,87,26,1,0,3,1
400,50,96,38,0,0,3,1
894,40,104,35,1,0,3,2
325,55,113,39,1,0,1,1
300,24,83,45,1,1,3,1
753,46,70,34,1,1,3,1
1065,65,104,39,1,1,2,3
1070,40,91,42,1,1,1,3
1573,55,112,42,1,1,1,3
891,40,90,36,1,0,3,2
570,50,101,43,1,1,2,1
803,40,120,35,1,1,3,2
1000,44,103,37,1,1,0,2
600,40,114,36,1,1,2,1
450,40,95,31,1,0,2,1
357,70,97,34,1,0,1,1
960,40,83,25,1,1,3,2
566,45,104,46,1,0,1,1
481,40,82,27,1,0,2,1
1442,40,113,45,1,1,2,3
788,40,100,23,1,0,3,2
477,45,100,33,1,0,3,1
1202,40,102,32,1,1,3,3