ID,ClassGrade,Gender,Footlength_cm,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Favorite_Season,Allergies,Vegetarian,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
101,11,Female,28,Bus,4,.364,41,28,Same length,70,70,Same length,Summer,No,No,Water,Other,7,11,5,Yes - other,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Pop,Fly,Happy,Relative,Religious
108,12,Male,26,Walk,0,.365,43,25,Right foot,77.5,80,Ring finger,Spring,No,No,Water,Computers and technology,6,11,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,145,112,1,20,5,18,20,40,100,100,10,0,5,A lot,High school,Rap/Hip hop,Telepathy,Rich,Other,International aid
115,10,Female,24,Car,10,.482,39,23,Right foot,90,90,Same length,Spring,No,No,Water,Science,7,9,4,Yes - broadband connection,In person,30,40,7,1,5,25,2,0,2,10,5,4,0,3,Some,Undergraduate degree,Country,Telepathy,Happy,Doctor or nurse,Health
116,12,Male,9.5,Bus,30,.364,41,28,Same length,76.2,66.04,Index finger,Spring,No,No,Water,Other,6,9,5,Yes - broadband connection,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Some,High school,Other,Freeze time,Happy,Other,Other
125,11,Male,27,Bus,15,.471,56,29,Right foot,95,105,Ring finger,Summer,No,Yes,Water,Mathematics and statistics,7,7,4,Yes - broadband connection,Text messaging,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Sports person,Education/Youth development
129,12,Female,13,Walk,10,.746,44,14,Left foot,47,49,Ring finger,Fall,Yes,No,Powdered drink,Science,7,9,5,Yes - broadband connection,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Rock and roll,Fly,Happy,Doctor or nurse,International aid
131,12,Female,20.23,Bus,10,.592,58,20.23,Same length,55,55,Same length,Summer,No,No,Water,Art,6,9,5,Yes - broadband connection,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Very little,Undergraduate degree,Pop,Fly,Rich,Relative,International aid
141,11,Female,22,Car,7,.485,39,22,Same length,66,68,Ring finger,Fall,No,No,Water,Science,6,11,4,Yes - broadband connection,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,Environment
143,11,Female,14.7,Car,12,.362,37,15.5,Left foot,71.12,68.58,Index finger,Fall,Yes,No,Water,Art,6,8,4,Yes - broadband connection,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Fly,Happy,Sports person,Health
144,12,Female,5,Bus,20,.392,48,25,Same length,55,55,Same length,Spring,No,No,Other,Other,4,5,4,Yes - dial-up connection,Text messaging,1000,1000,2,5,4,1,5,5,5,6,7,7,6,6,Very little,High school,Other,Telepathy,Healthy,Teacher,Health
145,11,Female,24,Walk,15,.392,27,24,Same length,55,55,Same length,Winter,No,No,Tea,Science,6,10,4,Yes - broadband connection,Text messaging,50,100,1,0,40,8,1,4,6,5,50,2,3,1,A lot,Graduate degree,Pop,Fly,Rich,Community leader or elder,Environment
148,12,Male,27,Walk,5,.432,40,28,Left foot,55,55,Index finger,Fall,No,No,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,Text messaging,13,17,17,2,26,3,12,5,20,4,120,3,1,3,A lot,Graduate degree,Rock and roll,Freeze time,Healthy,Coach or club leader,Environment
149,11,Female,22,Car,15,.25,67,20,Right foot,25,30,Same length,Winter,Yes,No,Energy drink,Mathematics and statistics,4,8,3,Yes - dial-up connection,In person,15,50,20,2,10,1,32,2,30,45,15,0,25,1,Some,High school,Rap/Hip hop,Telepathy,Happy,Business person,Education/Youth development
150,12,Female,24,Car,5,.596,48,24,Same length,80,70,Index finger,Fall,No,No,Water,Mathematics and statistics,7,9,4,Yes - other,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,International aid
151,12,Male,28,Car,10,.462,51,24,Right foot,70,55,Ring finger,Fall,No,No,Energy drink,Physical education,5,10,3,Yes - broadband connection,Text messaging,100,90,20,30,30,15,15,25,30,40,30,10,30,20,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Religious figure,"Arts, culture, sports"
152,12,Female,24,Car,7,.356,37,24,Same length,70,75,Ring finger,Winter,No,No,Water,Science,4,10,3,Yes - other,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,Health
153,12,Female,24,Walk,12,.468,31,24,Same length,79,81,Ring finger,Spring,Yes,No,Water,Mathematics and statistics,7,8,6,Yes - broadband connection,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Fly,Happy,Religious figure,Religious
158,10,Male,25,Car,18,.317,31,25,Same length,60,70,Ring finger,Winter,Yes,No,Water,Mathematics and statistics,7,12,4,Yes - broadband connection,E-mail,2,1,1,1,8,8,1,8,0,0,4,2,5,2,A lot,Less than high school,Techno/Electronic,Fly,Rich,Religious figure,International aid
159,12,Female,23,Bus,60,.402,38,22,Right foot,55,55,Same length,Fall,No,No,Coffee,Music,5,9,3,Yes - broadband connection,Cell phone,50,75,0,0,10,21,0,0,25,7,14,0,0,7,A lot,Other,Punk rock,Telepathy,Famous,Musician or singer,"Arts, culture, sports"
201,11,Female,28,Bus,4,.364,41,28,Same length,70,70,Same length,Summer,No,No,Water,Other,7,11,5,Yes - other,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Pop,Fly,Happy,Relative,Religious
202,12,Male,27,Walk,10,.317,43,27.5,Left foot,40,55,Ring finger,Winter,Yes,No,Soft drink (non-caffeinated),Science,6,7,1,Yes - broadband connection,Text messaging,150,150,18,1,20,0,15,20,3,3,2,7,0,2,A lot,Graduate degree,Other,Telepathy,Healthy,Doctor or nurse,"Arts, culture, sports"
203,12,Female,23,Car,10,.313,38,21,Right foot,73,75,Ring finger,Spring,No,No,Water,Mathematics and statistics,9,12,4,Yes - broadband connection,Text messaging,20,20,10,1,2,35,5,2,1,6,20,5,0,5,Very little,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Education/Youth development
204,9,Male,27,Car,30,.429,38,27,Same length,80,80,Same length,Summer,Yes,No,Water,Physical education,8,5,2,Yes - broadband connection,E-mail,3,6,0,0,21,11,9,10,0,0,13,8,0,19,Some,Undergraduate degree,Rock and roll,Telepathy,Healthy,Musician or singer,Health
205,12,Female,12,Car,15,4.3,28,32,Same length,60,64,Ring finger,Summer,Yes,No,Juice,English,6,6,4,Yes - broadband connection,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,A lot,Other,Country,Freeze time,Healthy,Relative,Health
206,12,Male,26,Car,10,.324,40,26,Same length,92,102,Ring finger,Summer,No,No,Water,Mathematics and statistics,8,6,4,Yes - broadband connection,Text messaging,51,46,8,0,7,8,7,0,2,4,20,10,20,3,A lot,Undergraduate degree,Rock and roll,Fly,Healthy,Religious figure,Religious
208,12,Male,26,Walk,0,.365,43,25,Right foot,77.5,80,Ring finger,Spring,No,No,Water,Computers and technology,6,11,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,145,112,1,20,5,18,20,40,100,100,10,0,5,A lot,High school,Rap/Hip hop,Telepathy,Rich,Other,International aid
209,12,Male,30,Bus,10,.37,70,30,Same length,64,51,Index finger,Spring,Yes,Yes,Water,History,8,6,4,Yes - broadband connection,Text messaging,25,31,0,2,2,3,1,0,1,2,0,4,8,1,Some,Undergraduate degree,Rhythm and blues (R&B),Telepathy,Famous,Relative,Education/Youth development
210,12,Male,30,Car,30,.288,51,30,Same length,53,55,Ring finger,Spring,No,No,Water,Art,9,8,4,Yes - broadband connection,Cell phone,2,6,1,0,1,2,2,2,1,1,1,0,7,2,Very little,High school,Rap/Hip hop,Freeze time,Healthy,Other,International aid
211,11,Female,23,Car,15,.274,37,23,Same length,74,75,Ring finger,Summer,Yes,No,Sports drink,Physical education,7,5,4,Yes - broadband connection,Text messaging,223,220,26,1,2,27,18,0,9,35,9,9,0,2,Very little,Graduate degree,Rap/Hip hop,Invisibility,Happy,Sports person,Religious
212,12,Male,26,Car,15,.416,42,27,Same length,90,80,Index finger,Winter,Yes,No,Water,Science,6,8,4,Yes - broadband connection,Internet chat or instant messaging,10,30,1,0,17,7,12,0,1,4,3,3,5,3,A lot,Undergraduate degree,Other,Telepathy,Happy,Relative,Environment
213,11,Female,10,Car,20,.38,39,30,Same length,40,55,Index finger,Spring,Yes,No,Water,English,7,8,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",25,46,5,1,3,4,10,0,20,1,20,10,0,2,Some,Graduate degree,Pop,Telepathy,Happy,Relative,Health
214,12,Male,25,Car,20,.444,48,23,Right foot,120,100,Index finger,Winter,Yes,No,Water,Social studies,7,9,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,50,1,1,8,1,0,20,35,14,60,8,10,1,Some,Graduate degree,Classical,Telepathy,Happy,Musician or singer,"Arts, culture, sports"
215,10,Female,24,Car,10,.482,39,23,Right foot,90,90,Same length,Spring,No,No,Water,Science,7,9,4,Yes - broadband connection,In person,30,40,7,1,5,25,2,0,2,10,5,4,0,3,Some,Undergraduate degree,Country,Telepathy,Happy,Doctor or nurse,Health
216,12,Male,9.5,Bus,30,.364,41,28,Same length,76.2,66.04,Index finger,Spring,No,No,Water,Other,6,9,5,Yes - broadband connection,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Some,High school,Other,Freeze time,Happy,Other,Other
217,12,Female,20,Car,15,.307,35,20,Same length,76,76,Ring finger,Fall,Yes,No,Water,English,6,8,3,Yes - broadband connection,Text messaging,15,35,4,1,28,15,6,0,30,4,55,4,0,4,A lot,Graduate degree,Pop,Telepathy,Happy,Actor,International aid
218,12,Male,26,Car,15,.306,67,25,Right foot,40,55,Ring finger,Summer,Yes,No,Water,Music,7,15,5,Yes - broadband connection,Text messaging,10,12,7,1,5,0,8,1,20,4,24,1,0,10,Very little,High school,Heavy metal,Invisibility,Happy,Musician or singer,Religious
219,12,Female,38.1,Bus,15,.79,45,38.2,Same length,55,15.2,Same length,Fall,No,No,Soft drink (caffeinated),History,7,9,8,Yes - other,Text messaging,20,40,7,6,5,168,4,3,168,54,168,24,40,2,A lot,Graduate degree,Other,Telepathy,Rich,Teacher,International aid
220,11,Female,23,Car,15,.443,36,24,Right foot,92,92,Same length,Spring,No,Yes,Water,Mathematics and statistics,6,9,6,Yes - other,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Freeze time,Happy,Doctor or nurse,Health
221,12,Female,22,Bus,30,.384,57,22,Same length,55,55,Same length,Spring,No,No,Juice,English,4,10,5,Yes - dial-up connection,Text messaging,70,80,2,5,40,4,0,0,50,50,4,7,18,4,Some,High school,Pop,Telepathy,Happy,Friend,Health
222,11,Male,121,Car,25,1.201,53,23,Same length,9,55,Index finger,Summer,Yes,No,Soft drink (caffeinated),History,9,9,6,Yes - broadband connection,Text messaging,20,20,0,1,2,2,1,6,3,1,7,2,0,1,Some,Other,Rap/Hip hop,Telepathy,Happy,Friend,Health
223,11,Male,33.02,Car,25,.334,45,33.02,Same length,71.12,76.2,Ring finger,Fall,Yes,No,Sports drink,Science,6,9,2,Yes - broadband connection,Text messaging,15,50,10,2,15,10,8,0,1,2,10,3,0,0,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,"Wildlife, animals"
224,10,Female,25.4,Bus,30,.33,35,25.4,Same length,85,70,Index finger,Summer,No,No,Water,Science,6,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",25,40,40,5,8,20,8,5,10,5,12,10,16,10,Some,Graduate degree,Reggae,Super strength,Happy,Actor,International aid
225,11,Male,27,Bus,15,.471,56,29,Right foot,95,105,Ring finger,Summer,No,Yes,Water,Mathematics and statistics,7,7,4,Yes - broadband connection,Text messaging,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Sports person,Education/Youth development
227,11,Male,29,Bus,6,.503,32,29,Same length,91,88,Index finger,Winter,No,No,Water,Science,7,8,4,Yes - broadband connection,In person,110,210,2,2,4,4,3,3,1,3,14,0,0,4,Very little,Graduate degree,Classical,Invisibility,Happy,Teacher,Education/Youth development
229,12,Female,13,Walk,10,.746,44,14,Left foot,47,49,Ring finger,Fall,Yes,No,Powdered drink,Science,7,9,5,Yes - broadband connection,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Rock and roll,Fly,Happy,Doctor or nurse,International aid
230,11,Female,23.5,Bus,15,.404,45,22.4,Left foot,70,730,Ring finger,Fall,No,No,Tea,History,6,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,10,4,1,2,5,6,0,2,1,1,6,0,1,A lot,Graduate degree,Pop,Fly,Healthy,Business person,"Wildlife, animals"
231,12,Female,20.23,Bus,10,.592,58,20.23,Same length,55,55,Same length,Summer,No,No,Water,Art,6,9,5,Yes - broadband connection,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Very little,Undergraduate degree,Pop,Fly,Rich,Relative,International aid
234,11,Male,28,Car,9,.813,54,26,Right foot,75,87,Ring finger,Summer,Yes,No,Sports drink,Physical education,8,8,5,Yes - broadband connection,In person,30,100,8,3,4,1,14,4,3,3,1,1,0,2,Very little,Graduate degree,Rap/Hip hop,Fly,Rich,Sports person,International aid
235,12,Male,5,Car,4,.829,47,12,Same length,12,55,Same length,Summer,No,No,Juice,Music,8,8,4,Yes - other,Other,100,10000,24,24,1,24,1,24,24,24,24,24,24,1,A lot,High school,Rap/Hip hop,Invisibility,Happy,Other,"Wildlife, animals"
237,12,Female,24,Car,20,.373,41,23,Right foot,80,80,Same length,Fall,Yes,No,Water,Mathematics and statistics,8,10,6,Yes - other,In person,0,0,5,1,2,6,2,0,1,1,1,2,1,1,Some,Some college,Other,Super strength,Happy,Religious figure,Religious
238,11,Male,23,Car,7,.432,38,23,Same length,75,85,Ring finger,Summer,No,No,Water,Physical education,6,9,5,Yes - broadband connection,Text messaging,10,25,6,0,5,4,8,4,4,2,12,5,3,2,Some,Graduate degree,Pop,Telepathy,Rich,Friend,Health
239,12,Male,25,Car,13,.335,50,25,Same length,71,74,Ring finger,Summer,No,No,Milk,Art,9,10,3,Yes - broadband connection,Internet chat or instant messaging,0,0,44,0,30,34,0,23,54,52,44,71,0,0,Some,Other,Techno/Electronic,Freeze time,Happy,Friend,Other
240,12,Male,28,Car,6,.723,50,28,Same length,95,107,Ring finger,Fall,Yes,No,Water,Physical education,7,8,4,Yes - broadband connection,Text messaging,100,250,12,0,4,15,7,6,8,8,5,10,15,2,Very little,Undergraduate degree,Country,Super strength,Happy,Sports person,Religious
241,11,Female,22,Car,7,.485,39,22,Same length,66,68,Ring finger,Fall,No,No,Water,Science,6,11,4,Yes - broadband connection,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,Environment
242,12,Female,24,Walk,0,.487,38,24,Same length,55,55,Index finger,Fall,Yes,No,Water,Mathematics and statistics,7,9,2,Yes - broadband connection,Text messaging,100,100,20,0,40,0,2,0,10,20,30,0,0,0,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Friend,International aid
243,11,Female,14.7,Car,12,.362,37,15.5,Left foot,71.12,68.58,Index finger,Fall,Yes,No,Water,Art,6,8,4,Yes - broadband connection,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Fly,Happy,Sports person,Health
244,12,Female,5,Bus,20,.392,48,25,Same length,55,55,Same length,Spring,No,No,Other,Other,4,5,4,Yes - dial-up connection,Text messaging,1000,1000,2,5,4,1,5,5,5,6,7,7,6,6,Very little,High school,Other,Telepathy,Healthy,Teacher,Health
246,10,Male,23,Bus,15,.5863,50,23,Same length,69,73,Ring finger,Winter,No,No,Water,Science,7,10,7,Yes - broadband connection,Text messaging,30,56,18,1,10,7,12,12,0,2,20,8,0,10,A lot,Graduate degree,Pop,Freeze time,Rich,Relative,"Wildlife, animals"
