ID,Country,Region,DataYear,ClassGrade,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_recycling_rubbish,Importance_saving_energy,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Birth_month,Favorite_Season,Allergies,Favorite_Food,Beverage,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Preferred_Status,Role_Model_Type
244,USA,NC,2021,12,18,Right-Handed,157,5,145,3,Bus,20,.392,48,396,952,775,25,Same length,55,55,10,Spring,No,Desserts,Other,4,Yes - dial-up connection,Text messaging,1000,1000,2,5,4,1,5,5,5,6,7,7,6,6,Very little,High school,Other,Healthy,Teacher
245,USA,NC,2021,11,17,Right-Handed,165,24,163,3,Walk,15,.392,27,1000,1000,968,24,Same length,55,55,2,Winter,No,Fruit,Tea,4,Yes - broadband connection,Text messaging,50,100,1,0,40,8,1,4,6,5,50,2,3,1,A lot,Graduate degree,Pop,Rich,Community leader or elder
246,USA,NC,2016,10,15,Right-Handed,161,23,168,2,Bus,15,.5863,50,800,900,1000,23,Same length,69,73,1,Winter,No,Poultry,Water,7,Yes - broadband connection,Text messaging,30,56,18,1,10,7,12,12,0,2,20,8,0,10,A lot,Graduate degree,Pop,Rich,Relative
247,USA,NC,2022,11,16,Right-Handed,178,26.67,185,5,Car,5,.341,36,481,465,1000,26.67,Same length,40,39,2,Winter,No,Meat,Water,5,Yes - broadband connection,In person,50,250,10,2,12,5,6,7,8,11,50,7,0,2,A lot,Graduate degree,Rap/Hip hop,Rich,Relative
248,USA,NC,2021,12,17,Right-Handed,177,27,185,2,Walk,5,.432,40,1000,1000,1000,28,Left foot,55,55,2,Fall,No,Rice/Noodle dishes,Water,4,Yes - broadband connection,Text messaging,13,17,17,2,26,3,12,5,20,4,120,3,1,3,A lot,Graduate degree,Rock and roll,Healthy,Coach or club leader
249,USA,NC,2015,11,17,Right-Handed,175,22,140,1,Car,15,.25,67,1000,995,1000,20,Right foot,25,30,12,Winter,Yes,Seafood,Energy drink,3,Yes - dial-up connection,In person,15,50,20,2,10,1,32,2,30,45,15,0,25,1,Some,High school,Rap/Hip hop,Happy,Business person
251,USA,NC,2020,12,17,Right-Handed,180,28,174,1,Car,10,.462,51,1000,800,200,24,Right foot,70,55,11,Fall,No,Meat,Energy drink,3,Yes - broadband connection,Text messaging,100,90,20,30,30,15,15,25,30,40,30,10,30,20,A lot,Undergraduate degree,Rap/Hip hop,Happy,Religious figure
252,USA,NC,2018,12,17,Right-Handed,167,24,158,2,Car,7,.356,37,800,500,400,24,Same length,70,75,9,Winter,No,Rice/Noodle dishes,Water,3,Yes - other,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Happy,Friend
253,USA,NC,2012,12,17,Right-Handed,155,24,160,1,Walk,12,.468,31,550,650,400,24,Same length,79,81,6,Spring,Yes,Pizza/Pasta,Water,6,Yes - broadband connection,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Happy,Religious figure
254,USA,NC,2016,12,17,Right-Handed,163,20,158,1,Car,4,.921,56,600,700,1000,26,Same length,32,27,6,Fall,No,Fruit,Water,4,Yes - broadband connection,In person,100,140,20,1,10,5,8,0,6,2,6,5,15,3,Some,Graduate degree,Other,Healthy,Religious figure
255,USA,NC,2014,9,15,Right-Handed,5.5,10,65,1,Bus,20,9.263,90,10000,500,3,20,Same length,55,55,1,Summer,Yes,Poultry,Energy drink,9,No internet connection,Text messaging,4,4,4,2,4,1,5,0,1,1,0,2,0,1,A lot,Some college,Rap/Hip hop,Happy,Musician or singer
256,USA,NC,2021,12,17,Right-Handed,165,13.97,47,2,Bus,60,.416,47,1000,980,750,22,Same length,55,55,7,Summer,Yes,Rice/Noodle dishes,Water,7,Yes - broadband connection,Text messaging,100,112,12,2,1,6,0,0,4,24,2,6,48,8,Some,Some college,Rhythm and blues (R&B),Happy,Musician or singer
257,USA,NC,2019,11,16,Right-Handed,173,25,175,2,Car,10,.387,37,400,845,950,25,Same length,76,73,6,Summer,No,No favorite,Water,3,Yes - broadband connection,Internet chat or instant messaging,10,6,6,1,10,5,0,10,7,3,16,5,7,4,Some,Undergraduate degree,Other,Happy,Relative
259,USA,NC,2015,12,15,Right-Handed,157,23,156,2,Bus,60,.402,38,900,1000,1000,22,Right foot,55,55,5,Fall,No,Fruit,Coffee,3,Yes - broadband connection,Cell phone,50,75,0,0,10,21,0,0,25,7,14,0,0,7,A lot,Other,Punk rock,Famous,Musician or singer
260,USA,NC,2013,9,14,Right-Handed,166,29,156,2,Bus,30,2,26,700,600,700,28,Right foot,100,110,7,Summer,No,Desserts,Water,5,Yes - other,In person,7,8,35,2,6,35,6,14,7,7,0,21,0,7,Very little,Some college,Rap/Hip hop,Rich,Relative
262,USA,NC,2021,11,17,Right-Handed,185,28,182,1,Car,12,.73,44,800,750,500,28,Same length,80,80,10,Fall,No,Meat,Energy drink,6,Yes - broadband connection,Text messaging,20,20,7,5,1,3,8,10,0,17,19,1,24,5,Some,Graduate degree,Country,Happy,Musician or singer
263,USA,NC,2022,12,16,Right-Handed,157,22,165,3,Bus,15,.977,47,866,824,658,22,Same length,69,66,12,Summer,Yes,Desserts,Water,4,Yes - broadband connection,Text messaging,23,196,7,0,10,3,3,2,8,2,10,8,0,2,Some,Graduate degree,Pop,Famous,Politician
264,USA,NC,2018,10,15,Right-Handed,170.2,26,178,7,Car,10,.412,41,1000,626,1000,26,Same length,80,85,2,Summer,Yes,Meat,Water,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",75,125,6,3,5,9,16,2,2,2,7,5,0,3,Some,Graduate degree,Rap/Hip hop,Rich,Relative
265,USA,NC,2017,11,15,Right-Handed,170,26,168,2,Car,23,.305,32,700,800,500,25,Right foot,80,85,7,Summer,No,Fruit,Water,4,Yes - broadband connection,In person,3,8,3,1,20,40,7,12,5,1,50,10,0,10,Some,Graduate degree,Pop,Happy,Relative
301,USA,NC,2022,11,16,Right-Handed,175,28,167,1,Bus,4,.364,41,658,187,545,28,Same length,70,70,1,Summer,No,Breads/Sandwiches,Water,5,Yes - other,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Pop,Happy,Relative
305,USA,NC,2015,12,49,Right-Handed,150,12,70,1,Car,15,4.3,28,800,700,599,32,Same length,60,64,3,Summer,Yes,Pizza/Pasta,Juice,4,Yes - broadband connection,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,A lot,Other,Country,Healthy,Relative
307,USA,NC,2021,11,17,Right-Handed,181,26,185,2,Car,10,.235,34,500,600,1000,26.5,Left foot,35,37,4,Fall,Yes,Pizza/Pasta,Water,4,Yes - broadband connection,Internet chat or instant messaging,1,4,6,0,7,1,6,14,0,4,24,6,6,4,Some,Undergraduate degree,Other,Happy,Other
308,USA,NC,2017,12,17,Right-Handed,177,26,179,1,Walk,0,.365,43,0,0,5,25,Right foot,77.5,80,8,Spring,No,Meat,Water,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,145,112,1,20,5,18,20,40,100,100,10,0,5,A lot,High school,Rap/Hip hop,Rich,Other
309,USA,NC,2020,12,16,Right-Handed,180,30,152,1,Bus,10,.37,70,1000,599,1000,30,Same length,64,51,3,Spring,Yes,Pizza/Pasta,Water,4,Yes - broadband connection,Text messaging,25,31,0,2,2,3,1,0,1,2,0,4,8,1,Some,Undergraduate degree,Rhythm and blues (R&B),Famous,Relative
314,USA,NC,2014,12,17,Right-Handed,172,25,170,2,Car,20,.444,48,250,750,1000,23,Right foot,120,100,10,Winter,Yes,Fruit,Water,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,50,1,1,8,1,0,20,35,14,60,8,10,1,Some,Graduate degree,Classical,Happy,Musician or singer
316,USA,NC,2020,12,18,Right-Handed,182.8,9.5,34,1,Bus,30,.364,41,500,500,1000,28,Same length,76.2,66.04,7,Spring,No,Meat,Water,5,Yes - broadband connection,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Some,High school,Other,Happy,Other
320,USA,NC,2016,11,16,Right-Handed,162.4,23,61,4,Car,15,.443,36,500,500,1000,24,Right foot,92,92,5,Spring,No,Pizza/Pasta,Water,6,Yes - other,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Happy,Doctor or nurse
323,USA,NC,2021,11,17,Right-Handed,177,33.02,182.8,1,Car,25,.334,45,898,829,465,33.02,Same length,71.12,76.2,10,Fall,Yes,Meat,Sports drink,2,Yes - broadband connection,Text messaging,15,50,10,2,15,10,8,0,1,2,10,3,0,0,Some,Graduate degree,Rap/Hip hop,Happy,Relative
325,USA,NC,2021,11,17,Right-Handed,188,27,200,2,Bus,15,.471,56,500,800,600,29,Right foot,95,105,5,Summer,No,Pizza/Pasta,Water,4,Yes - broadband connection,Text messaging,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Some,Graduate degree,Rap/Hip hop,Healthy,Sports person
328,USA,NC,2020,11,18,Right-Handed,183,25,186,1,Car,10,.304,46,765,706,604,26,Left foot,97,105,4,Fall,No,No favorite,Water,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",18,20,1,3,12,10,29,10,10,5,5,2,0,2,Very little,Undergraduate degree,Other,Healthy,Relative
336,USA,NC,2022,12,16,Right-Handed,191,29,196,2,Car,8,.302,61,400,300,1000,29,Same length,83,89,4,Summer,No,Meat,Water,4,Yes - broadband connection,Text messaging,100,700,25,6,7,3,5,5,35,14,42,0,0,7,Some,Undergraduate degree,Rap/Hip hop,Rich,Actor
337,USA,NC,2014,12,16,Right-Handed,155,24,153,3,Car,20,.373,41,20,20,10,23,Right foot,80,80,4,Fall,Yes,Rice/Noodle dishes,Water,6,Yes - other,In person,0,0,5,1,2,6,2,0,1,1,1,2,1,1,Some,Some college,Other,Happy,Religious figure
338,USA,NC,2019,11,17,Right-Handed,170,23,173,1,Car,7,.432,38,100,500,1000,23,Same length,75,85,7,Summer,No,Meat,Water,5,Yes - broadband connection,Text messaging,10,25,6,0,5,4,8,4,4,2,12,5,3,2,Some,Graduate degree,Pop,Rich,Friend
340,USA,NC,2017,12,17,Right-Handed,179,28,70,1,Car,6,.723,50,800,910,950,28,Same length,95,107,4,Fall,Yes,Meat,Water,4,Yes - broadband connection,Text messaging,100,250,12,0,4,15,7,6,8,8,5,10,15,2,Very little,Undergraduate degree,Country,Happy,Sports person
352,USA,NC,2018,12,17,Right-Handed,167,24,158,2,Car,7,.356,37,800,500,400,24,Same length,70,75,9,Winter,No,Rice/Noodle dishes,Water,3,Yes - other,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Happy,Friend
353,USA,NC,2012,12,17,Right-Handed,155,24,160,1,Walk,12,.468,31,550,650,400,24,Same length,79,81,6,Spring,Yes,Pizza/Pasta,Water,6,Yes - broadband connection,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Happy,Religious figure
361,USA,NC,2016,12,16,Right-Handed,160,23,162,1,Car,7,.781,59,400,500,950,22.75,Right foot,79,83,5,Summer,No,Desserts,Water,5,Yes - broadband connection,Text messaging,500,500,16,3,28,21,3,3,28,49,49,7,20,10,A lot,Graduate degree,Pop,Rich,Friend
401,USA,NC,2022,11,16,Right-Handed,175,28,167,1,Bus,4,.364,41,658,187,545,28,Same length,70,70,1,Summer,No,Breads/Sandwiches,Water,5,Yes - other,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Pop,Happy,Relative
404,USA,NC,2016,9,14,Left-Handed,166,27,180,1,Car,30,.429,38,396,508,481,27,Same length,80,80,7,Summer,Yes,Meat,Water,2,Yes - broadband connection,E-mail,3,6,0,0,21,11,9,10,0,0,13,8,0,19,Some,Undergraduate degree,Rock and roll,Healthy,Musician or singer
405,USA,NC,2015,12,49,Right-Handed,150,12,70,1,Car,15,4.3,28,800,700,599,32,Same length,60,64,3,Summer,Yes,Pizza/Pasta,Juice,4,Yes - broadband connection,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,A lot,Other,Country,Healthy,Relative
410,USA,NC,2022,12,17,Right-Handed,182,30,176,2,Car,30,.288,51,1000,700,400,30,Same length,53,55,8,Spring,No,Poultry,Water,4,Yes - broadband connection,Cell phone,2,6,1,0,1,2,2,2,1,1,1,0,7,2,Very little,High school,Rap/Hip hop,Healthy,Other
412,USA,NC,2017,12,17,Right-Handed,180,26,178,1,Car,15,.416,42,950,850,600,27,Same length,90,80,1,Winter,Yes,Rice/Noodle dishes,Water,4,Yes - broadband connection,Internet chat or instant messaging,10,30,1,0,17,7,12,0,1,4,3,3,5,3,A lot,Undergraduate degree,Other,Happy,Relative
414,USA,NC,2014,12,17,Right-Handed,172,25,170,2,Car,20,.444,48,250,750,1000,23,Right foot,120,100,10,Winter,Yes,Fruit,Water,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,50,1,1,8,1,0,20,35,14,60,8,10,1,Some,Graduate degree,Classical,Happy,Musician or singer
418,USA,NC,2022,12,17,Left-Handed,170,26,176,2,Car,15,.306,67,0,0,10000,25,Right foot,40,55,7,Summer,Yes,Meat,Water,5,Yes - broadband connection,Text messaging,10,12,7,1,5,0,8,1,20,4,24,1,0,10,Very little,High school,Heavy metal,Happy,Musician or singer
420,USA,NC,2016,11,16,Right-Handed,162.4,23,61,4,Car,15,.443,36,500,500,1000,24,Right foot,92,92,5,Spring,No,Pizza/Pasta,Water,6,Yes - other,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Happy,Doctor or nurse
421,USA,NC,2021,12,18,Right-Handed,161,22,59,1,Bus,30,.384,57,1000,1000,1000,22,Same length,55,55,11,Spring,No,Pizza/Pasta,Juice,5,Yes - dial-up connection,Text messaging,70,80,2,5,40,4,0,0,50,50,4,7,18,4,Some,High school,Pop,Happy,Friend
423,USA,NC,2021,11,17,Right-Handed,177,33.02,182.8,1,Car,25,.334,45,898,829,465,33.02,Same length,71.12,76.2,10,Fall,Yes,Meat,Sports drink,2,Yes - broadband connection,Text messaging,15,50,10,2,15,10,8,0,1,2,10,3,0,0,Some,Graduate degree,Rap/Hip hop,Happy,Relative
424,USA,NC,2018,10,16,Right-Handed,170.6,25.4,150,3,Bus,30,.33,35,1000,1000,241,25.4,Same length,85,70,9,Summer,No,Pizza/Pasta,Water,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",25,40,40,5,8,20,8,5,10,5,12,10,16,10,Some,Graduate degree,Reggae,Happy,Actor
427,USA,NC,2020,11,15,Right-Handed,180,29,173,2,Bus,6,.503,32,400,500,900,29,Same length,91,88,3,Winter,No,Poultry,Water,4,Yes - broadband connection,In person,110,210,2,2,4,4,3,3,1,3,14,0,0,4,Very little,Graduate degree,Classical,Happy,Teacher
429,USA,NC,2017,12,17,Right-Handed,150,13,148,1,Walk,10,.746,44,950,800,950,14,Left foot,47,49,7,Fall,Yes,Fruit,Powdered drink,5,Yes - broadband connection,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Rock and roll,Happy,Doctor or nurse
431,USA,NC,2022,12,17,Right-Handed,162,20.23,162,2,Bus,10,.592,58,900,1000,750,20.23,Same length,55,55,8,Summer,No,Breads/Sandwiches,Water,5,Yes - broadband connection,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Very little,Undergraduate degree,Pop,Rich,Relative
432,USA,NC,2021,11,16,Right-Handed,154.9,22,152.4,2,Bus,15,.447,48,626,663,289,22,Same length,70,70,3,Fall,No,Pizza/Pasta,Water,6,Yes - broadband connection,In person,20,25,3,0,10,10,0,1,5,2,12,3,0,2,Some,Graduate degree,Rap/Hip hop,Happy,Other
433,USA,NC,2019,11,16,Right-Handed,188,27,182,1,Car,25,.491,43,497,524,904,27,Same length,76,76,12,Fall,Yes,Pizza/Pasta,Water,4,Yes - broadband connection,Text messaging,5,7,2,0,3,1,3,1,3,1,2,1,0,1,Some,Graduate degree,Rock and roll,Happy,Musician or singer
434,USA,NC,2017,11,16,Right-Handed,186,28,175,2,Car,9,.813,54,750,400,700,26,Right foot,75,87,2,Summer,Yes,Meat,Sports drink,5,Yes - broadband connection,In person,30,100,8,3,4,1,14,4,3,3,1,1,0,2,Very little,Graduate degree,Rap/Hip hop,Rich,Sports person
441,USA,NC,2020,11,17,Right-Handed,165,22,149,2,Car,7,.485,39,1000,1000,706,22,Same length,66,68,1,Fall,No,Pizza/Pasta,Water,4,Yes - broadband connection,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Happy,Relative
443,USA,NC,2018,11,16,Right-Handed,161.3,14.7,152,2,Car,12,.362,37,10000,10000,10000,15.5,Left foot,71.12,68.58,5,Fall,Yes,Seafood,Water,4,Yes - broadband connection,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Happy,Sports person
456,USA,NC,2021,12,17,Right-Handed,165,13.97,47,2,Bus,60,.416,47,1000,980,750,22,Same length,55,55,7,Summer,Yes,Rice/Noodle dishes,Water,7,Yes - broadband connection,Text messaging,100,112,12,2,1,6,0,0,4,24,2,6,48,8,Some,Some college,Rhythm and blues (R&B),Happy,Musician or singer
460,USA,NC,2013,9,14,Right-Handed,166,29,156,2,Bus,30,2,26,700,600,700,28,Right foot,100,110,7,Summer,No,Desserts,Water,5,Yes - other,In person,7,8,35,2,6,35,6,14,7,7,0,21,0,7,Very little,Some college,Rap/Hip hop,Rich,Relative
465,USA,NC,2017,11,15,Right-Handed,170,26,168,2,Car,23,.305,32,700,800,500,25,Right foot,80,85,7,Summer,No,Fruit,Water,4,Yes - broadband connection,In person,3,8,3,1,20,40,7,12,5,1,50,10,0,10,Some,Graduate degree,Pop,Happy,Relative
