wage,hours,IQ,exper,degree,sibs,brthord,meduc
769,40,93,11,2,1,2,2
650,40,96,13,1,3,1,1
600,40,91,13,1,1,1,1
1000,40,95,16,2,1,2,2
921,38,102,9,2,1,2,2
958,50,105,17,2,1,2,2
1360,45,109,6,3,3,3,3
850,40,72,19,2,2,2,2
471,44,101,13,1,3,1,1
1275,40,123,9,3,0,3,3
1615,50,113,10,3,2,3,3
873,65,95,14,2,3,2,2
2137,45,145,17,3,2,3,3
800,40,115,11,2,0,1,2
1000,40,103,17,2,1,2,2
666,75,129,8,1,2,1,1
782,40,92,9,2,3,2,2
1572,35,108,7,3,1,3,3
1274,40,106,11,3,0,3,3
1239,45,109,16,3,3,3,3
1027,27,100,12,2,3,2,2
981,40,122,9,2,3,2,2
770,40,105,7,2,3,2,2
808,60,109,14,2,2,2,2
1100,40,105,22,3,1,3,3
462,40,112,11,1,3,1,1
769,55,120,8,2,1,2,2
1452,45,115,1,3,3,3,3
1748,55,123,10,3,1,3,3
840,50,96,18,2,2,2,2
963,40,109,15,2,3,2,2
442,60,82,12,1,2,1,1
600,40,120,12,1,3,1,1
1455,40,109,8,3,1,3,3
2310,40,114,12,3,2,3,3
1682,45,126,10,3,1,3,3
1235,40,82,10,3,1,3,3
855,45,119,11,2,3,2,2
675,40,105,8,1,3,1,1
1100,37,100,14,3,1,3,3
732,40,73,17,1,3,1,1
1200,40,96,15,3,3,3,3
1694,30,113,9,3,3,3,3
686,55,106,15,1,3,1,1
754,40,104,9,1,1,2,1
672,61,96,13,1,2,1,1
1186,30,91,8,3,1,3,3
1122,48,111,12,3,3,3,3
903,40,91,6,2,3,2,2
900,40,86,17,2,3,2,2
1110,52,106,11,3,3,3,3
1000,45,90,16,2,3,2,2
601,48,111,15,1,0,1,1
600,40,106,10,1,3,1,1
1188,40,105,11,3,3,3,3
635,40,105,15,1,2,1,1
1225,40,118,9,3,0,3,3
865,40,95,15,2,3,2,2
1000,45,123,12,2,3,2,2
1105,40,103,10,3,1,3,3
1495,45,109,10,3,3,3,3
1346,50,128,10,3,3,3,3
1200,40,97,10,3,3,3,3
500,40,96,6,1,3,1,1
800,40,112,15,2,3,2,2
1034,40,97,15,2,3,2,2
884,40,106,19,2,2,2,2
1394,40,118,11,3,2,3,3
1495,45,113,13,3,3,3,3
650,40,100,4,1,3,1,1
670,40,93,9,1,2,1,1
1126,40,119,5,3,1,3,3
2404,50,106,8,3,2,3,3
1899,40,127,9,3,0,3,3
1250,40,115,9,3,2,3,3
1162,48,102,8,3,3,3,3
1318,35,118,16,3,1,3,3
1411,45,121,14,3,3,3,3
1273,55,120,11,3,1,3,3
1140,48,109,16,3,2,3,3
942,40,85,7,2,3,2,2
951,60,116,9,2,3,2,2
1250,40,91,13,3,3,3,3
577,50,94,9,1,2,1,1
590,40,109,10,1,2,1,1
1250,50,102,6,3,3,3,3
652,50,113,14,1,1,1,1
618,42,104,6,1,3,1,1
962,50,124,7,2,2,2,2
529,40,110,14,1,1,1,1
962,40,120,8,2,0,2,2
840,40,105,19,2,3,2,2
866,40,121,7,2,1,2,2
2404,50,96,1,3,3,3,3
723,40,98,15,1,1,1,1
971,40,95,5,2,1,2,2
525,40,99,9,1,2,1,1
1058,45,98,14,3,2,3,3
550,46,95,18,1,1,1,1
500,45,115,14,1,1,1,1
865,40,114,6,2,2,2,2
575,40,85,6,1,1,1,1
623,45,98,7,1,3,1,1
1273,55,84,14,3,1,3,3
990,40,108,13,2,3,2,2
1160,40,84,17,3,3,3,3
500,55,86,11,1,3,1,1
795,45,88,17,2,2,2,2
500,50,97,20,1,2,1,1
1014,55,110,13,2,1,2,2
913,40,110,4,2,3,2,2
265,40,101,18,1,1,1,1
1250,40,117,7,3,1,3,3
1607,56,108,7,3,2,3,3
1452,35,69,12,3,3,3,3
1391,50,109,14,3,1,3,3
821,45,85,8,2,3,2,2
794,40,114,9,2,1,2,2
500,30,90,10,1,3,1,1
1155,60,106,10,3,3,3,3
923,50,123,8,2,1,2,2
449,36,91,7,1,1,1,1
826,40,114,20,2,3,2,2
978,48,104,19,2,3,2,2
1136,50,117,16,3,2,3,3
808,40,99,18,2,0,2,2
375,40,99,12,1,3,1,1
537,40,97,14,1,2,1,1
930,40,126,10,2,3,2,2
1155,40,109,13,3,3,3,3
548,40,86,7,1,3,1,1
622,45,119,12,1,0,1,1
841,40,102,10,2,3,2,2
769,55,105,7,2,2,2,2
1202,48,114,6,3,3,3,3
1202,40,125,10,3,2,3,3
711,45,100,13,1,1,1,1
1000,40,102,13,2,3,2,2
490,49,82,7,1,2,1,1
1375,40,96,3,3,3,3,3
1602,65,97,14,3,1,3,3
3078,65,120,12,3,1,3,3
952,40,99,10,2,1,2,2
571,40,78,10,1,3,1,1
445,45,110,15,1,2,1,1
289,40,94,9,1,2,1,1
962,55,108,19,2,3,2,2
1075,40,103,17,3,3,3,3
1250,40,106,14,3,3,3,3
620,40,99,10,1,3,1,1
1016,40,72,14,2,3,2,2
800,40,88,21,2,3,2,2
654,50,121,12,1,1,1,1
781,50,112,8,2,2,2,2
666,70,117,8,1,0,1,1
756,40,78,9,2,2,2,2
1011,40,104,20,2,0,2,2
1350,40,107,17,3,2,3,3
1230,50,96,11,3,3,3,3
754,40,93,13,1,3,1,1
1000,45,103,8,2,3,2,2
912,40,96,11,2,2,2,2
600,40,114,8,1,3,1,1
711,45,110,8,1,3,1,1
841,44,106,15,2,3,2,2
400,70,100,12,1,3,1,1
1442,40,114,16,3,2,3,3
538,55,98,5,1,2,1,1
841,48,110,13,2,1,2,2
1346,50,108,9,3,1,3,3
962,40,120,18,2,3,2,2
721,40,134,9,1,3,1,1
1270,40,118,4,3,2,3,3
1313,40,107,11,3,1,3,3
668,43,109,11,1,2,1,1
523,43,119,9,1,3,1,1
1111,40,103,13,3,3,3,3
729,47,122,6,1,3,1,1
690,40,119,9,1,1,1,1
596,40,83,16,1,3,1,1
850,44,115,11,2,3,2,2
793,40,96,17,2,3,2,2
670,50,108,14,1,3,1,1
876,45,116,10,2,2,2,2
1223,40,107,7,3,1,3,3
533,45,109,8,1,2,1,1
750,40,104,15,1,0,1,1
1206,40,110,16,3,1,3,3
900,40,103,15,2,3,2,2
550,40,110,15,1,2,1,1
615,40,100,9,1,3,1,1
984,40,108,17,2,3,2,2
833,60,101,15,2,3,2,2
879,70,90,17,2,1,2,2
1027,45,115,16,2,3,2,2
1000,55,114,10,2,0,2,2
1100,40,92,21,3,3,3,3
641,45,125,9,1,1,1,1
950,40,98,11,2,3,2,2
938,44,108,19,2,0,2,2
586,60,111,6,1,3,1,1
375,60,75,12,1,3,1,1
673,40,91,7,1,0,1,1
1111,40,98,10,3,3,3,3
1368,45,107,11,3,2,3,3
1161,50,121,5,3,3,3,3
947,48,104,8,2,3,2,2
1575,40,117,13,3,3,3,3
1442,40,112,19,3,3,3,3
489,55,104,20,1,2,1,1
500,70,83,13,1,3,1,1
1920,40,109,13,3,0,3,3
684,45,111,7,1,3,1,1
774,40,94,20,2,1,2,2
1366,40,90,13,3,3,3,3
2137,40,120,16,3,3,3,3
700,40,120,10,1,1,1,1
1200,40,108,16,3,3,3,3
1161,40,99,16,3,0,3,3
729,60,80,16,1,3,1,1
1111,45,118,11,3,3,3,3
625,50,115,12,1,2,1,1
1200,42,119,11,3,3,3,3
1541,40,94,8,3,3,3,3
310,40,104,10,1,2,1,1
610,50,89,14,1,1,1,1
1749,43,101,16,3,2,3,3
1000,40,96,9,2,3,2,2
350,40,109,14,1,1,1,1
938,50,130,15,2,3,2,2
350,40,74,14,1,3,1,1
940,48,104,13,2,3,2,2
1202,40,124,11,3,2,3,3
450,40,94,9,1,1,1,1
1000,40,96,15,2,3,2,2
318,40,67,16,1,3,1,1
995,40,92,22,2,3,2,2
606,45,100,6,1,1,1,1
1346,40,106,15,3,1,3,3
1522,46,102,15,3,3,3,3
1250,32,98,17,3,0,3,3
693,40,79,18,1,3,1,1
913,40,101,5,2,2,2,2
884,46,120,4,2,2,2,2
698,43,97,10,1,2,1,1
800,55,106,17,2,3,2,2
812,40,131,9,2,1,2,2
1000,40,93,16,2,1,2,2
1539,40,112,15,3,3,3,3
721,40,105,11,1,3,1,1
815,40,114,15,2,2,2,2
1100,40,104,18,3,2,3,3
1000,65,93,11,2,3,2,2
500,40,98,14,1,3,1,1
766,40,109,17,2,3,2,2
750,43,94,12,1,1,1,1
723,40,102,12,1,3,1,1
200,55,103,11,1,3,1,1
575,40,96,17,1,2,1,1
850,40,97,16,2,1,2,2
1270,40,104,8,3,3,3,3
350,45,116,5,1,2,1,1
963,40,85,9,2,3,2,2
802,40,99,13,2,3,2,2
642,45,93,12,1,1,1,1
1400,40,92,15,3,2,3,3
940,45,98,10,2,2,2,2
866,40,114,15,2,3,2,2
325,40,93,10,1,1,1,1
550,56,99,17,1,1,1,1
950,44,96,8,2,1,2,2
684,45,106,16,1,1,1,1
1322,40,128,7,3,0,3,3
1634,40,95,18,3,3,3,3
417,40,80,8,1,3,1,1
472,45,71,9,1,3,1,1
1039,40,114,1,2,3,2,2
1250,40,102,13,3,3,3,3
760,40,88,12,2,2,2,2
1154,42,88,14,3,2,3,3
865,40,130,5,2,3,2,2
1000,40,101,16,2,1,2,2
1000,40,72,16,2,3,2,2
1329,55,115,10,3,1,3,3
685,40,93,17,1,3,1,1
1040,40,101,19,2,3,2,2
1250,40,92,10,3,1,3,3
600,40,115,7,1,3,1,1
480,40,76,17,1,3,1,1
988,48,91,15,2,1,2,2
440,40,84,11,1,3,1,1
1550,40,104,16,3,3,3,3
960,40,107,11,2,3,2,2
1000,40,100,16,2,2,2,2
1346,40,112,14,3,0,3,3
1201,50,98,17,3,3,3,3
1346,45,60,8,3,2,3,3
543,45,90,5,1,1,1,1
507,55,110,10,1,2,1,1
1282,45,97,4,3,3,3,3
556,40,127,6,1,2,1,1
1200,40,109,7,3,2,3,3
1000,48,105,11,2,0,2,2
1500,60,124,6,3,2,3,3
1004,40,81,17,2,1,2,2
761,48,95,14,2,1,2,2
769,40,98,8,2,0,2,2
2500,60,82,21,3,3,3,3
1098,45,105,6,3,1,3,3
1212,40,95,6,3,3,3,3
1500,40,123,9,3,1,3,3
583,80,86,9,1,2,1,1
945,40,87,12,2,2,2,2
1500,37,119,8,3,1,3,3
1333,45,103,7,3,3,3,3
2162,40,124,10,3,1,3,3
400,40,88,14,1,3,1,1
1015,40,67,15,2,3,2,2
1744,43,106,8,3,1,3,3
630,40,103,14,1,0,1,1
660,42,101,12,1,0,1,1
377,40,83,9,1,1,1,1
1122,60,102,7,3,2,3,3
1386,40,97,17,3,1,3,3
1539,40,115,7,3,2,3,3
1154,40,117,11,3,3,3,3
722,55,113,8,1,1,1,1
480,40,83,9,1,3,1,1
1442,40,113,14,3,2,3,3
1091,50,88,13,3,3,3,3
350,40,93,16,1,1,1,1
1333,60,106,5,3,2,3,3
910,40,82,5,2,3,2,2
1001,34,77,12,2,3,2,2
713,40,75,5,1,3,1,1
1241,40,83,9,3,2,3,3
1065,40,97,21,3,1,3,3
403,45,98,5,1,2,1,1
812,40,81,17,2,2,2,2
700,20,85,13,1,3,1,1
575,40,86,12,1,3,1,1
726,45,93,16,1,3,1,1
393,48,92,15,1,1,1,1
962,50,109,21,2,0,2,2
962,40,97,15,2,3,2,2
865,40,85,4,2,3,2,2
975,40,87,20,2,3,2,2
829,40,98,15,2,3,2,2
1000,40,98,17,2,3,2,2
827,40,105,7,2,2,2,2
500,44,87,5,1,3,1,1
1155,40,117,9,3,3,3,3
1710,45,114,7,3,1,3,3
890,60,92,9,2,1,2,2
1539,40,111,10,3,3,3,3
508,40,73,1,1,1,1,1
962,40,110,16,2,2,2,2
905,40,102,17,2,3,2,2
926,55,64,18,2,3,2,2
1312,40,118,14,3,0,3,3
923,40,118,8,2,3,2,2
800,25,75,14,2,0,2,2
550,40,95,4,1,3,1,1
583,48,94,10,1,2,1,1
1200,40,103,5,3,1,3,3
360,55,110,11,1,3,1,1
1746,40,131,9,3,3,3,3
520,40,126,8,1,3,1,1
931,80,108,4,2,3,2,2
1384,50,114,12,3,1,3,3
1620,38,111,8,3,1,3,3
1602,60,124,12,3,1,3,3
1000,40,121,6,2,2,2,2
1699,40,96,10,3,2,3,3
625,40,73,1,1,3,1,1
720,50,101,1,1,3,1,1
962,40,112,8,2,2,2,2
940,45,102,11,2,1,2,2
882,44,96,15,2,3,2,2
1710,45,118,12,3,1,3,3
1001,48,137,11,2,3,2,2
1154,40,116,11,3,2,3,3
857,65,99,18,2,2,2,2
937,32,113,12,2,3,2,2
950,40,96,14,2,1,2,2
369,40,117,11,1,3,1,1
1924,40,105,14,3,0,3,3
864,40,87,15,2,1,2,2
1092,44,110,15,3,3,3,3
1025,40,110,9,2,3,2,2
673,40,85,17,1,2,1,1
884,40,108,9,2,3,2,2
800,40,122,10,2,3,2,2
664,40,105,8,1,3,1,1
1111,45,90,18,3,3,3,3
850,43,111,8,2,3,2,2
1202,40,131,10,3,3,3,3
666,40,104,10,1,2,1,1
788,40,99,10,2,3,2,2
866,40,85,11,2,3,2,2
693,40,68,11,1,3,1,1
875,36,95,16,2,3,2,2
2308,40,116,8,3,3,3,3
1196,45,96,10,3,2,3,3
700,38,85,13,1,3,1,1
1050,50,97,4,2,2,2,2
640,23,96,7,1,3,1,1
1198,32,117,7,3,1,3,3
390,55,93,4,1,1,1,1
1127,40,98,17,3,1,3,3
525,40,100,5,1,1,1,1
1104,54,96,11,3,1,3,3
425,30,106,8,1,0,1,1
596,40,62,16,1,3,1,1
681,40,94,18,1,3,1,1
950,40,81,16,2,3,2,2
600,40,87,20,1,0,1,1
661,40,96,8,1,3,1,1
925,40,75,12,2,2,2,2
425,40,86,7,1,3,1,1
340,50,104,4,1,3,1,1
692,50,95,16,1,2,1,1
575,40,116,11,1,1,1,1
987,40,96,11,2,1,2,2
788,40,96,13,2,3,2,2
850,40,105,6,2,1,2,2
900,38,106,10,2,3,2,2
1418,45,102,19,3,2,3,3
260,40,75,21,1,3,1,1
662,45,99,7,1,3,1,1
562,80,104,11,1,1,1,1
1009,40,118,11,2,0,2,2
1442,40,108,17,3,1,3,3
750,40,50,14,1,3,1,1
700,40,73,17,1,3,1,1
624,40,92,18,1,2,1,1
750,40,83,4,1,3,1,1
540,40,70,12,1,3,1,1
642,35,87,9,1,3,1,1
513,40,104,8,1,3,1,1
894,40,104,7,2,3,2,2
1282,60,96,7,3,3,3,3
485,40,89,10,1,3,1,1
618,40,84,6,1,3,1,1
751,40,104,15,1,3,1,1
380,50,106,15,1,2,1,1
753,46,70,21,1,3,1,1
1065,65,104,10,3,2,3,3
1070,40,91,13,3,1,3,3
1573,55,112,7,3,1,3,3
494,40,74,16,1,3,1,1
520,40,86,15,1,0,1,1
891,40,90,16,2,3,2,2
481,48,98,14,1,3,1,1
1473,40,110,15,3,1,3,3
1000,44,103,9,2,0,2,2
600,40,114,5,1,2,1,1
450,40,95,12,1,2,1,1
1562,40,97,7,3,3,3,3
357,70,97,6,1,1,1,1
960,40,83,14,2,3,2,2
481,40,82,9,1,2,1,1
1442,40,113,8,3,2,3,3
645,45,93,11,1,3,1,1
644,42,101,11,1,3,1,1
520,40,79,6,1,0,1,1
1000,40,107,17,2,3,2,2