Year,Player,School,GradStatus,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Drafted_Round,Drafted_Pick,BMI,Player_Type,Position_Type
2013,Kenny Vaccaro\VaccKe00,Texas,Yes,4.63,96.52,15,307.34,6.78,4.06,1,15,29.02331984,defense,defensive_back
2013,Mychal Rivera\RiveMy00,Tennessee,Yes,4.81,78.74,17,284.48,7.17,4.43,6,184,30.24761569,offense,backs_receivers
2013,Lane Johnson\JohnLa01,Oklahoma,Yes,4.72,86.36,28,299.72,7.31,4.52,1,4,35.01480648,offense,offensive_lineman
2013,Eric Reid\ReidEr00,LSU,No,4.53,102.87,17,340.36,6.99,4.22,1,18,28.10167395,defense,defensive_back
2014,Deone Bucannon\BucaDe00,Washington St.,No,4.49,92.71,19,317.5,6.96,4.26,1,27,27.83780846,defense,defensive_back
2014,Jake Matthews\MattJa00,Texas A&M,Yes,5.07,77.47,24,266.7,7.34,4.47,1,6,36.52309505,offense,offensive_lineman
2014,Sammy Watkins\WatkSa00,Clemson,No,4.43,86.36,16,320.04,6.95,4.34,1,4,27.83780846,offense,backs_receivers
2014,Kelvin Benjamin\BenjKe00,Florida St.,Yes,4.61,82.55,13,302.26,7.33,4.39,1,28,28.45955458,offense,backs_receivers
2014,Kyle Fuller\FullKy00,Virginia Tech,Yes,4.49,97.79,12,325.12,6.9,4.19,1,14,25.76836808,defense,defensive_back
2014,Zack Martin\MartZa00,Notre Dame,Yes,5.22,71.12,29,269.24,7.65,4.59,1,16,37.49055238,offense,offensive_lineman
2014,Matt Paradis\ParaMa00,Boise St.,Yes,5.34,66.04,23,261.62,7.6,4.46,6,207,38.24698513,offense,offensive_lineman
2014,Demetri Goodson\GoodDe00,Baylor,Yes,4.52,93.98,11,312.42,6.8,4.34,6,197,27.0572304,defense,defensive_back
2014,Ha Ha Clinton-Dix\ClinHa00,Alabama,No,4.58,83.82,11,302.26,7.16,4.16,1,21,27.44201024,defense,defensive_back
2014,Alfred Blue\BlueAl00,LSU,Yes,4.63,81.28,13,307.34,7.15,4.5,6,181,28.63121188,offense,backs_receivers
2014,Jadeveon Clowney\ClowJa00,South Carolina,No,4.53,95.25,21,314.96,7.27,4.43,1,1,31.542673,defense,defensive_lineman
2014,Zach Fulton\FultZa00,Tennessee,Yes,5.16,62.23,25,248.92,7.87,5.16,6,193,37.47174687,offense,offensive_lineman
2014,Greg Robinson\RobiGr01,Auburn,No,4.92,72.39,32,287.02,7.8,4.86,1,2,39.36905051,offense,offensive_lineman
2014,Aaron Donald\DonaAa00,Pittsburgh,Yes,4.68,81.28,35,294.64,7.11,4.39,1,13,37.60083134,defense,defensive_lineman
2014,Matt Hazel\HazeMa01,Coastal Carolina,Yes,4.5,92.71,15,299.72,7.08,4.2,6,190,26.12268282,offense,backs_receivers
2014,Ja'Wuan James\JameJa01,Tennessee,No,5.26,73.66,22,261.62,7.42,4.56,1,19,35.93928982,offense,offensive_lineman
2014,Antone Exum\ExumAn00,Virginia Tech,Yes,4.59,88.9,17,297.18,7.05,4.13,6,182,28.88769685,defense,defensive_back
2014,Anthony Barr\BarrAn00,UCLA,No,4.66,87.63,15,302.26,6.82,4.19,1,9,30.23827674,defense,line_backer
2014,Zach Moore\MoorZa00,Concordia (MN),Yes,4.84,85.09,23,312.42,7.41,4.46,6,198,31.89841743,defense,defensive_lineman
2014,Brandin Cooks\CookBr00,Oregon St.,No,4.33,91.44,16,304.8,6.76,3.81,1,20,27.11839807,offense,backs_receivers
2014,Bennett Jackson\JackBe00,Notre Dame,Yes,4.51,96.52,13,325.12,6.75,4,6,187,26.44648303,defense,defensive_back
2014,Odell Beckham Jr.\BeckOd00,LSU,No,4.38,97.79,7,309.88,6.69,3.94,1,12,27.61511144,offense,backs_receivers
2014,Brandon Dixon\DixoBr00,Northwest Missouri State,Yes,4.41,82.55,17,297.18,7.15,4.27,6,195,28.31246274,defense,defensive_back
2014,I.K. Enemkpali\EnemIK00,Louisiana Tech,Yes,4.86,86.36,28,284.48,7.67,4.65,6,210,34.43444554,defense,defensive_lineman
2014,Khalil Mack\MackKh00,Buffalo,Yes,4.65,101.6,23,325.12,7.08,4.18,1,5,31.37252702,defense,line_backer
2014,Marcus Smith\SmitMa03,Louisville,No,4.66,88.9,23,307.34,7.48,4.47,1,26,31.37252702,defense,defensive_lineman
2014,Ryan Shazier\ShazRy00,Ohio St.,No,4.58,106.68,25,330.2,6.91,4.21,1,15,31.26805974,defense,line_backer
2014,Robert Herron\HerrRo00,Wyoming,No,4.48,90.17,18,317.5,6.84,4.27,6,185,28.50082522,offense,backs_receivers
2014,Taylor Lewan\LewaTa00,Michigan,Yes,4.87,77.47,29,297.18,7.39,4.49,1,11,34.80988625,offense,offensive_lineman
2015,D.J. Humphries\HumpD.00,Florida,No,5.12,78.74,26,264.16,7.87,4.64,1,24,36.40451357,offense,offensive_lineman
2015,Vic Beasley\BeasVi00,Clemson,Yes,4.53,104.14,35,330.2,6.91,4.15,1,8,30.74757628,defense,line_backer
2015,Darren Waller\WallDa01,Georgia Tech,Yes,4.46,93.98,12,317.5,7.07,4.25,6,204,27.50337935,offense,backs_receivers
2015,Nick O'Leary\OLeaNi00,Florida St.,Yes,4.93,77.47,21,279.4,7.4,4.5,6,194,31.49751717,offense,backs_receivers
2015,Kevin White\WhitKe00,West Virginia,Yes,4.35,92.71,23,312.42,6.92,4.14,1,7,26.87288171,offense,backs_receivers
2015,Danny Shelton\ShelDa01,Washington,No,5.64,77.47,34,241.3,7.99,4.65,1,12,43.5245777,defense,defensive_lineman
2015,Cameron Erving\ErviCa00,Florida St.,Yes,5.15,77.47,30,284.48,7.48,4.63,1,19,37.11600243,offense,offensive_lineman
2015,Laken Tomlinson\TomlLa01,Duke,Yes,5.33,80.01,25,261.62,8.17,4.87,1,28,40.37181764,offense,offensive_lineman
2015,Quandre Diggs\DiggQu00,Texas,Yes,4.56,90.17,17,287.02,7.22,4.15,6,200,28.94384323,defense,defensive_back
2015,Damarious Randall\RandDa00,Arizona St.,Yes,4.46,96.52,14,304.8,6.83,4.07,1,30,27.33617092,defense,defensive_back
2015,Phillip Dorsett\DorsPh00,Miami (FL),Yes,4.33,93.98,13,309.88,6.7,4.11,1,29,26.54446372,offense,backs_receivers
2015,Amarlo Herrera\HerrAm00,Georgia,Yes,4.83,81.28,23,281.94,7.35,4.27,6,207,32.19158894,defense,line_backer
2015,Marcus Peters\PeteMa00,Washington,Yes,4.53,95.25,17,307.34,7.08,4.08,1,18,26.71772901,defense,defensive_back
2015,Rakeem Nunez-Roches\NuneRa00,Southern Miss,No,5.02,86.36,26,289.56,7.67,4.69,6,217,39.41606299,defense,defensive_lineman
2015,Melvin Gordon\GordMe00,Wisconsin,No,4.52,88.9,19,320.04,7.04,4.07,1,15,28.36553943,offense,backs_receivers
2015,Trae Waynes\WaynTr00,Michigan St.,Yes,4.31,96.52,19,309.88,7.06,4.39,1,11,25.22587612,defense,defensive_back
2015,Malcom Brown\BrowMa01,Texas,No,5.05,74.93,26,248.92,7.84,4.59,1,32,40.95675601,defense,defensive_lineman
2015,Stephone Anthony\AnthSt00,Clemson,Yes,4.56,93.98,23,309.88,7.07,4.03,1,31,30.37260584,defense,line_backer
2015,Geremy Davis\DaviGe00,Connecticut,Yes,4.49,92.71,23,314.96,6.86,4.18,6,186,27.73247429,offense,backs_receivers
2015,Leterrius Walton\WaltLe00,Central Michigan,Yes,5.25,68.58,25,261.62,7.91,4.78,6,199,37.8274913,defense,defensive_lineman
2015,Anthony Chickillo\ChicAn00,Miami (FL),Yes,4.79,87.63,27,289.56,7.17,4.25,6,212,33.37236938,defense,defensive_lineman
2015,Arik Armstead\ArmsAr01,Oregon,No,5.06,86.36,24,297.18,7.57,4.53,1,17,32.89477924,defense,defensive_lineman
2015,Obum Gwacham\GwacOb00,Oregon St.,Yes,4.72,91.44,22,307.34,7.28,4.28,6,209,29.17104345,defense,defensive_lineman
2015,Kaelin Clay\ClayKa00,Utah,Yes,4.51,83.82,10,287.02,6.97,4.26,6,184,27.9792996,offense,backs_receivers
2015,Andy Gallik\GallAn00,Boston Col.,Yes,5.5,68.58,29,243.84,7.66,4.58,6,208,39.28767191,offense,offensive_lineman
2015,Kyshoen Jarrett\JarrKy00,Virginia Tech,No,4.57,83.82,21,276.86,6.95,4.4,6,181,28.69671754,defense,defensive_back
2016,Harlan Miller\MillHa00,SE Louisiana,No,4.65,90.17,6,299.72,7.44,4.43,6,205,24.68338416,defense,defensive_back
2016,Keanu Neal\NealKe01,Florida,No,4.62,96.52,17,335.28,7.09,4.38,1,17,28.61645087,defense,defensive_back
2016,Maurice Canady\CanaMa00,Virginia,No,4.49,96.52,16,314.96,7.03,4.09,6,209,25.46301912,defense,defensive_back
2016,Vernon Butler\ButlVe00,Louisiana Tech,No,5.33,74.93,26,264.16,7.82,4.76,1,30,39.31639097,defense,defensive_lineman
2016,Deandre Houston-Carson\HousDe00,William & Mary,Yes,4.54,82.55,13,292.1,7.15,4.28,6,185,26.51848105,defense,defensive_back
2016,Anthony Brown\BrowAn02,Purdue,Yes,4.33,88.9,19,292.1,7.03,4.19,6,189,26.77828988,defense,defensive_back
2016,Andy Janovich\JanoAn00,Nebraska,Yes,4.81,86.36,30,302.26,7.28,4.32,6,176,31.39999249,offense,backs_receivers
2016,Anthony Zettel\ZettAn00,Penn St.,Yes,4.81,77.47,28,276.86,7.63,4.39,6,202,33.71715263,defense,defensive_lineman
2016,Taylor Decker\DeckTa00,Ohio St.,Yes,5.23,73.66,20,256.54,7.7,4.76,1,16,34.92253961,offense,offensive_lineman
2016,Will Fuller\FullWi01,Notre Dame,No,4.32,85.09,10,320.04,6.93,4.27,1,21,25.22587612,offense,backs_receivers
2016,Ryan Kelly\KellRy00,Alabama,Yes,5.03,76.2,26,261.62,7.58,4.59,1,18,37.8557201,offense,offensive_lineman
2016,Jalen Ramsey\RamsJa00,Florida St.,No,4.41,105.41,14,342.9,6.94,4.18,1,5,27.57394298,defense,defensive_back
2016,Dadi Nicolas\NicoDa00,Virginia Tech,Yes,4.74,104.14,14,294.64,7.04,4.38,6,203,29.37268466,defense,defensive_lineman
2016,D.J. White\WhitD.00,Georgia Tech,Yes,4.49,83.82,17,335.28,7.18,4.33,6,178,26.91776014,defense,defensive_back
2016,Joey Bosa\BosaJo00,Ohio St.,No,4.86,81.28,24,304.8,6.89,4.21,1,3,31.89841743,defense,defensive_lineman
2016,Temarrick Hemingway\HemiTe00,South Carolina St.,Yes,4.71,77.47,18,292.1,6.88,4.31,6,177,28.93388049,offense,backs_receivers
2016,Sheldon Rankins\RankSh00,Louisville,No,5.03,87.63,28,299.72,7.44,4.59,1,12,39.44788972,defense,defensive_lineman
2016,Darron Lee\LeexDa00,Ohio St.,No,4.47,90.17,17,337.82,7.12,4.2,1,20,30.60839604,defense,line_backer
2016,Joshua Garnett\GarnJo00,Stanford,Yes,5.32,73.66,30,251.46,7.62,4.64,1,28,37.97744267,offense,offensive_lineman
2016,Aaron Burbridge\BurbAa00,Michigan St.,Yes,4.56,77.47,20,292.1,7.22,4.31,6,213,27.93833592,offense,backs_receivers
2016,Devante Bond\BondDe00,Oklahoma,Yes,4.7,95.25,21,307.34,7.07,4.36,6,183,31.00419426,defense,line_backer
2016,Dan Vitale\VitaDa00,Northwestern,Yes,4.6,97.79,30,312.42,7.12,4.12,6,197,31.53192523,offense,backs_receivers
2016,Jack Conklin\ConkJa00,Michigan St.,No,5,76.2,25,261.62,7.63,4.57,1,8,35.59260857,offense,offensive_lineman
2016,Sebastian Tretola\TretSe00,Arkansas,Yes,5.45,59.69,22,228.6,7.94,5.02,6,193,38.22088781,offense,offensive_lineman
2016,Josh Doctson\DoctJo00,TCU,Yes,4.5,104.14,14,332.74,6.84,4.08,1,22,25.9349991,offense,backs_receivers
2017,Haason Reddick\ReddHa00,Temple,Yes,4.52,92.71,24,337.82,7.01,4.37,1,13,31.26805974,defense,line_backer
2017,Takkarist McKinley\McKiTa00,UCLA,No,4.59,83.82,24,309.88,7.48,4.62,1,26,32.09777117,defense,line_backer
2017,Chuck Clark\ClarCh00,Virginia Tech,No,4.54,86.36,16,309.88,6.85,4.07,6,186,28.2095819,defense,defensive_back
2017,TreDavious White\WhitTr01,LSU,Yes,4.47,81.28,16,302.26,6.9,4.32,1,27,26.77828988,defense,defensive_back
2017,Christian McCaffrey\McCaCh01,Stanford,No,4.48,95.25,10,307.34,6.57,4.22,1,8,28.17299248,offense,backs_receivers
2017,Caleb Brantley\BranCa00,Florida,Yes,5.14,68.58,21,266.7,7.66,4.62,6,185,38.37197528,defense,defensive_lineman
2017,David Njoku\NjokDa00,Miami (FL),No,4.64,95.25,21,337.82,6.97,4.34,1,29,29.94375287,offense,backs_receivers
2017,Taco Charlton\CharTa00,Michigan,Yes,4.92,83.82,25,294.64,7.17,4.39,1,28,32.01023563,defense,defensive_lineman
2017,Xavier Woods\WoodXa00,Louisiana Tech,No,4.54,85.09,19,309.88,6.72,4.13,6,191,27.47564118,defense,defensive_back
2017,Jeremiah Ledbetter\LedbJe00,Arkansas,Yes,4.84,82.55,29,287.02,7.55,4.56,6,205,34.9972413,defense,defensive_lineman
2017,Sam Tevi\TeviSa00,Utah,Yes,5.27,66.04,15,271.78,7.84,4.6,6,190,36.87883948,offense,offensive_lineman
2017,Tanzel Smart\SmarTa00,Tulane,Yes,5.24,68.58,22,266.7,7.53,4.57,6,189,39.0520915,defense,defensive_lineman
2017,Sam Rogers\RogeSa00,Virginia Tech,No,4.93,81.28,19,289.56,7.27,4.34,6,206,33.14470876,offense,backs_receivers
2017,Vincent Taylor\TaylVi00,Oklahoma St.,Yes,5.07,72.39,26,274.32,7.58,4.72,6,194,37.99700484,defense,defensive_lineman
2017,Charles Harris\HarrCh03,Missouri,Yes,4.82,81.28,21,276.86,7.47,4.42,1,22,31.62250732,defense,defensive_lineman
2017,Al-Quadin Muhammad\MuhaAl00,Miami (FL),No,4.88,77.47,22,297.18,7.25,4.47,6,196,31.62250732,defense,defensive_lineman
2017,Evan Engram\EngrEv00,Mississippi,Yes,4.42,91.44,19,317.5,6.92,4.23,1,23,29.24769451,offense,backs_receivers
2017,Adam Bisnowaty\BisnAd00,Pittsburgh,Yes,5.23,74.93,23,243.84,8.02,4.94,6,200,35.1303669,offense,offensive_lineman
2017,Jamal Adams\AdamJa00,LSU,No,4.56,80.01,18,304.8,6.96,4.13,1,6,29.02331984,defense,defensive_back
2017,Elijah McGuire\McGuEl00,Louisiana,Yes,4.53,91.44,15,304.8,7.26,4.56,6,188,30.70548776,offense,backs_receivers
2017,Gareon Conley\ConlGa00,Ohio St.,No,4.44,93.98,11,327.66,6.68,4.18,1,24,26.44648303,defense,defensive_back
2017,Elijah Qualls\QualEl00,Washington,Yes,5.13,80.01,33,266.7,7.65,4.66,6,214,41.2949481,defense,defensive_lineman
2017,T.J. Watt\WattT.00,Wisconsin,Yes,4.69,93.98,21,325.12,6.79,4.13,1,30,30.67408831,defense,line_backer
2017,Solomon Thomas\ThomSo00,Stanford,No,4.69,88.9,30,320.04,6.95,4.28,1,3,34.12231027,defense,defensive_lineman
2017,Pita Taumoepenu\TaumPi00,Utah,Yes,4.67,72.39,24,284.48,6.91,4.33,6,202,32.05965619,defense,line_backer
2017,D.J. Jones\JoneD.01,Akron,Yes,5.04,72.39,25,274.32,7.73,4.65,6,198,42.08654455,defense,defensive_lineman
2017,O.J. Howard\HowaO.00,Alabama,Yes,4.51,76.2,22,307.34,6.85,4.16,1,19,29.00566478,offense,backs_receivers
2017,Corey Levin\LeviCo00,Tenn-Chattanooga,Yes,5.16,67.31,26,269.24,7.55,4.73,6,217,37.36882981,offense,offensive_lineman
2017,Chase Roullier\RoulCh00,Wyoming,Yes,5.54,67.31,19,246.38,7.6,4.47,6,199,37.97744267,offense,offensive_lineman
2017,Robert Davis\DaviRo00,Georgia St.,No,4.44,104.14,19,345.44,6.82,4.28,6,209,27.3728423,offense,backs_receivers
2017,Jonathan Allen\AlleJo01,Alabama,Yes,5,76.2,21,274.32,7.49,4.5,1,17,35.74718218,defense,defensive_lineman
2018,Calvin Ridley\RidlCa00,Alabama,Yes,4.43,78.74,15,279.4,6.88,4.41,1,26,25.63274509,offense,backs_receivers
2018,Greg Senat\SenaGr00,Wagner,Yes,5.38,66.04,19,269.24,7.41,4.71,6,212,34.89924606,offense,offensive_lineman
2018,D.J. Moore\MoorD.00,Maryland,No,4.42,100.33,15,335.28,6.95,4.07,1,24,28.48082788,offense,backs_receivers
2018,Cedrick Wilson\WilsCe01,Boise St.,Yes,4.55,93.98,9,307.34,6.89,4.23,6,208,25.29304368,offense,backs_receivers
2018,Leighton Vander esch\VandLe00,Boise St.,Yes,4.65,100.33,20,314.96,6.88,4.15,1,19,31.1609786,defense,line_backer
2018,Sam Jones\JoneSa00,Arizona St.,Yes,5.32,68.58,28,256.54,7.92,4.86,6,183,36.16735061,offense,offensive_lineman
2018,Bradley Chubb\ChubBr00,North Carolina St.,No,4.65,91.44,24,307.34,7.37,4.41,1,5,32.74337204,defense,defensive_lineman
2018,Jaire Alexander\AlexJa00,Louisville,No,4.38,88.9,14,322.58,6.71,3.98,1,18,26.77828988,defense,defensive_back
2018,Jordan Thomas\ThomJo05,Mississippi St.,No,4.74,68.58,16,281.94,7.5,4.75,6,211,31.42409152,offense,backs_receivers
2018,Deon Cain\CainDe00,Clemson,No,4.43,85.09,11,292.1,6.71,4.37,6,185,25.9349991,offense,backs_receivers
2018,Taven Bryan\BryaTa00,Florida,No,4.98,88.9,30,302.26,7.12,4.48,1,29,35.42126864,defense,defensive_lineman
2018,Kahlil McKenzie\McKeKa00,Tennessee,No,5.15,74.93,26,266.7,7.94,4.68,6,198,37.23458391,defense,defensive_lineman
2018,Dylan Cantrell\CantDy00,Texas Tech,Yes,4.59,97.79,18,330.2,6.56,4.03,6,191,28.24777333,offense,backs_receivers
2018,Jamil Demby\DembJa00,Maine,No,5.58,59.69,17,248.92,7.86,4.95,6,192,38.82950068,offense,offensive_lineman
2018,Colby Gossett\GossCo00,Appalachian St.,Yes,5.2,63.5,32,261.62,7.6,4.83,6,213,36.87883948,offense,offensive_lineman
2018,Mike Hughes\HughMi00,Central Florida,No,4.53,90.17,20,322.58,6.7,4.13,1,30,26.63881962,defense,defensive_back
2018,Ade Aruna\ArunAd00,Tulane,Yes,4.6,97.79,18,325.12,7.53,4.48,6,218,30.27682937,defense,defensive_lineman
2018,Christian Sam\SamxCh00,Arizona St.,No,4.75,81.28,28,289.56,7.03,4.25,6,178,31.32742466,defense,line_backer
2018,Marcus Davenport\DaveMa00,Texas-San Antonio,No,4.58,85.09,22,314.96,7.2,4.41,1,14,30.5079502,defense,defensive_lineman
2018,Azeem Victor\VictAz00,Washington,Yes,4.72,82.55,19,292.1,7.2,4.4,6,216,31.66385797,defense,line_backer
2018,Kolton Miller\MillKo00,UCLA,Yes,4.95,80.01,24,307.34,7.34,4.49,1,15,33.11210183,offense,offensive_lineman
2019,Keesean Johnson\JohnKe07,Fresno St.,Yes,4.6,76.2,14,297.18,7.28,4.23,6,174,26.51848105,offense,backs_receivers
2019,Kaleb McGary\McGaKa00,Washington,Yes,5.05,85.09,23,281.94,7.66,4.58,1,31,35.71111308,offense,offensive_lineman
2019,Dennis Daley\DaleDe00,South Carolina,Yes,5.23,67.31,20,261.62,7.95,4.92,6,212,37.59032834,offense,offensive_lineman
2019,Jonah Williams\WillJo10,Alabama,No,5.12,71.12,23,254,8.01,4.79,1,11,36.76021694,offense,offensive_lineman
2019,Trayveon Williams\WillTr06,Texas A&M,No,4.51,83.82,19,307.34,7.44,4.44,6,182,31.32187141,offense,backs_receivers
2019,Noah Fant\FantNo00,Iowa,No,4.5,100.33,20,322.58,6.81,4.22,1,20,30.30892059,offense,backs_receivers
2019,T.J. Hockenson\HockTJ00,Iowa,No,4.7,95.25,17,312.42,7.02,4.18,1,8,29.76395083,offense,backs_receivers
2019,Dexter Williams\WillDe07,Notre Dame,Yes,4.57,91.44,17,330.2,7,4.16,6,194,29.56769508,offense,backs_receivers
2019,Darnell Savage\SavaDa00,Maryland,No,4.36,100.33,11,320.04,7.03,4.14,1,21,27.61511144,defense,defensive_back
2019,Isaiah Prince\PrinIs00,Ohio St.,No,5.09,68.58,23,292.1,7.9,5.02,6,202,35.24592732,offense,offensive_lineman
2019,Andre Dillard\DillAn00,Washington St.,Yes,4.96,73.66,24,299.72,7.44,4.4,1,22,37.35316539,offense,offensive_lineman
2019,Kaden Smith\SmitKa00,Stanford,No,4.92,81.28,15,274.32,7.08,4.47,6,176,30.23827674,offense,backs_receivers
2019,Travis Homer\HomeTr00,Miami (FL),No,4.48,100.33,17,330.2,7.07,4.31,6,204,28.84020112,offense,backs_receivers
2019,Kelvin Harmon\HarmKe00,North Carolina St.,Yes,4.6,82.55,18,297.18,7.15,4.32,6,206,28.37442971,offense,backs_receivers