wage,IQ,KWW,degree,exper,sibs,brthord,feduc
769,93,35,2,11,1,2,2
650,96,32,2,13,3,1,1
562,74,27,2,14,3,1,1
1400,116,43,3,14,1,3,3
1081,114,50,3,8,2,3,3
1154,111,37,3,13,2,3,3
921,102,45,3,9,1,2,2
900,125,40,3,4,2,2,2
1318,119,24,3,7,3,3,3
850,72,36,2,19,2,2,2
830,105,29,3,4,3,2,2
471,101,34,2,13,3,1,1
1275,123,37,3,9,0,3,3
1053,114,35,3,12,0,2,2
1188,93,40,3,16,2,3,3
1417,125,41,3,9,3,3,3
1424,98,41,3,15,1,3,3
2668,108,41,3,12,1,3,3
1779,132,42,3,8,1,3,3
1572,108,39,3,7,1,3,3
1081,123,46,3,11,1,3,3
1318,122,47,3,10,1,3,3
1027,100,40,3,12,3,2,2
1748,125,50,3,12,1,3,3
981,122,41,3,9,3,2,2
1154,94,37,3,11,1,3,3
1155,102,36,2,16,1,3,3
1100,105,45,2,22,1,3,3
1749,108,32,2,13,3,3,3
1000,104,36,3,11,1,2,2
769,120,49,3,8,1,2,2
875,124,40,3,9,2,2,2
1375,103,34,2,12,3,3,3
1452,115,45,3,1,3,3,3
800,96,33,2,17,1,2,2
1151,98,34,2,12,3,3,3
978,89,47,2,17,0,2,2
963,109,43,2,15,3,2,2
1366,122,38,2,15,1,3,3
1643,117,48,3,8,2,3,3
2310,114,55,3,12,2,3,3
1235,82,45,2,10,1,3,3
855,119,45,3,11,3,2,2
1000,97,45,2,17,1,2,2
675,105,27,3,8,3,1,1
1100,100,32,2,14,1,3,3
1694,113,30,3,9,3,3,3
857,80,39,2,14,2,2,2
579,122,36,3,8,3,1,1
672,96,38,2,13,2,1,1
2500,95,51,3,12,3,3,3
750,94,18,2,16,3,1,1
1186,91,41,3,8,1,3,3
833,96,37,3,9,3,2,2
650,69,37,2,14,3,1,1
865,110,35,3,1,3,2,2
1299,125,44,3,6,1,3,3
903,91,39,2,6,3,2,2
625,110,32,2,18,3,1,1
1586,92,47,3,16,3,3,3
962,85,41,2,15,1,2,2
770,91,39,2,13,1,2,2
1205,86,32,2,13,3,3,3
601,111,30,2,15,0,1,1
600,106,32,3,10,3,1,1
1031,112,24,3,9,3,2,2
1105,103,32,3,10,1,3,3
1346,90,44,3,9,1,3,3
500,96,35,2,6,3,1,1
1325,97,44,2,12,1,3,3
800,112,39,2,15,3,2,2
1034,97,39,2,15,3,2,2
980,101,41,2,4,1,2,2
923,105,54,3,7,1,2,2
779,84,29,2,9,0,2,2
1394,118,41,3,11,2,3,3
650,100,18,2,4,3,1,1
1126,119,30,3,5,1,3,3
450,67,19,2,11,3,1,1
1028,111,28,2,19,3,2,2
1899,127,49,3,9,0,3,3
1250,115,36,3,9,2,3,3
1162,102,40,3,8,3,3,3
1411,121,40,3,14,3,3,3
2162,115,51,3,4,1,3,3
942,85,36,2,7,3,2,2
750,106,32,3,9,1,1,1
1250,91,28,2,13,3,3,3
400,75,33,2,11,3,1,1
577,94,17,2,9,2,1,1
590,109,27,3,10,2,1,1
1250,102,26,2,6,3,3,3
652,113,37,2,14,1,1,1
962,124,43,3,7,2,2,2
817,95,37,2,16,2,2,2
962,120,39,3,8,0,2,2
866,121,30,3,7,1,2,2
2404,96,42,3,1,3,3,3
1160,92,32,2,8,3,3,3
723,98,34,2,15,1,1,1
1778,109,43,3,14,0,3,3
1903,118,44,3,13,0,3,3
1058,98,45,3,14,2,3,3
500,115,43,2,14,1,1,1
1273,84,42,3,14,1,3,3
990,108,42,3,13,3,2,2
600,107,32,2,16,3,1,1
1160,84,35,2,17,3,3,3
500,86,22,2,11,3,1,1
1250,117,45,3,10,1,3,3
1250,104,32,3,13,3,3,3
1346,99,33,3,9,2,3,3
1250,117,31,3,7,1,3,3
1607,108,41,3,7,2,3,3
821,85,39,3,8,3,2,2
500,90,46,3,10,3,1,1
1730,117,41,3,12,1,3,3
1924,112,47,3,9,3,3,3
937,102,36,2,16,3,2,2
978,104,36,2,19,3,2,2
1272,107,39,2,10,3,3,3
1136,117,36,3,16,2,3,3
800,110,36,2,19,3,2,2
935,97,27,2,10,2,2,2
808,99,40,2,18,0,2,2
375,99,29,2,12,3,1,1
930,126,44,3,10,3,2,2
622,119,48,3,12,0,1,1
841,102,38,3,10,3,2,2
769,105,45,3,7,2,2,2
1924,112,40,3,17,1,3,3
1058,89,28,2,7,2,3,3
417,131,39,2,7,1,1,1
1202,114,28,3,6,3,3,3
1070,124,41,3,4,0,3,3
1202,125,30,3,10,2,3,3
850,113,26,2,7,1,2,2
1000,102,46,3,13,3,2,2
3078,120,50,3,12,1,3,3
898,101,41,3,7,3,2,2
906,120,40,3,16,3,2,2
952,99,34,3,10,1,2,2
1444,120,50,3,12,1,3,3
909,97,39,2,17,3,2,2
620,99,22,2,10,3,1,1
1016,72,18,2,14,3,2,2
1050,119,37,3,7,2,2,2
654,121,49,3,12,1,1,1
781,112,33,2,8,2,2,2
1924,99,48,3,16,0,3,3
1202,101,40,3,15,3,3,3
905,109,41,3,11,3,2,2
817,116,27,3,10,1,2,2
812,98,42,2,10,3,2,2
577,104,43,3,6,2,1,1
756,78,29,3,9,2,2,2
1155,85,39,2,14,2,3,3
1025,104,25,2,12,3,2,2
754,93,31,2,13,3,1,1
912,96,32,3,11,2,2,2
600,114,39,2,8,3,1,1
951,86,33,2,13,3,2,2
711,110,38,3,8,3,1,1
1000,89,31,2,9,2,2,2
1175,111,38,2,17,0,3,3
1442,114,38,2,16,2,3,3
538,98,45,3,5,2,1,1
781,89,24,2,13,3,2,2
750,74,23,2,13,3,1,1
800,98,31,2,16,3,2,2
1250,125,27,3,9,3,3,3
762,104,37,3,6,2,2,2
962,120,33,2,18,3,2,2
800,92,28,2,18,0,2,2
658,129,34,3,11,2,1,1
824,92,37,2,19,1,2,2
1442,118,33,3,6,2,3,3
1400,108,38,3,7,2,3,3
1111,103,33,3,13,3,3,3
729,122,40,3,6,3,1,1
690,119,35,2,9,1,1,1
876,116,35,3,10,2,2,2
841,109,45,3,13,3,2,2
1223,107,34,2,7,1,3,3
910,95,27,2,16,2,2,2
900,103,38,2,15,3,2,2
1170,123,45,3,9,3,3,3
769,100,34,2,18,1,2,2
833,101,47,2,15,3,2,2
879,90,43,2,17,1,2,2
1027,115,41,2,16,3,2,2
465,84,33,3,10,3,1,1
1100,92,37,3,21,3,3,3
641,125,44,3,9,1,1,1
950,98,40,2,11,3,2,2
1250,114,37,3,8,3,3,3
586,111,37,3,6,3,1,1
693,101,29,2,7,1,1,1
375,75,24,2,12,3,1,1
673,91,29,2,7,0,1,1
654,113,38,3,1,1,1,1
692,120,34,2,17,3,1,1
1111,98,32,3,10,3,3,3
1368,107,31,3,11,2,3,3
1346,134,42,3,15,2,3,3
854,120,38,3,8,2,2,2
888,105,36,3,9,2,2,2
1161,121,40,2,5,3,3,3
1260,106,37,2,5,2,3,3
947,104,41,3,8,3,2,2
1575,117,28,2,13,3,3,3
758,126,42,3,10,2,2,2
489,104,47,3,20,2,1,1
1126,116,33,2,5,3,3,3
500,83,20,2,13,3,1,1
565,82,30,2,15,3,1,1
1920,109,32,2,13,0,3,3
684,111,25,3,7,3,1,1
774,94,33,2,20,1,2,2
233,96,32,3,7,3,1,1
2137,120,48,3,16,3,3,3
1200,108,29,2,16,3,3,3
1111,118,43,3,11,3,3,3
625,115,31,2,12,2,1,1
1541,94,39,2,8,3,3,3
310,104,37,3,10,2,1,1
350,109,48,2,14,1,1,1
790,115,34,2,15,3,2,2
2099,119,38,3,10,0,3,3
350,74,24,2,14,3,1,1
1202,124,23,3,11,2,3,3
556,69,26,2,13,3,1,1
1600,109,44,3,16,2,3,3
606,100,39,3,6,1,1,1
1522,102,37,2,15,3,3,3
1200,99,37,2,11,3,3,3
874,132,37,3,8,2,2,2
625,108,26,3,11,3,1,1
1250,98,40,2,17,0,3,3
1082,111,44,3,20,3,3,3
727,97,29,2,11,3,1,1
913,101,33,3,5,2,2,2
800,106,34,2,17,3,2,2
1000,93,32,2,16,1,2,2
721,105,22,2,11,3,1,1
815,114,25,2,15,2,2,2
600,116,36,2,20,3,1,1
1100,104,41,2,18,2,3,3
1058,85,48,2,18,2,1,3
940,71,20,2,9,2,2,2
500,98,26,3,14,3,1,1
550,77,36,2,15,3,1,1
795,89,35,2,16,3,2,2
723,102,44,2,12,3,1,1
575,96,31,2,17,2,1,1
850,97,35,2,16,1,2,2
1162,89,39,2,11,3,3,3
1199,70,28,3,13,3,3,3
963,85,32,3,9,3,2,2
802,99,26,2,13,3,2,2
642,93,18,2,12,1,1,1
751,114,37,3,9,2,1,1
866,114,48,3,15,3,2,2
675,77,42,2,20,3,1,1
375,89,24,3,9,3,1,1
1442,132,39,3,8,3,3,3
560,112,37,3,13,3,1,1
950,96,26,3,8,1,2,2
684,106,45,3,16,1,1,1
1250,102,30,3,13,3,3,3
760,88,34,2,12,2,2,2
1154,88,32,2,14,2,3,3
1602,110,45,3,14,3,3,3
1442,110,40,3,13,1,3,3
865,130,39,3,5,3,2,2
705,100,44,2,15,1,1,1
770,80,25,2,16,1,2,2
1329,115,56,3,10,1,3,3
685,93,27,2,17,3,1,1
577,111,37,3,8,1,1,1
1040,101,38,2,19,3,2,2
1250,92,42,3,10,1,3,3
480,76,29,2,17,3,1,1
1000,93,26,2,11,3,2,2
485,120,43,2,11,3,1,1
960,107,23,2,11,3,2,2
1000,100,42,2,16,2,2,2
961,76,17,2,13,3,2,2
479,97,45,2,15,3,1,1
1201,98,38,2,17,3,3,3
1346,60,34,3,8,2,3,3
543,90,31,3,5,1,1,1
450,63,26,2,12,3,1,1
547,88,38,2,17,3,1,1
586,98,41,2,18,2,1,1
1566,127,44,2,7,3,3,3
1634,94,39,3,18,2,3,3
1200,109,42,3,7,2,3,3
855,89,21,2,6,3,2,2
1000,105,39,2,11,0,2,2
900,100,27,2,18,2,2,2
1500,124,20,3,6,2,3,3
1004,81,36,2,17,1,2,2
650,99,36,2,13,1,1,1
808,93,26,2,17,3,2,2
2137,102,35,3,8,0,3,3
761,95,44,2,14,1,2,2
769,98,37,3,8,0,2,2
345,84,28,2,7,2,1,1
987,109,41,3,9,3,2,2
2500,82,41,2,21,3,3,3
1098,105,22,3,6,1,3,3
1212,95,36,2,6,3,3,3
390,74,26,3,10,3,1,1
1500,123,43,3,9,1,3,3
460,92,22,2,16,3,1,1
945,87,41,2,12,2,2,2
1442,117,39,3,9,1,3,3
1333,112,50,3,14,1,3,3
1333,103,30,3,7,3,3,3
700,74,29,2,16,3,1,1
973,81,33,3,11,0,2,2
2162,124,48,3,10,1,3,3
400,88,34,2,14,3,1,1
1015,67,31,2,15,3,2,2
445,91,40,2,11,0,1,1
660,101,34,3,12,0,1,1
1122,102,54,3,7,2,3,3
453,94,34,2,9,3,1,1
1386,97,38,2,17,1,3,3
1539,115,38,3,7,2,3,3
722,113,36,3,8,1,1,1
480,83,37,2,9,3,1,1
1442,113,36,3,14,2,3,3
1091,88,31,3,13,3,3,3
350,93,41,2,16,1,1,1
500,83,39,2,18,0,1,1
1026,113,27,3,9,2,2,2
577,106,43,3,11,3,1,1
910,82,26,3,5,3,2,2
1000,89,40,2,17,3,2,2
1160,74,18,2,14,3,3,3
1001,77,22,2,12,3,2,2
400,68,35,2,4,3,1,1
403,98,37,2,5,2,1,1
812,81,20,2,17,2,2,2
700,85,27,2,13,3,1,1
575,86,20,2,12,3,1,1
450,79,23,2,20,3,1,1
621,84,24,2,14,3,1,1
441,74,24,2,12,3,1,1
625,92,25,3,6,3,1,1
600,127,44,2,8,2,1,1
962,109,44,2,21,0,2,2
865,66,30,2,10,3,2,2
1154,109,46,3,10,2,3,3
732,104,36,2,10,1,1,1
700,81,26,2,13,3,1,1
1300,78,40,3,12,2,3,3
1000,98,34,2,17,3,2,2
827,105,29,3,7,2,2,2
1155,117,25,3,9,3,3,3
950,85,30,3,8,2,2,2
533,65,21,2,5,3,1,1
3078,107,23,3,11,2,3,3
1539,111,41,3,10,3,3,3
1143,97,40,2,21,3,3,3
990,67,23,2,16,2,2,2
905,102,31,2,17,3,2,2
926,64,22,2,18,3,2,2
1559,103,32,2,17,3,3,3
923,118,36,3,8,3,2,2
879,118,41,3,1,1,2,2
583,94,35,3,10,2,1,1
1200,103,27,3,5,1,3,3
360,110,44,3,11,3,1,1
1832,97,38,2,16,1,3,3
909,102,34,2,14,3,2,2
520,126,23,3,8,3,1,1
2137,108,45,3,11,2,3,3
931,108,40,3,4,3,2,2
812,115,46,3,11,1,2,2
1384,114,48,3,12,1,3,3
528,116,40,3,5,3,1,1
1026,125,33,2,11,3,2,2
1107,112,38,2,12,3,3,3
900,110,35,2,6,1,2,2
1924,98,49,3,6,1,3,3
1573,90,28,2,5,3,3,3
1097,80,27,2,12,3,3,3
1154,116,42,3,11,2,3,3
1250,78,36,2,16,3,3,3
1261,117,41,3,1,3,3,3
115,108,46,2,9,3,1,1
1084,95,38,3,17,1,3,3
1058,94,40,3,13,0,1,3
369,117,36,3,11,3,1,1
1924,105,42,3,14,0,3,3
855,109,36,2,17,3,2,2
1049,122,39,3,7,3,2,2
884,108,40,3,9,3,2,2
800,122,38,3,10,3,2,2
664,105,30,2,8,3,1,1
666,104,32,2,10,2,1,1
923,110,39,3,15,2,2,2
866,85,26,2,11,3,2,2
693,68,38,2,11,3,1,1
700,85,36,2,13,3,1,1
721,100,32,2,8,3,1,1
1050,97,31,3,4,2,2,2
801,100,30,3,6,2,2,2
1076,106,42,2,19,1,3,3
750,103,36,3,1,1,1,1
1104,96,39,2,11,1,3,3
553,67,22,2,11,3,1,1
425,106,34,3,8,0,1,1
510,62,34,2,13,3,1,1
596,62,26,2,16,3,1,1
402,76,28,2,9,3,1,1
418,76,26,2,12,0,1,1
1133,106,44,3,13,1,3,3
950,81,29,2,16,3,2,2
600,87,15,2,20,0,1,1
575,116,37,2,11,1,1,1
571,66,20,2,15,3,1,1
817,101,38,3,11,1,2,2
616,104,41,2,16,3,1,1
788,96,42,2,13,3,2,2
900,106,40,2,10,3,2,2
260,75,35,2,21,3,1,1
662,99,27,3,7,3,1,1
562,90,46,3,4,1,1,1
562,104,30,2,11,1,1,1
1442,108,40,2,17,1,3,3
750,50,28,2,14,3,1,1
754,55,23,2,13,2,1,1
503,84,14,2,11,3,1,1
937,104,37,2,14,1,2,2
624,92,40,2,18,2,1,1
900,98,36,3,1,3,2,2
400,96,38,3,6,3,1,1
900,80,34,2,15,3,2,2
513,104,40,3,8,3,1,1
751,104,32,2,15,3,1,1
380,106,28,2,15,2,1,1
1573,112,42,3,7,1,3,3
650,97,27,2,14,3,1,1
700,99,40,2,15,3,1,1
570,101,43,2,11,2,1,1
481,98,26,2,14,3,1,1
803,120,35,3,4,3,2,2
962,97,34,3,7,0,2,2
1000,103,37,2,9,0,2,2
600,114,36,3,5,2,1,1
629,93,32,2,6,3,1,1
960,83,25,3,14,3,2,2
566,104,46,3,5,1,1,1
1442,113,45,3,8,2,3,3
644,101,38,2,11,3,1,1
664,82,30,3,10,3,1,1
520,79,28,3,6,0,1,1
1202,102,32,3,10,3,3,3
538,77,22,2,12,3,1,1
1000,107,32,2,17,3,2,2