wage,IQ,KWW,exper,married,urban,meduc,feduc
769,93,35,11,1,1,2,2
808,119,41,11,1,1,2,2
1400,116,43,14,1,1,3,3
600,91,24,13,0,1,1,1
1081,114,50,8,1,1,3,3
1000,95,44,16,1,1,2,2
921,102,45,9,1,0,2,2
900,125,40,4,0,0,2,2
850,72,36,19,1,1,2,2
1275,123,37,9,1,1,3,3
1053,114,35,12,1,1,2,2
1602,124,32,8,1,1,3,3
1188,93,40,16,1,1,3,3
666,129,40,8,1,0,1,1
714,105,37,9,1,1,1,1
1081,123,46,11,1,0,3,3
1239,109,44,16,1,1,3,3
1027,100,40,12,1,1,2,2
981,122,41,9,0,1,2,2
770,105,34,7,1,1,2,2
1154,94,37,11,1,1,3,3
462,112,35,11,1,1,1,1
769,120,49,8,0,1,2,2
875,124,40,9,0,0,2,2
1452,115,45,1,1,1,3,3
800,96,33,17,1,1,2,2
1748,123,48,10,1,1,3,3
442,82,32,12,1,1,1,1
1643,117,48,8,1,1,3,3
1455,109,44,8,1,1,3,3
2310,114,55,12,1,1,3,3
1235,82,45,10,1,1,3,3
855,119,45,11,1,1,2,2
1072,104,37,6,1,1,3,3
1000,97,45,17,1,1,2,2
1100,100,32,14,1,1,3,3
732,73,28,17,1,1,1,1
1200,96,48,15,1,1,3,3
832,104,30,4,1,1,2,2
579,122,36,8,1,0,1,1
650,69,37,14,1,1,1,1
808,97,37,10,1,1,2,2
903,91,39,6,1,1,2,2
900,86,28,17,1,1,2,2
1000,90,42,16,1,1,2,2
895,86,39,17,1,0,2,2
750,113,27,11,1,0,1,1
601,111,30,15,1,1,1,1
600,106,32,10,1,1,1,1
433,98,28,11,0,1,1,1
1225,118,44,9,1,1,3,3
865,95,34,15,0,1,2,2
1031,112,24,9,1,1,2,2
1049,120,39,9,1,1,2,2
1346,128,46,10,0,0,3,3
1200,97,35,10,1,1,3,3
500,96,35,6,1,1,1,1
1325,97,44,12,1,1,3,3
800,88,32,16,1,1,2,2
980,101,41,4,1,1,2,2
1105,93,36,17,0,1,3,3
1193,82,38,19,1,1,3,3
2771,134,45,6,1,1,3,3
779,84,29,9,1,1,2,2
650,100,18,4,1,1,1,1
670,93,27,9,1,1,1,1
1126,119,30,5,1,1,3,3
450,67,19,11,0,1,1,1
1899,127,49,9,0,1,3,3
1162,102,40,8,1,1,3,3
1100,117,51,11,1,0,3,3
714,125,34,7,1,1,1,1
1411,121,40,14,1,1,3,3
2162,115,51,4,1,1,3,3
1140,109,43,16,1,1,3,3
750,106,32,9,1,1,1,1
1000,101,30,11,1,1,2,2
400,75,33,11,1,1,1,1
923,122,38,10,1,0,2,2
1250,102,26,6,0,1,3,3
1100,122,38,11,1,1,3,3
652,113,37,14,0,1,1,1
962,124,43,7,1,1,2,2
529,110,31,14,1,0,1,1
962,120,39,8,1,0,2,2
840,105,39,19,1,0,2,2
866,121,30,7,1,0,2,2
1126,110,26,16,1,1,3,3
1160,92,32,8,1,0,3,3
723,98,34,15,1,1,1,1
525,106,31,12,1,0,1,1
670,117,33,10,1,0,1,1
500,90,47,19,1,0,1,1
1081,92,34,8,1,1,3,3
575,85,32,6,1,0,1,1
623,98,34,7,1,0,1,1
1160,84,35,17,1,0,3,3
500,86,22,11,1,0,1,1
500,97,34,20,1,0,1,1
1250,117,45,10,1,1,3,3
1014,110,42,13,0,1,2,2
1250,104,32,13,1,1,3,3
913,110,26,4,1,1,2,2
1346,99,33,9,1,1,3,3
445,80,31,19,1,0,1,1
1250,117,31,7,1,1,3,3
794,114,36,9,1,1,2,2
500,90,46,10,1,0,1,1
520,107,30,6,1,0,1,1
1155,106,46,10,1,1,3,3
2162,116,38,9,1,1,3,3
923,123,44,8,1,1,2,2
1115,118,40,12,1,1,3,3
937,102,36,16,1,1,2,2
978,104,36,19,1,1,2,2
1063,90,38,14,1,1,3,3
935,97,27,10,1,1,2,2
1082,95,40,11,1,1,3,3
1155,109,49,13,1,0,3,3
622,119,48,12,1,1,1,1
841,102,38,10,1,1,2,2
587,117,40,8,1,0,1,1
1924,112,40,17,1,1,3,3
417,131,39,7,0,1,1,1
1154,98,35,18,1,1,3,3
1070,124,41,4,1,1,3,3
1202,125,30,10,1,1,3,3
711,100,38,13,1,1,1,1
1202,84,21,6,1,1,3,3
1000,102,46,13,1,1,2,2
490,82,33,7,0,1,1,1
1000,112,47,15,1,1,2,2
1586,127,48,16,1,1,3,3
3078,120,50,12,1,1,3,3
906,120,40,16,1,1,2,2
952,99,34,10,1,1,2,2
571,78,33,10,0,1,1,1
1444,120,50,12,1,1,3,3
1075,103,31,17,1,1,3,3
1250,106,36,14,1,1,3,3
620,99,22,10,1,1,1,1
800,88,29,21,1,1,2,2
1050,119,37,7,0,1,2,2
654,121,49,12,1,1,1,1
1924,99,48,16,1,1,3,3
1202,101,40,15,1,1,3,3
666,117,34,8,1,1,1,1
756,78,29,9,1,1,2,2
1011,104,43,20,1,1,2,2
1155,85,39,14,1,1,3,3
1001,109,48,20,1,1,2,2
2067,106,41,12,1,1,3,3
912,96,32,11,1,1,2,2
951,86,33,13,1,1,2,2
841,106,40,15,1,1,2,2
1175,111,38,17,1,1,3,3
781,89,24,13,1,1,2,2
700,130,29,14,1,1,1,1
1346,108,51,9,1,1,3,3
800,98,31,16,1,0,2,2
762,104,37,6,1,0,2,2
800,92,28,18,1,1,2,2
824,92,37,19,1,1,2,2
1400,108,38,7,1,1,3,3
668,109,29,11,1,0,1,1
1111,103,33,13,1,0,3,3
962,120,25,6,1,0,2,2
729,122,40,6,1,1,1,1
850,115,37,11,1,1,2,2
670,88,27,9,1,1,1,1
1442,123,42,14,1,0,3,3
841,109,45,13,1,0,2,2
1223,107,34,7,1,0,3,3
910,95,27,16,1,1,2,2
750,104,36,15,1,0,1,1
745,94,40,17,0,0,1,1
900,103,38,15,1,0,2,2
550,110,35,15,1,0,1,1
909,95,39,6,1,1,2,2
984,108,39,17,1,1,2,2
833,101,47,15,1,1,2,2
879,90,43,17,0,1,2,2
465,84,33,10,1,1,1,1
1100,92,37,21,1,1,3,3
1212,129,33,9,0,1,3,3
950,98,40,11,1,1,2,2
938,108,41,19,1,1,2,2
1250,114,37,8,1,1,3,3
375,75,24,12,0,0,1,1
654,113,38,1,1,0,1,1
692,120,34,17,1,0,1,1
1368,107,31,11,1,1,3,3
1282,121,39,7,1,1,3,3
1250,115,40,19,1,1,3,3
1346,134,42,15,1,1,3,3
854,120,38,8,0,1,2,2
947,104,41,8,1,0,2,2
758,126,42,10,0,1,2,2
1126,116,33,5,1,1,3,3
500,83,20,13,1,1,1,1
565,82,30,15,1,0,1,1
1920,109,32,13,1,0,3,3
684,111,25,7,1,1,1,1
774,94,33,20,1,0,2,2
233,96,32,7,1,0,1,1
1366,90,35,13,1,1,3,3
2137,120,48,16,1,1,3,3
700,120,38,10,1,1,1,1
1026,85,46,4,1,1,2,2
1111,118,43,11,1,1,3,3
625,115,31,12,1,1,1,1
1154,109,42,12,1,1,3,3
310,104,37,10,0,0,1,1
350,109,48,14,1,0,1,1
790,115,34,15,1,0,2,2
477,71,32,12,1,0,1,1
2099,119,38,10,1,1,3,3
1202,124,23,11,1,1,3,3
1058,120,44,16,1,0,3,3
1000,96,40,15,1,1,2,2
318,67,35,16,1,1,1,1
958,98,42,11,1,1,2,2
1600,109,44,16,1,0,3,3
1522,102,37,15,1,0,3,3
1075,115,28,9,1,0,3,3
1200,99,37,11,1,1,3,3
1377,118,48,15,1,1,3,3
874,132,37,8,1,0,2,2
625,108,26,11,1,1,1,1
1250,98,40,17,1,1,3,3
693,79,36,18,1,0,1,1
615,99,49,16,1,0,1,1
884,120,45,4,1,0,2,2
812,131,44,9,0,0,2,2
549,79,23,11,0,0,1,1
1300,100,38,13,1,1,3,3
1539,112,42,15,1,0,3,3
721,105,22,11,1,0,1,1
1058,85,48,18,1,1,3,3
940,71,20,9,1,0,2,2
1417,88,36,9,0,1,3,3
500,98,26,14,1,0,1,1
800,110,35,8,1,1,2,2
766,109,31,17,1,0,2,2
795,89,35,16,1,1,2,2
1039,113,49,12,1,1,2,2
200,103,38,11,1,1,1,1
575,96,31,17,1,1,1,1
1162,89,39,11,1,1,3,3
350,116,36,5,1,1,1,1
963,85,32,9,1,1,2,2
642,93,18,12,1,1,1,1
751,114,37,9,1,1,1,1
488,103,40,5,1,1,1,1
1400,92,34,15,1,1,3,3
940,98,41,10,1,1,2,2
866,114,48,15,1,1,2,2
675,77,42,20,1,1,1,1
325,93,44,10,1,1,1,1
1442,132,39,8,1,1,3,3
1322,128,43,7,1,1,3,3
1634,95,48,18,1,1,3,3
417,80,30,8,0,1,1,1
472,71,24,9,1,1,1,1
666,89,28,16,1,1,1,1
1679,127,45,10,1,1,3,3
1039,114,43,1,0,1,2,2
1250,102,30,13,1,1,3,3
760,88,34,12,1,1,2,2
1154,88,32,14,1,1,3,3
1602,110,45,14,1,1,3,3
1000,101,36,16,1,1,2,2
852,89,36,13,1,1,2,2
770,80,25,16,1,1,2,2
600,115,40,7,0,1,1,1
1000,93,26,11,1,1,2,2
988,91,39,15,1,1,2,2
705,89,32,19,1,1,1,1
1000,100,42,16,1,1,2,2
1346,112,39,14,1,1,3,3
961,76,17,13,0,1,2,2
1346,60,34,8,1,1,3,3
507,110,36,10,1,1,1,1
586,98,41,18,1,1,1,1
556,127,44,6,1,1,1,1
1200,109,42,7,1,1,3,3
1000,105,39,11,1,0,2,2
1602,111,40,10,1,0,3,3
1682,107,41,15,1,1,3,3
750,110,45,13,1,1,1,1
843,102,32,8,1,0,2,2
409,93,26,17,0,0,1,1
761,95,44,14,1,1,2,2
1212,95,36,6,1,0,3,3
390,74,26,10,1,1,1,1
1500,123,43,9,1,1,3,3
460,92,22,16,1,1,1,1
945,87,41,12,1,1,2,2
1333,112,50,14,1,1,3,3
2162,124,48,10,1,1,3,3
797,89,38,10,1,0,2,2
400,88,34,14,1,1,1,1
1744,106,41,8,1,1,3,3
660,101,34,12,1,1,1,1
779,85,30,14,1,1,2,2
560,70,34,16,1,1,1,1
453,94,34,9,1,0,1,1
1386,97,38,17,1,1,3,3
1539,115,38,7,1,1,3,3
962,105,45,15,1,1,2,2
722,113,36,8,0,1,1,1
480,83,37,9,1,1,1,1
808,101,44,8,1,0,2,2
1026,113,27,9,1,1,2,2
910,82,26,5,1,1,2,2
1000,89,40,17,1,1,2,2
1160,74,18,14,1,1,3,3
400,68,35,4,1,1,1,1
1241,83,51,9,1,1,3,3
1065,97,40,21,1,1,3,3
940,102,30,15,1,1,2,2
812,81,20,17,1,1,2,2
575,86,20,12,1,1,1,1
621,84,24,14,1,0,1,1
726,93,32,16,1,0,1,1
500,69,18,21,1,1,1,1
865,66,30,10,1,1,2,2
1386,109,43,10,1,0,3,3
732,104,36,10,1,1,1,1
865,85,44,4,1,1,2,2
975,87,12,20,1,0,2,2
500,87,25,5,1,1,1,1
1155,117,25,9,1,1,3,3
950,85,30,8,0,1,2,2
1710,114,39,7,1,1,3,3
3078,107,23,11,1,1,3,3
508,73,38,1,1,1,1,1
1354,119,49,13,0,0,3,3
1143,97,40,21,1,1,3,3
962,110,34,16,1,1,2,2
905,102,31,17,1,0,2,2
926,64,22,18,1,1,2,2
923,118,36,8,1,1,2,2
879,118,41,1,1,1,2,2
800,75,37,14,1,1,2,2
1049,112,45,6,1,0,2,2
550,95,20,4,0,0,1,1
583,94,35,10,1,0,1,1
797,90,36,11,1,1,2,2
520,126,23,8,1,1,1,1
808,107,32,6,1,0,2,2
2137,108,45,11,1,1,3,3
692,92,49,9,1,1,1,1
931,108,40,4,1,1,2,2
1442,115,47,14,1,1,3,3
500,101,31,12,1,0,1,1
1384,114,48,12,1,1,3,3
528,116,40,5,1,1,1,1
1026,125,33,11,1,1,2,2
1843,109,38,11,1,1,3,3
1602,124,36,12,1,1,3,3
1000,121,35,6,1,1,2,2
737,103,37,7,1,1,1,1
1699,100,40,11,1,1,3,3
1025,104,30,6,1,1,2,2
625,73,24,1,1,1,1,1
855,99,44,19,1,1,2,2
1250,95,23,12,1,1,3,3
1130,109,40,4,1,0,3,3
962,112,46,8,1,1,2,2
1874,64,37,22,1,1,3,3
1573,90,28,5,1,1,3,3
900,119,39,8,1,0,2,2
1260,79,39,19,1,0,3,3
751,96,42,9,1,0,1,1
1001,137,36,11,1,0,2,2
1154,116,42,11,0,0,3,3
1250,78,36,16,1,1,3,3
937,113,23,12,1,1,2,2
872,115,30,7,1,1,2,2
1200,96,26,18,1,1,3,3
950,96,38,14,1,1,2,2
673,92,34,6,1,1,1,1
1084,95,38,17,1,1,3,3
800,115,38,20,1,0,2,2
855,109,36,17,1,0,2,2
864,87,38,15,1,0,2,2
1092,110,34,15,1,1,3,3
850,109,32,11,1,0,2,2
800,105,42,12,1,0,2,2
1049,122,39,7,1,0,2,2
800,122,38,10,0,1,2,2
875,92,32,8,0,1,2,2
666,104,32,10,1,0,1,1
923,110,39,15,1,0,2,2
788,99,20,10,1,1,2,2
866,85,26,11,1,0,2,2
875,95,22,16,0,0,2,2
700,85,36,13,1,1,1,1
1050,97,31,4,1,1,2,2
640,96,39,7,0,1,1,1
1076,106,42,19,1,1,3,3
750,103,36,1,1,0,1,1
855,118,41,6,1,0,2,2
525,100,22,5,1,0,1,1
1384,104,42,8,1,0,3,3
425,106,34,8,0,0,1,1
370,73,31,13,1,0,1,1
596,62,26,16,1,0,1,1
418,76,26,12,1,0,1,1
1133,106,44,13,1,0,3,3
681,94,24,18,0,1,1,1
600,87,15,20,1,0,1,1
425,86,17,7,1,0,1,1
340,104,41,4,1,1,1,1
692,95,21,16,1,1,1,1
575,116,37,11,1,0,1,1
817,101,38,11,1,1,2,2
987,96,23,11,1,0,2,2
616,104,41,16,1,1,1,1
1026,105,34,12,1,1,2,2
808,101,34,8,1,1,2,2
260,75,35,21,1,0,1,1
562,104,30,11,1,0,1,1
357,115,37,5,1,1,1,1
1442,108,40,17,1,1,3,3
754,55,23,13,1,0,1,1
503,84,14,11,0,1,1,1
624,92,40,18,1,0,1,1
750,83,27,4,1,0,1,1
900,98,36,1,1,0,2,2
642,87,26,9,1,0,1,1
400,96,38,6,0,0,1,1
900,80,34,15,1,0,2,2
513,104,40,8,1,0,1,1
1282,96,24,7,1,1,3,3
485,89,24,10,0,0,1,1
380,106,28,15,1,0,1,1
300,83,45,16,1,1,1,1
1070,91,42,13,1,1,3,3
1573,112,42,7,1,1,3,3
650,97,27,14,1,0,1,1
494,74,30,16,1,0,1,1
570,101,43,11,1,1,1,1
1444,109,33,11,1,1,3,3
1473,110,48,15,1,0,3,3
450,95,31,12,1,0,1,1
492,67,38,15,1,0,1,1
1562,97,28,7,1,1,3,3
960,83,25,14,1,1,2,2
481,82,27,9,1,0,1,1
1442,113,45,8,1,1,3,3
788,100,23,15,1,0,2,2
477,100,33,9,1,0,1,1
664,82,30,10,1,1,1,1
1202,102,32,10,1,1,3,3
538,77,22,12,1,0,1,1
873,109,25,12,1,0,2,2